,cluster
0,3
1,3
2,3
3,-1
4,-1
5,3
6,3
7,3
8,3
9,3
10,2
11,3
12,3
13,-1
14,3
15,3
16,3
17,-1
18,-1
19,-1
20,-1
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,-1
31,-1
32,3
33,3
34,3
35,-1
36,-1
37,-1
38,-1
39,-1
40,3
41,3
42,3
43,-1
44,3
45,3
46,3
47,-1
48,3
49,-1
50,3
51,3
52,3
53,-1
54,-1
55,3
56,3
57,-1
58,3
59,3
60,3
61,-1
62,3
63,3
64,3
65,3
66,3
67,3
68,-1
69,-1
70,3
71,3
72,-1
73,3
74,3
75,2
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,-1
85,-1
86,3
87,3
88,3
89,3
90,3
91,3
92,-1
93,3
94,3
95,3
96,-1
97,3
98,-1
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,-1
114,3
115,3
116,-1
117,3
118,-1
119,-1
120,3
121,3
122,-1
123,-1
124,3
125,3
126,3
127,-1
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,-1
137,3
138,3
139,3
140,3
141,3
142,3
143,-1
144,3
145,0
146,3
147,3
148,-1
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,0
157,3
158,3
159,-1
160,3
161,3
162,3
163,3
164,-1
165,3
166,-1
167,3
168,3
169,3
170,-1
171,-1
172,-1
173,3
174,-1
175,3
176,-1
177,-1
178,-1
179,3
180,3
181,3
182,-1
183,3
184,-1
185,3
186,3
187,3
188,3
189,3
190,3
191,-1
192,3
193,-1
194,3
195,3
196,3
197,3
198,-1
199,-1
200,3
201,3
202,3
203,3
204,3
205,3
206,-1
207,3
208,-1
209,3
210,-1
211,3
212,3
213,3
214,-1
215,3
216,3
217,-1
218,3
219,3
220,3
221,3
222,3
223,-1
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,-1
232,-1
233,-1
234,3
235,3
236,3
237,-1
238,3
239,3
240,-1
241,-1
242,-1
243,3
244,3
245,3
246,-1
247,3
248,3
249,3
250,-1
251,-1
252,-1
253,-1
254,3
255,-1
256,-1
257,3
258,-1
259,-1
260,3
261,3
262,-1
263,-1
264,3
265,-1
266,3
267,3
268,-1
269,3
270,3
271,3
272,3
273,3
274,3
275,-1
276,3
277,3
278,3
279,3
280,-1
281,3
282,-1
283,3
284,3
285,-1
286,3
287,3
288,3
289,-1
290,-1
291,-1
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,-1
303,-1
304,-1
305,3
306,-1
307,-1
308,3
309,-1
310,-1
311,-1
312,3
313,3
314,3
315,3
316,-1
317,3
318,3
319,3
320,-1
321,-1
322,-1
323,-1
324,3
325,3
326,3
327,3
328,-1
329,-1
330,3
331,-1
332,3
333,3
334,-1
335,-1
336,3
337,3
338,-1
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,-1
356,3
357,3
358,-1
359,3
360,3
361,3
362,3
363,3
364,3
365,3
366,-1
367,-1
368,3
369,-1
370,-1
371,3
372,3
373,3
374,2
375,3
376,3
377,3
378,3
379,-1
380,3
381,-1
382,-1
383,3
384,-1
385,3
386,-1
387,3
388,-1
389,3
390,3
391,-1
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,-1
403,3
404,3
405,-1
406,-1
407,3
408,3
409,3
410,-1
411,3
412,3
413,-1
414,-1
415,3
416,3
417,-1
418,-1
419,-1
420,2
421,3
422,3
423,-1
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,-1
432,-1
433,-1
434,-1
435,3
436,-1
437,-1
438,3
439,-1
440,3
441,3
442,3
443,3
444,3
445,3
446,-1
447,3
448,3
449,3
450,3
451,-1
452,3
453,3
454,-1
455,3
456,3
457,-1
458,-1
459,3
460,3
461,3
462,3
463,3
464,-1
465,-1
466,-1
467,3
468,3
469,3
470,3
471,-1
472,2
473,-1
474,-1
475,3
476,3
477,3
478,3
479,-1
480,3
481,3
482,3
483,-1
484,3
485,-1
486,-1
487,3
488,-1
489,-1
490,-1
491,3
492,3
493,3
494,3
495,3
496,-1
497,3
498,3
499,3
500,3
501,3
502,-1
503,-1
504,3
505,3
506,-1
507,3
508,3
509,-1
510,3
511,-1
512,3
513,3
514,3
515,3
516,-1
517,3
518,3
519,-1
520,3
521,-1
522,-1
523,3
524,-1
525,3
526,3
527,-1
528,-1
529,3
530,3
531,-1
532,-1
533,-1
534,-1
535,3
536,3
537,3
538,3
539,-1
540,3
541,3
542,3
543,-1
544,3
545,3
546,3
547,-1
548,3
549,3
550,3
551,3
552,-1
553,3
554,3
555,-1
556,3
557,3
558,3
559,3
560,3
561,3
562,-1
563,3
564,3
565,-1
566,3
567,3
568,3
569,3
570,3
571,3
572,0
573,-1
574,3
575,-1
576,3
577,3
578,3
579,3
580,-1
581,-1
582,3
583,-1
584,3
585,3
586,3
587,3
588,3
589,-1
590,0
591,-1
592,3
593,-1
594,3
595,3
596,3
597,3
598,3
599,-1
600,-1
601,3
602,3
603,3
604,3
605,3
606,-1
607,3
608,3
609,3
610,3
611,-1
612,-1
613,3
614,3
615,3
616,3
617,3
618,3
619,-1
620,3
621,3
622,3
623,3
624,3
625,3
626,3
627,-1
628,-1
629,3
630,3
631,3
632,3
633,3
634,0
635,-1
636,3
637,3
638,2
639,3
640,3
641,3
642,3
643,-1
644,3
645,-1
646,-1
647,3
648,3
649,3
650,3
651,-1
652,3
653,3
654,-1
655,3
656,3
657,3
658,3
659,3
660,-1
661,-1
662,3
663,3
664,3
665,-1
666,3
667,-1
668,-1
669,0
670,-1
671,3
672,3
673,-1
674,-1
675,-1
676,3
677,-1
678,3
679,0
680,3
681,3
682,-1
683,3
684,-1
685,3
686,-1
687,-1
688,3
689,3
690,3
691,3
692,3
693,-1
694,-1
695,3
696,-1
697,3
698,3
699,3
700,3
701,3
702,3
703,-1
704,-1
705,3
706,3
707,-1
708,3
709,3
710,3
711,3
712,-1
713,3
714,3
715,-1
716,-1
717,3
718,3
719,2
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,3
729,3
730,3
731,3
732,3
733,3
734,3
735,3
736,3
737,3
738,-1
739,3
740,3
741,-1
742,3
743,-1
744,-1
745,3
746,-1
747,3
748,-1
749,3
750,3
751,3
752,3
753,-1
754,-1
755,-1
756,3
757,0
758,3
759,3
760,3
761,3
762,3
763,3
764,3
765,-1
766,3
767,-1
768,3
769,3
770,-1
771,3
772,-1
773,3
774,3
775,3
776,-1
777,-1
778,-1
779,-1
780,3
781,-1
782,-1
783,-1
784,3
785,3
786,-1
787,3
788,3
789,3
790,3
791,3
792,-1
793,3
794,-1
795,3
796,3
797,3
798,3
799,3
800,-1
801,3
802,3
803,-1
804,3
805,3
806,3
807,-1
808,3
809,-1
810,3
811,3
812,3
813,3
814,3
815,-1
816,3
817,-1
818,3
