Silhouette Score: -1.0000, Number of Clusters: 595, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 259, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 3, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 220, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 4, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 85, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 48, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, t-SNE Parameters: {'n_components': 2, 'perplexity': 30, 'learning_rate': 200}, HDBSCAN Parameters: {'min_cluster_size': 20, 'min_samples': 10}
