index,cluster
3,0
5,6
6,5
8,1
9,5
10,1
11,5
12,1
13,0
14,5
15,4
16,1
18,1
19,1
20,6
22,5
23,4
24,0
25,1
26,2
27,0
28,5
29,1
30,0
31,6
32,6
33,1
36,0
37,6
38,6
39,1
41,5
43,0
45,5
46,1
47,5
48,0
49,6
50,5
51,3
52,3
53,1
55,3
56,4
57,2
59,0
60,5
61,1
63,1
64,4
65,1
66,0
67,5
68,1
69,3
70,3
71,5
72,0
73,5
74,5
75,4
76,3
77,2
78,3
80,4
81,6
82,0
83,6
85,1
86,2
87,3
88,6
89,1
90,6
91,3
92,2
93,3
94,5
95,3
96,3
97,5
98,3
99,1
100,2
101,3
102,6
103,6
104,3
107,6
108,2
109,5
110,1
111,1
112,5
113,1
114,3
115,1
116,0
117,1
118,3
119,6
120,5
122,3
123,5
124,3
125,0
126,0
128,1
129,3
130,4
131,3
132,1
133,2
134,2
136,6
137,3
138,1
139,1
140,2
141,1
143,3
144,0
145,0
146,5
148,6
149,6
150,3
151,5
152,0
153,2
154,1
156,4
157,4
159,1
161,1
162,0
163,2
165,1
166,3
167,0
168,5
170,5
171,0
172,0
173,3
174,4
175,0
177,6
179,3
180,6
181,5
182,1
183,2
184,6
185,3
186,1
187,5
188,3
189,4
190,3
191,1
195,3
196,4
197,6
199,0
200,4
201,4
202,6
203,4
204,2
205,6
207,1
209,1
210,6
212,2
213,3
214,1
216,0
217,1
219,0
221,3
222,3
223,4
224,0
225,6
227,5
228,6
230,1
233,3
234,4
235,5
236,3
237,4
238,3
239,1
240,2
241,2
242,0
243,1
244,3
245,5
246,1
247,1
249,4
250,5
252,2
253,0
255,2
256,0
257,4
258,2
259,3
260,0
261,1
262,4
263,5
265,5
266,6
269,1
270,5
271,2
272,4
273,3
274,1
275,0
276,2
278,0
279,5
280,4
281,1
282,6
283,4
284,0
286,1
287,0
288,1
289,0
290,3
291,0
292,1
293,0
295,2
296,0
297,6
298,5
299,5
300,2
302,4
303,5
304,3
305,0
306,5
307,1
308,1
309,3
310,4
311,2
312,1
313,0
314,6
315,5
316,1
317,5
318,6
319,2
320,3
321,6
322,4
323,1
324,6
325,6
326,0
327,0
328,3
329,3
330,1
332,6
333,6
334,2
335,6
336,4
337,3
339,3
340,3
341,1
343,1
344,0
345,3
346,4
348,1
350,5
351,2
352,1
353,5
354,3
355,3
357,4
358,6
359,6
361,3
362,0
363,5
364,0
365,0
366,0
367,6
368,1
369,2
370,3
371,5
373,1
374,2
375,3
376,0
378,3
379,1
380,0
381,3
382,5
383,0
384,1
386,1
387,3
388,1
390,3
391,4
392,5
393,3
394,0
395,5
397,6
398,2
399,1
400,2
401,0
402,1
403,1
404,2
405,3
406,6
407,1
408,3
409,0
411,1
412,2
413,1
415,5
416,3
418,6
419,5
420,0
421,2
422,1
424,4
425,0
426,0
427,5
428,5
429,2
430,3
432,2
433,1
434,1
435,0
437,2
438,5
439,0
440,6
441,1
442,1
443,1
444,2
445,5
446,1
447,2
448,4
449,0
450,6
451,3
452,5
453,5
455,1
456,0
457,3
458,1
459,1
462,6
463,0
464,6
465,1
466,5
467,1
468,6
469,4
470,0
471,6
472,5
473,6
474,0
476,6
478,3
479,5
480,5
481,4
482,5
484,0
486,4
487,0
488,3
489,5
491,2
493,6
495,3
496,1
497,1
499,0
502,0
503,4
504,3
505,1
506,2
507,3
508,3
509,0
510,1
511,3
512,1
513,3
514,5
516,3
519,2
522,3
523,5
525,1
