,cluster
3,1
5,6
6,1
8,6
9,6
10,2
11,2
12,6
13,2
14,2
15,1
16,6
18,5
19,6
20,6
22,1
23,1
24,2
25,6
26,2
27,2
28,2
29,5
30,2
31,5
32,6
33,6
36,2
37,6
38,5
39,6
41,1
43,2
45,2
46,6
47,2
48,2
49,6
50,2
51,5
52,5
53,6
55,5
56,1
57,2
59,2
60,1
61,6
63,6
64,1
65,6
66,2
67,1
68,5
69,5
70,5
71,6
72,6
73,2
74,1
75,1
76,5
77,2
78,5
80,1
81,6
82,2
83,6
85,2
86,2
87,5
88,6
89,2
90,6
91,5
92,2
93,5
94,1
95,5
96,5
97,1
98,5
99,6
100,6
101,5
102,5
103,6
104,5
107,2
108,2
109,2
110,6
111,5
112,1
113,2
114,5
115,6
116,2
117,6
118,5
119,6
120,2
122,5
123,2
124,5
125,2
126,6
128,6
129,5
130,1
131,5
132,6
133,2
134,6
136,6
137,5
138,6
139,5
140,2
141,6
143,5
144,2
145,2
146,2
148,6
149,6
150,5
151,2
152,1
153,2
154,2
156,1
157,1
159,6
161,6
162,1
163,1
165,2
166,5
167,2
168,2
170,1
171,1
172,2
173,5
174,1
175,2
177,5
179,5
180,6
181,1
182,5
183,2
184,6
185,5
186,6
187,1
188,5
189,1
190,5
191,6
195,5
196,1
197,6
199,2
200,1
201,1
202,6
203,1
204,6
205,6
207,5
209,2
210,5
212,6
213,5
214,6
216,6
217,2
219,2
221,5
222,5
223,1
224,6
225,6
227,2
228,6
230,6
233,5
234,1
235,1
236,5
237,1
238,5
239,6
240,2
241,1
242,2
243,6
244,5
245,1
246,5
247,5
249,1
250,1
252,2
253,2
255,2
256,2
257,1
258,2
259,5
260,2
261,2
262,1
263,2
265,1
266,6
269,6
270,2
271,2
272,1
273,5
274,6
275,2
276,2
278,1
279,6
280,1
281,6
282,6
283,1
284,2
286,2
287,2
288,2
289,1
290,5
291,2
292,6
293,2
295,6
296,2
297,2
298,1
299,1
300,2
302,1
303,1
304,5
305,1
306,1
307,6
308,6
309,5
310,1
311,1
312,6
313,1
314,6
315,1
316,6
317,2
318,6
319,2
320,5
321,6
322,1
323,6
324,6
325,6
326,1
327,1
328,5
329,5
330,5
332,6
333,6
334,6
335,5
336,1
337,5
339,5
340,5
341,6
343,6
344,2
345,5
346,1
348,6
350,2
351,2
352,5
353,2
354,5
355,5
357,2
358,6
359,2
361,5
362,2
363,1
364,1
365,2
366,1
367,5
368,6
369,6
370,5
371,1
373,6
374,2
375,5
376,2
378,5
379,6
380,6
381,5
382,1
383,2
384,6
386,6
387,5
388,6
390,5
391,1
392,2
393,5
394,2
395,2
397,6
398,2
399,6
400,2
401,1
402,6
403,6
404,2
405,5
406,6
407,2
408,5
409,6
411,6
412,6
413,6
415,1
416,5
418,6
419,1
420,2
421,1
422,6
424,1
425,1
426,1
427,1
428,1
429,2
430,5
432,2
433,6
434,2
435,2
437,1
438,2
439,2
440,6
441,6
442,6
443,5
444,2
445,2
446,2
447,2
448,1
449,2
450,5
451,5
452,2
453,2
455,6
456,6
457,5
458,6
459,6
462,6
463,2
464,6
465,6
466,1
467,6
468,6
469,1
470,2
471,2
472,2
473,6
474,2
476,6
478,5
479,1
480,1
481,1
482,1
484,2
486,1
487,1
488,5
489,1
491,6
493,6
495,5
496,6
497,6
499,1
502,2
503,1
504,5
505,6
506,1
507,5
508,5
509,6
510,6
511,5
512,5
513,5
514,1
516,5
519,2
522,5
523,6
525,5
530,5
531,6
532,1
534,2
537,6
538,1
540,1
541,2
542,6
545,2
548,2
549,1
550,2
551,2
553,2
554,5
555,2
556,2
558,2
559,6
560,2
561,6
562,6
563,1
565,6
566,2
567,1
568,5
569,1
571,5
572,2
573,2
575,6
576,6
577,2
579,1
581,1
582,2
583,1
584,2
585,6
586,1
587,6
588,1
589,2
590,2
591,6
592,2
593,2
594,2
595,1
596,1
597,1
598,6
599,6
600,1
604,5
605,5
606,2
607,2
608,6
609,1
610,6
611,1
612,1
614,1
616,2
618,6
619,2
621,6
622,2
623,1
624,2
625,1
627,5
628,2
629,6
630,6
631,1
632,6
634,5
637,5
638,1
639,1
641,5
642,1
643,6
644,6
645,1
646,2
647,2
648,2
649,1
650,6
651,2
652,6
653,1
654,5
655,2
656,6
657,5
658,6
659,6
660,6
661,5
662,6
663,1
664,1
665,1
666,6
668,6
669,2
670,5
672,5
673,1
674,5
675,6
676,2
677,1
678,6
679,1
680,1
681,1
682,5
683,6
685,2
686,1
687,5
689,1
690,1
693,2
694,6
695,1
697,6
699,1
700,6
701,1
703,1
704,2
705,6
706,1
707,2
709,1
710,1
712,1
713,6
714,6
715,5
716,2
717,6
718,1
719,5
720,6
724,5
725,6
726,1
727,2
728,2
729,1
730,6
731,6
732,6
733,2
735,6
736,5
737,2
738,2
740,6
741,1
743,6
744,1
745,1
746,1
748,1
749,5
750,6
752,1
753,6
755,6
756,1
757,1
758,5
759,2
761,6
762,2
763,6
764,1
765,1
766,6
768,1
771,5
772,2
776,2
777,1
779,5
780,5
782,2
783,6
784,6
785,2
788,1
789,2
790,6
791,6
792,1
793,5
795,2
797,5
798,6
799,6
800,6
801,5
802,1
803,5
804,6
805,2
806,2
807,1
808,5
809,2
810,1
811,6
812,5
813,2
814,6
816,5
817,2
818,2
819,6
820,2
822,6
823,6
824,2
825,1
826,6
827,1
828,6
829,2
830,2
831,2
832,2
833,2
834,2
836,6
838,2
839,1
840,1
841,2
842,6
843,5
844,6
845,2
847,2
848,2
849,1
850,2
851,1
852,6
853,2
854,5
855,2
856,6
857,2
858,1
859,1
860,1
861,6
862,2
863,1
865,1
866,1
867,5
868,2
869,5
870,2
871,6
872,2
873,5
874,1
875,5
877,1
878,2
879,1
880,6
881,5
884,1
885,6
886,1
888,5
889,6
890,2
891,6
893,6
894,6
895,1
897,2
898,1
899,2
900,2
902,1
903,2
904,6
905,6
907,5
909,1
910,6
911,2
913,1
914,5
915,1
916,1
917,2
918,2
920,1
922,5
923,1
924,6
925,5
926,5
927,6
930,2
932,1
935,1
936,1
938,6
941,5
942,6
943,2
944,6
945,5
947,5
948,6
949,1
950,6
951,5
952,5
953,1
955,5
956,2
957,6
959,6
961,2
962,6
964,1
965,2
966,6
968,1
969,2
970,5
972,2
973,6
974,6
975,1
976,6
977,2
978,2
979,2
980,2
981,5
982,6
983,1
984,6
985,2
986,2
987,1
988,6
989,5
990,5
992,1
993,2
994,5
995,1
996,6
997,6
998,1
999,1
1000,6
1001,2
1002,2
1003,1
1004,2
1005,1
1006,5
1007,2
1008,2
1009,2
1010,6
1011,6
1012,1
1013,2
1014,2
1016,6
1017,1
1018,2
1019,1
1020,1
1022,1
1023,5
1024,1
1025,6
1026,6
1028,6
1029,6
1030,1
1031,6
1033,1
1034,1
1035,1
1036,6
1037,6
1038,6
1039,2
1040,6
1041,1
1042,5
1043,1
1044,1
1045,6
1046,6
1047,2
1049,2
1050,5
1051,1
1052,1
1053,2
1054,5
1055,2
1056,2
1057,1
1058,1
1059,1
1060,6
1061,2
1062,2
1063,1
1064,1
1065,6
1066,2
1068,2
1069,2
1071,6
1072,6
1073,2
1074,2
1075,1
1076,1
1077,5
1078,2
1079,2
1080,2
1081,6
1082,5
1084,2
1085,6
1086,1
1087,6
1088,1
1090,1
1092,1
1093,5
1094,6
1096,1
1098,1
1100,6
1101,2
1103,2
1104,6
1106,2
1109,6
1111,5
1112,2
1113,5
1114,2
1115,2
1116,5
1118,1
1120,5
1121,6
1122,6
1123,2
1124,1
1126,6
1128,5
1130,1
1131,2
1132,6
1134,6
1136,2
1137,5
1138,6
1139,1
1140,2
1143,6
1145,2
1146,2
1147,5
1148,2
1149,6
1150,2
1151,1
1152,1
1153,2
1154,1
1155,1
1156,6
1157,1
1158,1
1161,6
1162,1
1163,1
1164,2
1165,6
1166,5
1167,2
1168,1
1169,2
1170,1
1172,6
1173,1
1174,1
1176,6
1177,1
1178,1
1179,5
1180,1
1182,2
1183,6
1184,2
1185,5
1186,1
1187,1
1189,2
1190,6
1191,5
1192,6
1193,5
1194,6
1196,6
1197,2
1198,2
1199,2
1200,6
1201,1
1202,2
1203,2
1205,1
1206,5
1208,2
1209,2
1210,2
1211,1
1212,6
1214,1
1215,2
1216,2
1219,5
1220,1
1221,6
1222,1
1223,5
1224,1
1225,1
1226,1
1227,5
1228,6
1230,5
1231,1
1232,1
1233,1
1235,6
1236,5
1237,5
1238,6
1239,2
1240,2
1241,1
1245,5
1246,1
1248,1
1249,1
1250,1
1251,1
1253,2
1254,6
1255,5
1256,6
1258,6
1259,6
1260,5
1262,2
1263,2
1264,5
1265,5
1266,2
1267,1
1268,6
1269,6
1270,6
1271,6
1272,2
1273,5
1274,6
1275,1
1276,1
1278,5
1279,2
1280,1
1281,5
1282,2
1284,5
1285,2
1286,5
1287,5
1288,2
1289,1
1291,1
1292,1
1293,1
1296,2
1297,5
1298,1
1299,5
1300,1
1301,1
1304,2
1305,1
1306,2
1307,2
1308,5
1309,1
1310,1
1311,2
1312,2
1313,2
1315,1
1316,1
1317,6
1318,6
1319,2
1320,5
1321,6
1323,5
1324,6
1325,1
1326,1
1327,6
1328,1
1329,1
1330,2
1331,1
1332,2
1333,2
1337,6
1338,6
1339,6
1340,5
1341,1
1343,1
1345,2
1346,2
1347,2
1348,5
1349,1
1350,6
1352,1
1354,6
1355,1
1356,2
1357,5
1358,6
1359,5
1361,6
1362,2
1363,2
1364,5
1365,2
1366,2
1367,2
1368,5
1369,6
1372,6
1374,6
1375,2
1376,6
1377,2
1378,2
1379,1
1380,1
1382,2
1384,1
1385,5
1386,5
1389,5
1390,1
1392,6
1393,1
1394,2
1395,5
1396,2
1397,1
1398,5
1402,2
1403,5
1404,1
1405,5
1406,2
1407,5
1409,6
1410,2
1411,6
1413,5
1415,1
1417,5
1418,1
1419,6
1421,2
1422,6
1423,1
1424,2
1425,2
1426,1
1428,5
1429,6
1430,6
1431,1
1433,2
1434,2
1436,1
1437,2
1438,2
1439,1
1440,1
1442,6
1443,6
1444,2
1445,2
1446,2
1447,1
1448,5
1449,5
1453,1
1454,2
1455,5
1456,6
1457,1
1458,6
1459,6
1461,1
1462,1
1464,1
1467,6
1468,6
1469,6
1470,6
1471,5
1472,2
1473,1
1474,2
1475,2
1478,6
1479,1
1481,1
1484,6
1485,2
1487,5
1488,1
1489,1
1490,2
1491,6
1493,2
1494,6
1495,5
1496,6
1497,5
1498,6
1499,1
1501,6
1503,6
1504,1
1505,1
1506,2
1509,5
1512,6
1513,6
1515,1
1516,5
1517,2
1518,6
1519,1
1520,6
1521,1
1523,5
1524,1
1525,5
1526,6
1528,2
1529,5
1530,5
1531,6
1533,5
1536,6
1537,6
1538,6
1539,5
1540,5
1541,1
1542,1
1543,6
1544,2
1545,6
1547,1
1548,5
1550,6
1552,1
1554,6
1557,1
1558,2
1560,2
1562,5
1563,6
1564,6
1565,2
1566,1
1568,1
1569,6
1570,6
1571,1
1572,2
1573,1
1577,6
1578,6
1579,2
1580,1
1581,2
1582,5
1583,6
1584,6
1585,2
1586,2
1589,5
1590,5
1592,2
1595,2
1598,6
1600,6
1601,2
1602,6
1603,6
1605,5
1606,2
1609,5
1610,6
1611,6
1612,2
1615,1
1616,6
1617,1
1618,1
1619,2
1620,2
1621,1
1622,6
1623,1
1624,2
1625,1
1626,1
1627,5
1629,2
1630,1
1632,6
1633,2
1634,6
1636,6
1638,2
1639,2
1641,6
1642,2
1644,2
1645,5
1647,5
1649,1
1650,2
1651,1
1653,5
1654,1
1657,1
1659,1
1661,2
1662,1
1663,2
1665,2
1667,6
1668,1
1670,1
1671,1
1674,2
1675,2
1676,1
1677,5
1678,1
1680,6
1682,1
1686,1
1687,1
1688,6
1689,1
1690,2
1694,2
1695,1
1696,6
1697,5
1699,6
1700,2
1701,2
1702,2
1703,2
1705,6
1708,1
1710,2
1711,1
1714,1
1715,2
1716,1
1718,1
1720,2
1721,2
1722,6
1723,2
1724,1
1725,6
1729,5
1733,1
1734,1
1735,5
1737,1
1738,6
1739,6
1740,1
1742,5
1743,6
1744,5
1746,1
1751,2
1753,6
1755,6
1756,6
1762,2
1766,1
1767,1
1768,1
1769,6
1771,1
1774,1
1775,1
1776,6
1777,1
1778,2
1780,6
1782,2
1783,1
1784,2
1786,1
1787,2
1788,2
1790,1
1791,1
1792,1
1793,6
1794,6
1795,5
1796,2
1797,1
1799,2
1800,2
1801,6
1803,2
1804,6
1805,6
1808,6
1810,2
1811,2
1812,1
1813,1
1814,1
1815,2
1816,1
1817,1
1818,5
1819,1
1820,6
1821,2
1824,5
1825,1
1826,2
1827,6
1828,1
1829,2
1830,1
1831,2
1832,6
1833,1
1834,1
1836,2
1837,1
1838,1
1839,1
1841,2
1843,6
1844,2
1845,6
1847,5
1848,2
1850,6
1851,2
1852,5
1853,1
1854,5
1855,6
1856,1
1857,1
1858,6
1859,6
1860,5
1861,6
1863,2
1864,1
1865,1
1866,1
1868,1
1869,2
1871,5
1872,1
1874,6
1875,1
1876,1
1877,2
1881,1
1882,1
