,labels
3,3
5,0
6,2
8,1
9,4
10,3
11,4
12,1
13,3
14,4
15,3
16,0
18,1
19,1
20,0
22,4
23,2
24,3
25,1
26,4
27,3
28,4
29,1
30,3
31,0
32,0
33,0
36,0
37,0
38,0
39,1
41,2
43,3
45,4
46,1
47,2
48,3
49,0
50,4
51,1
52,1
53,1
55,1
56,2
57,0
59,3
60,2
61,4
63,1
64,2
65,0
66,3
67,4
68,1
69,1
70,1
71,4
72,0
73,4
74,4
75,2
76,1
77,4
78,1
80,2
81,0
82,3
83,0
85,4
86,4
87,1
88,0
89,3
90,0
91,1
92,4
93,1
94,4
95,1
96,1
97,2
98,0
99,4
100,0
101,1
102,1
103,0
104,1
107,3
108,4
109,4
110,4
111,1
112,2
113,0
114,1
115,4
116,0
117,0
118,1
119,0
120,4
122,1
123,2
124,1
125,0
126,3
128,1
129,1
130,2
131,1
132,0
133,4
134,1
136,0
137,1
138,0
139,1
140,3
141,1
143,1
144,3
145,3
146,4
148,0
149,0
150,1
151,4
152,3
153,4
154,4
156,3
157,2
159,3
161,1
162,3
163,3
165,4
166,0
167,3
168,4
170,4
171,3
172,3
173,1
174,2
175,3
177,0
179,1
180,0
181,2
182,1
183,4
184,0
185,1
186,1
187,4
188,1
189,2
190,1
191,0
195,1
196,2
197,0
199,3
200,2
201,2
202,0
203,2
204,0
205,0
207,1
209,0
210,0
212,1
213,1
214,4
216,0
217,4
219,3
221,1
222,1
223,3
224,3
225,0
227,4
228,4
230,1
233,1
234,2
235,4
236,1
237,2
238,1
239,1
240,4
241,4
242,3
243,1
244,1
245,4
246,1
247,0
249,2
250,4
252,4
253,3
255,4
256,3
257,2
258,4
259,1
260,0
261,3
262,2
263,4
265,3
266,0
269,1
270,3
271,4
272,2
273,0
274,0
275,3
276,4
278,3
279,1
280,2
281,1
282,0
283,2
284,3
286,4
287,3
288,4
289,3
290,1
291,0
292,1
293,3
295,4
296,0
297,0
298,2
299,2
300,4
302,2
303,4
304,1
305,3
306,4
307,1
308,1
309,1
310,3
311,4
312,1
313,3
314,0
315,2
316,0
317,2
318,0
319,4
320,1
321,0
322,2
323,0
324,0
325,0
326,3
327,3
328,1
329,1
330,1
332,0
333,0
334,1
335,0
336,2
337,1
339,1
340,1
341,1
343,1
344,0
345,1
346,3
348,0
350,4
351,3
352,1
353,4
354,1
355,1
357,3
358,0
359,0
361,1
362,3
363,4
364,2
365,3
366,3
367,0
368,0
369,4
370,1
371,4
373,4
374,4
375,1
376,0
378,1
379,1
380,1
381,1
382,4
383,0
384,0
386,4
387,1
388,1
390,1
391,2
392,4
393,1
394,3
395,4
397,0
398,4
399,4
400,4
401,3
402,0
403,1
404,4
405,0
406,0
407,0
408,1
409,0
411,0
412,4
413,4
415,4
416,1
418,0
419,4
420,3
421,4
422,1
424,2
425,3
426,3
427,2
428,2
429,4
430,1
432,4
433,1
434,3
435,0
437,4
438,4
439,3
440,0
441,1
442,1
443,1
444,4
445,3
446,4
447,4
448,2
449,0
450,0
451,1
452,4
453,3
455,0
456,0
457,1
458,1
459,0
462,4
463,3
464,0
465,4
466,3
467,0
468,0
469,2
470,3
471,0
472,4
473,0
474,3
476,0
478,1
479,2
480,4
481,2
482,4
484,3
486,2
487,3
488,1
489,4
491,0
493,3
495,0
496,1
497,4
499,3
502,3
503,2
504,1
505,1
506,4
507,1
508,1
509,4
510,1
511,0
512,1
513,1
514,3
516,1
519,4
522,1
523,3
525,1
530,1
531,0
532,3
534,4
537,0
538,4
540,2
541,4
542,3
545,4
548,4
549,3
550,4
551,4
553,4
554,1
555,4
556,3
558,0
559,3
560,3
561,0
562,0
563,2
565,3
566,4
567,2
568,1
569,4
571,1
572,3
573,3
575,1
576,1
577,3
579,2
581,4
582,4
583,4
584,4
585,0
586,3
587,0
588,2
589,4
590,4
591,0
592,3
593,4
594,4
595,3
596,3
597,3
598,0
599,0
600,2
604,1
605,1
606,4
607,4
608,0
609,2
610,1
611,2
612,2
614,2
616,0
618,4
619,4
621,4
622,3
623,4
624,4
625,2
627,1
628,4
629,0
630,1
631,2
632,0
634,1
637,1
638,2
639,4
641,1
642,2
643,0
644,0
645,2
646,4
647,3
648,4
649,3
650,1
651,4
652,0
653,2
654,1
655,0
656,0
657,1
658,1
659,0
660,1
661,1
662,0
663,2
664,4
665,2
666,0
668,0
669,4
670,1
672,1
673,3
674,1
675,0
676,4
677,3
678,0
679,2
680,2
681,3
682,1
683,3
685,4
686,2
687,1
689,2
690,4
693,4
694,0
695,2
697,1
699,2
700,0
701,2
703,2
704,2
705,0
706,2
707,3
709,4
710,4
712,4
713,0
714,4
715,1
716,3
717,4
718,3
719,1
720,0
724,1
725,4
726,2
727,1
728,4
729,2
730,0
731,0
732,4
733,3
735,4
736,1
737,4
738,3
740,0
741,2
743,1
744,2
745,4
746,2
748,4
749,0
750,0
752,3
753,0
755,0
756,4
757,2
758,1
759,4
761,3
762,3
763,4
764,2
765,3
766,0
768,2
771,1
772,3
776,0
777,2
779,1
780,0
782,0
783,0
784,0
785,4
788,2
789,4
790,1
791,0
792,4
793,1
795,4
797,1
798,0
799,0
800,1
801,1
802,4
803,1
804,0
805,4
806,3
807,4
808,0
809,2
810,4
811,0
812,0
813,4
814,0
816,1
817,2
818,4
819,1
820,3
822,4
823,0
824,3
825,3
826,1
827,4
828,0
829,3
830,0
831,3
832,3
833,4
834,3
836,0
838,3
839,2
840,4
841,3
842,1
843,1
844,1
845,4
847,3
848,4
849,3
850,3
851,2
852,1
853,4
854,1
855,3
856,4
857,0
858,4
859,4
860,4
861,0
862,3
863,2
865,2
866,3
867,1
868,4
869,1
870,0
871,4
872,3
873,0
874,2
875,1
877,4
878,0
879,2
880,0
881,0
884,4
885,0
886,3
888,1
889,1
890,4
891,0
893,0
894,1
895,3
897,3
898,3
899,3
900,0
902,2
903,4
904,0
905,1
907,1
909,4
910,1
911,3
913,3
914,1
915,2
916,4
917,4
918,4
920,2
922,1
923,2
924,0
925,1
926,0
927,0
930,0
932,2
935,3
936,2
938,0
941,1
942,4
943,4
944,0
945,1
947,1
948,0
949,2
950,0
951,1
952,1
953,4
955,1
956,1
957,4
959,0
961,4
962,0
964,2
965,4
966,1
968,2
969,3
970,0
972,4
973,0
974,0
975,4
976,1
977,1
978,0
979,3
980,0
981,1
982,1
983,2
984,1
985,4
986,3
987,3
988,4
989,1
990,1
992,3
993,4
994,1
995,3
996,0
997,1
998,3
999,4
1000,0
1001,3
1002,3
1003,2
1004,0
1005,2
1006,1
1007,3
1008,3
1009,0
1010,0
1011,1
1012,2
