,labels
3,2
5,1
6,2
8,1
9,2
10,0
11,2
12,1
13,0
14,2
15,0
16,1
18,1
19,1
20,1
22,2
23,2
24,0
25,1
26,2
27,0
28,2
29,1
30,0
31,1
32,0
33,0
36,0
37,1
38,1
39,1
41,2
43,0
45,2
46,1
47,2
48,0
49,1
50,2
51,1
52,1
53,1
55,1
56,2
57,1
59,0
60,2
61,1
63,1
64,2
65,1
66,0
67,2
68,1
69,1
70,1
71,1
72,0
73,2
74,2
75,2
76,1
77,0
78,1
80,2
81,1
82,0
83,1
85,2
86,2
87,1
88,1
89,0
90,0
91,1
92,2
93,1
94,2
95,1
96,1
97,2
98,1
99,1
100,0
101,1
102,1
103,1
104,1
107,0
108,2
109,2
110,1
111,1
112,2
113,0
114,1
115,1
116,0
117,1
118,1
119,0
120,2
122,1
123,2
124,1
125,0
126,0
128,1
129,1
130,2
131,1
132,1
133,2
134,1
136,0
137,1
138,1
139,1
140,0
141,1
143,1
144,0
145,0
146,2
148,1
149,1
150,1
151,2
152,0
153,2
154,2
156,2
157,2
159,0
161,1
162,0
163,0
165,1
166,1
167,0
168,2
170,2
171,0
172,0
173,1
174,2
175,0
177,1
179,1
180,0
181,2
182,1
183,2
184,1
185,1
186,1
187,2
188,1
189,2
190,1
191,1
195,1
196,2
197,1
199,0
200,2
201,2
202,1
203,2
204,1
205,1
207,1
209,1
210,1
212,1
213,1
214,2
216,1
217,2
219,0
221,1
222,1
223,0
224,0
225,1
227,2
228,0
230,1
233,1
234,2
235,2
236,1
237,2
238,1
239,1
240,0
241,2
242,0
243,1
244,1
245,2
246,1
247,1
249,2
250,2
252,0
253,0
255,2
256,0
257,2
258,2
259,1
260,0
261,0
262,2
263,2
265,0
266,0
269,1
270,0
271,2
272,2
273,1
274,0
275,0
276,2
278,0
279,1
280,2
281,1
282,1
283,2
284,0
286,2
287,0
288,2
289,0
290,1
291,0
292,1
293,0
295,2
296,0
297,0
298,2
299,2
300,0
302,2
303,2
304,1
305,0
306,2
307,1
308,1
309,1
310,2
311,2
312,1
313,0
314,1
315,2
316,1
317,2
318,0
319,2
320,1
321,1
322,2
323,1
324,0
325,1
326,0
327,0
328,1
329,1
330,1
332,1
333,1
334,1
335,1
336,2
337,1
339,1
340,1
341,1
343,1
344,0
345,1
346,2
348,1
350,2
351,0
352,1
353,2
354,1
355,1
357,0
358,1
359,0
361,1
362,0
363,2
364,2
365,0
366,0
367,1
368,0
369,2
370,1
371,2
373,0
374,0
375,1
376,0
378,1
379,1
380,1
381,1
382,2
383,0
384,0
386,2
387,1
388,1
390,1
391,2
392,2
393,1
394,0
395,2
397,1
398,2
399,2
400,1
401,2
402,1
403,1
404,0
405,1
406,0
407,1
408,1
409,0
411,0
412,0
413,1
415,2
416,1
418,1
419,2
420,0
421,2
422,1
424,2
425,0
426,0
427,2
428,2
429,0
430,1
432,0
433,1
434,0
435,0
437,0
438,2
439,0
440,1
441,1
442,1
443,1
444,0
445,0
446,2
447,0
448,2
449,0
450,1
451,1
452,2
453,0
455,1
456,0
457,1
458,1
459,1
462,1
463,0
464,1
465,2
466,2
467,0
468,1
469,2
470,0
471,0
472,2
473,1
474,0
476,1
478,1
479,2
480,2
481,2
482,2
484,0
486,2
487,0
488,1
489,2
491,1
493,0
495,1
496,1
497,2
499,0
502,0
503,2
504,1
505,1
506,2
507,1
508,1
509,2
510,1
511,1
512,1
513,1
514,2
516,1
519,2
522,1
523,0
525,1
530,1
531,1
532,0
534,0
537,1
538,2
540,2
541,1
542,0
545,2
548,2
549,0
550,2
551,2
553,2
554,1
555,1
556,0
558,0
559,0
560,0
561,1
562,0
563,2
565,0
566,2
567,2
568,1
569,2
571,1
572,0
573,0
575,1
576,1
577,0
579,2
581,2
582,1
583,2
584,0
585,1
586,0
587,1
588,2
589,2
590,0
591,1
592,0
593,2
594,2
595,0
596,0
597,2
598,1
599,1
600,2
604,1
605,1
606,2
607,2
608,1
609,2
610,1
611,2
612,2
614,2
616,0
618,0
619,2
621,2
622,0
623,2
624,1
625,2
627,1
628,2
629,1
630,1
631,2
632,1
634,1
637,1
638,2
639,2
641,1
642,2
643,1
644,1
645,2
646,2
647,0
648,2
649,0
650,1
651,2
652,1
653,2
654,1
655,0
656,1
657,1
658,1
659,0
660,1
661,1
662,0
663,2
664,2
665,2
666,0
668,1
669,2
670,1
672,1
673,0
674,1
675,0
676,2
677,2
678,1
679,2
680,2
681,0
682,1
683,0
685,0
686,2
687,1
689,2
690,2
693,2
694,1
695,2
697,1
699,2
700,0
701,2
703,2
704,2
705,1
706,2
707,0
709,2
710,2
712,2
713,1
714,2
715,1
716,0
717,2
718,0
719,1
720,1
724,1
725,1
726,2
727,1
728,2
729,2
730,0
731,1
732,2
733,0
735,2
736,1
737,2
738,0
740,0
741,2
743,1
744,2
745,2
746,2
748,2
749,1
750,1
752,0
753,1
755,1
756,2
757,2
758,1
759,2
761,0
762,0
763,0
764,2
765,0
766,0
768,2
771,1
772,0
776,1
777,2
779,1
780,1
782,0
783,1
784,1
785,2
788,2
789,0
790,1
791,1
792,2
793,1
795,2
797,1
798,0
799,0
800,1
801,1
802,2
803,1
804,1
805,2
806,0
807,2
808,1
809,2
810,1
811,0
812,1
813,2
814,0
816,1
817,2
818,1
819,1
820,0
822,1
823,1
824,0
825,0
826,1
827,2
828,0
829,0
830,0
831,0
832,0
833,2
834,0
836,1
838,0
839,2
840,2
841,0
842,1
843,1
844,1
845,1
847,0
848,0
849,0
850,0
851,2
852,1
853,0
854,1
855,0
856,2
857,0
858,2
859,2
860,2
861,1
862,0
863,2
865,2
866,2
867,1
868,2
869,1
870,1
871,1
872,0
873,1
874,2
875,1
877,2
878,0
879,2
880,0
881,1
884,2
885,1
886,0
888,1
889,1
890,2
891,1
893,1
894,1
895,0
897,0
898,0
899,0
900,0
902,2
903,2
904,0
905,1
907,1
909,2
910,1
911,0
913,0
914,1
915,2
916,2
917,0
918,0
920,2
922,1
923,2
924,1
925,1
926,1
927,0
930,0
932,2
935,0
936,2
938,1
941,1
942,0
943,2
944,1
945,1
947,1
948,1
949,2
950,0
951,1
952,1
953,2
955,1
956,1
957,2
959,0
961,2
962,1
964,2
965,2
966,1
968,2
969,0
970,1
972,1
973,1
974,0
975,2
976,1
977,1
978,1
979,2
980,0
981,1
982,1
983,2
984,1
985,2
986,0
987,0
988,2
989,1
990,1
992,2
993,2
994,1
995,0
996,0
997,1
998,0
999,2
1000,0
1001,0
1002,0
1003,2
1004,0
1005,2
1006,1
1007,0
1008,0
1009,0
1010,1
1011,1
1012,2
1013,0
1014,0
1016,1
1017,2
1018,0
1019,2
1020,2
1022,2
1023,1
1024,0
1025,1
1026,0
1028,1
1029,0
1030,2
1031,1
1033,0
1034,2
1035,2
1036,1
1037,2
1038,1
1039,2
1040,0
1041,2
1042,1
1043,0
1044,0
1045,1
1046,1
1047,0
1049,2
1050,1
1051,2
1052,2
1053,1
1054,1
1055,2
1056,0
1057,2
1058,2
1059,0
1060,2
1061,2
1062,0
1063,2
1064,2
1065,1
1066,0
1068,2
1069,2
1071,2
1072,2
1073,1
1074,0
1075,2
1076,0
1077,1
1078,0
1079,0
1080,0
1081,1
1082,1
1084,0
1085,0
1086,0
1087,1
1088,2
1090,0
1092,0
1093,1
1094,1
1096,0
1098,2
1100,0
1101,0
1103,2
1104,1
1106,0
1109,1
1111,1
1112,0
1113,1
1114,0
1115,2
1116,1
1118,2
1120,1
1121,1
1122,1
1123,1
1124,0
1126,1
1128,1
1130,2
1131,2
1132,2
1134,1
1136,0
1137,1
1138,1
1139,2
1140,0
1143,0
1145,1
1146,0
1147,1
1148,2
1149,0
1150,2
1151,0
1152,0
1153,2
1154,2
1155,2
1156,0
1157,2
1158,2
1161,1
1162,2
1163,2
1164,2
1165,1
1166,1
1167,2
1168,2
1169,0
1170,2
1172,1
1173,2
1174,2
1176,1
1177,2
1178,2
1179,1
1180,2
1182,2
1183,1
1184,0
1185,1
1186,2
1187,2
1189,0
1190,1
1191,1
1192,1
1193,1
1194,1
1196,1
1197,0
1198,2
1199,0
1200,0
1201,0
1202,0
1203,0
1205,0
1206,1
1208,0
1209,0
1210,0
1211,2
1212,2
1214,2
1215,0
1216,1
1219,1
1220,0
1221,1
1222,0
1223,1
1224,2
1225,2
1226,2
1227,1
1228,1
1230,1
1231,2
1232,2
1233,2
1235,1
1236,1
1237,1
1238,1
1239,2
1240,2
1241,2
1245,1
1246,0
1248,2
1249,2
1250,2
1251,2
1253,2
1254,0
1255,1
1256,1
1258,0
1259,0
1260,1
1262,0
1263,2
1264,1
1265,1
1266,2
1267,2
1268,1
1269,1
1270,1
1271,1
1272,2
1273,1
1274,1
1275,2
1276,2
1278,1
1279,0
1280,2
1281,1
1282,2
1284,1
1285,0
1286,1
1287,1
1288,1
1289,2
1291,2
1292,2
1293,2
1296,2
1297,1
1298,2
1299,1
1300,2
1301,0
1304,0
1305,2
1306,2
1307,2
1308,1
1309,2
1310,0
1311,0
1312,0
1313,1
1315,2
1316,2
1317,1
1318,0
1319,0
1320,1
1321,1
1323,1
1324,1
1325,2
1326,2
1327,1
1328,2
1329,2
1330,1
1331,2
1332,0
1333,1
1337,1
1338,1
1339,1
1340,1
1341,2
1343,2
1345,0
1346,0
1347,2
1348,1
1349,2
1350,0
1352,2
1354,1
1355,2
1356,2
1357,1
1358,1
1359,1
1361,1
1362,2
1363,0
1364,1
1365,2
1366,0
1367,0
1368,1
1369,1
1372,1
1374,2
1375,0
1376,2
1377,0
1378,2
1379,2
1380,2
1382,0
1384,2
1385,1
1386,1
1389,1
1390,2
1392,2
1393,2
1394,0
1395,1
1396,0
1397,2
1398,1
1402,0
1403,1
1404,0
1405,1
1406,0
1407,1
1409,1
1410,2
1411,1
1413,1
1415,2
1417,1
1418,2
1419,1
1421,0
1422,1
1423,2
1424,0
1425,0
1426,2
1428,1
1429,1
1430,1
1431,2
1433,0
1434,0
1436,2
1437,1
1438,0
1439,2
1440,0
1442,1
1443,0
1444,0
1445,0
1446,2
1447,2
1448,1
1449,1
1453,2
1454,2
1455,1
1456,2
1457,0
1458,0
1459,0
1461,2
1462,0
1464,2
1467,2
1468,1
1469,1
1470,1
1471,1
1472,2
1473,2
1474,0
1475,0
1478,1
1479,0
1481,2
1484,1
1485,0
1487,1
1488,2
1489,2
1490,0
1491,1
1493,0
1494,1
1495,1
1496,0
1497,1
1498,0
1499,2
1501,1
1503,1
1504,0
1505,2
1506,0
1509,1
1512,0
1513,1
1515,0
1516,1
1517,0
1518,1
1519,2
1520,1
1521,0
1523,1
1524,2
1525,1
1526,1
1528,0
1529,1
1530,1
1531,0
1533,1
1536,1
1537,1
1538,1
1539,1
1540,1
1541,0
1542,2
1543,2
1544,0
1545,1
1547,2
1548,1
1550,1
1552,2
1554,1
1557,2
1558,2
1560,2
1562,1
1563,0
1564,1
1565,2
1566,2
1568,2
1569,0
1570,1
1571,2
1572,0
1573,0
1577,2
1578,0
1579,2
1580,0
1581,2
1582,1
1583,0
1584,1
1585,2
1586,1
1589,1
1590,1
1592,0
1595,1
1598,1
1600,1
1601,2
1602,2
1603,2
1605,1
1606,0
1609,1
1610,0
1611,1
1612,2
1615,2
1616,0
1617,2
1618,0
1619,1
1620,0
1621,2
1622,1
1623,0
1624,0
1625,2
1626,2
1627,1
1629,0
1630,2
1632,0
1633,2
1634,1
1636,1
1638,2
1639,0
1641,1
1642,2
1644,0
1645,1
1647,1
1649,0
1650,2
1651,0
1653,1
1654,2
1657,2
1659,0
1661,0
1662,2
1663,0
1665,0
1667,1
1668,0
1670,2
1671,2
1674,2
1675,0
1676,2
1677,1
1678,2
1680,2
1682,2
1686,0
1687,2
1688,0
1689,2
1690,2
1694,0
1695,2
1696,0
1697,1
1699,1
1700,2
1701,0
1702,2
1703,2
1705,0
1708,2
1710,0
1711,0
1714,2
1715,2
1716,2
1718,2
1720,0
1721,2
1722,1
1723,2
1724,0
1725,0
1729,1
1733,2
1734,2
1735,1
1737,2
1738,1
1739,1
1740,2
1742,1
1743,0
1744,1
1746,2
1751,0
1753,1
1755,0
1756,2
1762,0
1766,2
1767,2
1768,0
1769,1
1771,2
1774,2
1775,2
1776,1
1777,0
1778,0
1780,1
1782,0
1783,2
1784,0
1786,2
1787,2
1788,0
1790,0
1791,2
1792,2
1793,1
1794,0
1795,1
1796,0
1797,2
1799,2
1800,0
1801,1
1803,0
1804,1
1805,1
1808,0
1810,2
1811,2
1812,2
1813,2
1814,2
1815,1
1816,2
1817,2
1818,1
1819,2
1820,1
1821,0
1824,1
1825,0
1826,0
1827,1
1828,2
1829,2
1830,2
1831,0
1832,1
1833,2
1834,2
1836,0
1837,2
1838,2
1839,0
1841,0
1843,0
1844,2
1845,1
1847,1
1848,0
1850,1
1851,0
1852,1
1853,2
1854,1
1855,1
1856,2
1857,2
1858,1
1859,2
1860,1
1861,0
1863,2
1864,2
1865,2
1866,0
1868,2
1869,2
1871,1
1872,2
1874,0
1875,2
1876,2
1877,0
1881,2
1882,2
1884,2
1885,1
1888,2
1891,2
1892,2
1893,1
1894,1
1895,1
1896,2
1897,0
1899,2
1901,2
1903,1
1904,0
1905,0
1906,1
1909,2
1911,1
1912,2
1914,2
1915,2
1917,1
1918,1
1919,2
1920,0
1921,0
1922,1
1923,2
1924,2
1925,2
1926,0
1928,1
1929,2
1931,0
