,cluster
3,3
5,0
6,3
8,5
9,5
10,5
11,7
12,5
13,3
14,1
15,3
16,5
18,6
19,5
20,6
22,1
23,4
24,3
25,5
26,7
27,3
28,3
29,6
30,3
31,6
32,0
33,5
36,3
37,5
38,6
39,5
41,1
43,3
45,1
46,5
47,1
48,3
49,0
50,7
51,2
52,6
53,5
55,2
56,4
57,7
59,3
60,1
61,5
63,5
64,4
65,5
66,3
67,1
68,6
69,2
70,2
71,7
72,0
73,1
74,1
75,4
76,2
77,7
78,2
80,4
81,0
82,3
83,0
85,7
86,7
87,2
88,0
89,5
90,0
91,6
92,7
93,2
94,1
95,2
96,2
97,1
98,6
99,5
100,0
101,6
102,6
103,0
104,2
107,0
108,7
109,1
110,5
111,6
112,1
113,7
114,2
115,5
116,5
117,5
118,6
119,0
120,1
122,2
123,1
124,2
125,0
126,3
128,5
129,2
130,4
131,2
132,5
133,7
134,5
136,0
137,2
138,5
139,6
140,3
141,5
143,6
144,3
145,3
146,1
148,0
149,0
150,6
151,7
152,3
153,5
154,7
156,1
157,3
159,5
161,5
162,3
163,3
165,7
166,6
167,3
168,1
170,1
171,3
172,3
173,6
174,4
175,3
177,6
179,2
180,0
181,1
182,6
183,7
184,0
185,6
186,5
187,1
188,2
189,4
190,2
191,5
195,2
196,4
197,5
199,3
200,4
201,4
202,0
203,4
204,5
205,0
207,6
209,5
210,6
212,5
213,2
214,5
216,3
217,5
219,3
221,2
222,2
223,3
224,5
225,0
227,7
228,0
230,5
233,2
234,4
235,1
236,6
237,4
238,6
239,6
240,7
241,1
242,3
243,6
244,2
245,1
246,6
247,6
249,4
250,1
252,7
253,3
255,7
256,3
257,1
258,7
259,2
260,3
261,7
262,4
263,1
265,1
266,5
269,5
270,3
271,7
272,4
273,6
274,5
275,3
276,7
278,3
279,5
280,4
281,5
282,5
283,4
284,3
286,5
287,3
288,7
289,3
290,6
291,0
292,5
293,0
295,7
296,3
297,0
298,1
299,1
300,7
302,4
303,1
304,2
305,3
306,1
307,5
308,5
309,6
310,1
311,1
312,5
313,3
314,0
315,1
316,5
317,1
318,0
319,7
320,2
321,0
322,4
323,5
324,0
325,6
326,3
327,3
328,2
329,2
330,6
332,0
333,0
334,7
335,6
336,4
337,2
339,6
340,6
341,5
343,5
344,3
345,2
346,1
348,5
350,1
351,3
352,6
353,1
354,6
355,2
357,3
358,6
359,3
361,2
362,3
363,1
364,3
365,3
366,3
367,6
368,0
369,7
370,2
371,1
373,5
374,7
375,2
376,3
378,2
379,5
380,3
381,2
382,1
383,3
384,5
386,5
387,2
388,5
390,2
391,4
392,1
393,2
394,3
395,1
397,0
398,7
399,5
400,7
401,3
402,5
403,5
404,7
405,6
406,0
407,5
408,2
409,0
411,5
412,7
413,5
415,1
416,2
418,6
419,1
420,3
421,7
422,5
424,4
425,3
426,3
427,1
428,1
429,7
430,2
432,7
433,5
434,3
435,3
437,1
438,1
439,3
440,5
441,6
442,5
443,6
444,7
445,1
446,5
447,7
448,4
449,3
450,6
451,2
452,1
453,7
455,5
456,0
457,6
458,6
459,5
462,0
463,3
464,0
465,7
466,3
467,5
468,0
469,4
470,3
471,0
472,1
473,0
474,3
476,6
478,2
479,1
480,1
481,4
482,1
484,3
486,4
487,3
488,6
489,1
491,7
493,0
495,6
496,5
497,5
499,3
502,3
503,1
504,2
505,5
506,7
507,2
508,2
509,3
510,5
511,6
512,6
513,2
514,1
516,2
519,7
522,6
523,7
525,6
530,2
531,6
532,3
534,5
537,5
538,1
540,4
541,7
542,3
545,1
548,1
549,3
550,7
551,1
553,1
554,6
555,7
556,3
558,0
559,3
560,3
561,6
562,0
563,1
565,3
566,7
567,1
568,2
569,1
571,2
572,3
573,3
575,5
576,5
577,3
579,4
581,1
582,5
583,7
584,3
585,6
586,3
587,5
588,1
589,1
590,7
591,6
592,3
593,7
594,1
595,3
596,3
597,3
598,6
599,0
600,4
604,6
605,2
606,1
607,7
608,0
609,1
610,5
611,1
612,1
614,4
616,3
618,7
619,1
621,5
622,7
623,1
624,5
625,3
627,2
628,7
629,6
630,5
631,4
632,6
634,6
637,6
638,1
639,1
641,2
642,4
643,0
644,0
645,1
646,1
647,7
648,1
649,3
650,5
651,1
652,0
653,1
654,6
655,3
656,5
657,6
658,5
659,0
660,5
661,2
662,0
663,4
664,1
665,4
666,3
668,6
669,1
670,2
672,6
673,3
674,6
675,0
676,7
677,4
678,5
679,1
680,4
681,3
682,6
683,3
685,1
686,4
687,2
689,4
690,1
693,7
694,0
695,4
697,5
699,4
700,0
701,1
703,4
704,7
705,0
706,4
707,3
709,1
710,1
712,1
713,5
714,5
715,2
716,5
717,5
718,1
719,2
720,0
724,6
725,5
726,4
727,7
728,7
729,4
730,0
731,0
732,5
733,3
735,7
736,2
737,1
738,0
740,3
741,1
743,5
744,1
745,1
746,7
748,3
749,6
750,0
752,3
753,5
755,0
756,1
757,1
758,2
759,1
761,0
762,3
763,7
764,4
765,3
766,3
768,4
771,6
772,3
776,7
777,4
779,6
780,6
782,0
783,0
784,0
785,7
788,1
789,5
790,5
791,5
792,7
793,2
795,7
797,2
798,0
799,0
800,5
801,6
802,7
803,2
804,6
805,7
806,3
807,1
808,6
809,1
810,7
811,0
812,6
813,7
814,0
816,2
817,4
818,5
819,5
820,3
822,5
823,0
824,3
825,3
826,5
827,1
828,0
829,0
830,0
831,7
832,0
833,1
834,7
836,5
838,7
839,4
840,1
841,3
842,5
843,2
844,5
845,7
847,3
848,7
849,3
850,7
851,1
852,5
853,7
854,2
855,3
856,7
857,5
858,1
859,1
860,1
861,5
862,3
863,4
865,4
866,3
867,6
868,7
869,6
870,7
871,7
872,3
873,6
874,3
875,2
877,1
878,3
879,4
880,0
881,6
884,7
885,6
886,3
888,2
889,5
890,7
891,6
893,0
894,5
895,3
897,3
898,3
899,3
900,3
902,4
903,1
904,0
905,5
907,2
909,7
910,5
911,3
913,3
914,2
915,4
916,1
917,7
918,7
920,1
922,2
923,4
924,0
925,2
926,6
927,0
930,3
932,4
935,3
936,4
938,7
941,6
942,7
943,7
944,6
945,2
947,2
948,6
949,3
950,5
951,6
952,2
953,1
955,2
956,5
957,7
959,3
961,7
962,5
964,4
965,1
966,5
968,1
969,5
970,6
972,5
973,0
974,0
975,7
976,5
977,7
978,5
979,1
980,7
981,2
982,5
983,4
984,5
985,7
986,3
987,3
988,5
989,2
990,2
992,3
993,1
994,6
995,3
996,3
997,5
998,1
999,1
1000,0
1001,3
1002,3
1003,3
1004,5
1005,4
1006,2
1007,3
1008,3
1009,0
1010,3
1011,6
1012,1
