,cluster
3,1
5,3
6,1
8,0
9,2
10,3
11,2
12,0
13,3
14,2
15,3
16,2
18,0
19,0
20,0
22,2
23,1
24,3
25,2
26,2
27,3
28,2
29,0
30,1
31,0
32,3
33,2
36,3
37,0
38,0
39,2
41,2
43,3
45,2
46,2
47,2
48,3
49,3
50,2
51,0
52,0
53,2
55,0
56,1
57,3
59,3
60,1
61,2
63,2
64,1
65,0
66,3
67,2
68,0
69,0
70,0
71,2
72,3
73,2
74,2
75,1
76,0
77,3
78,0
80,1
81,0
82,3
83,0
85,2
86,2
87,0
88,0
89,3
90,3
91,0
92,2
93,0
94,2
95,0
96,0
97,2
98,0
99,2
100,3
101,0
102,0
103,0
104,0
107,3
108,2
109,2
110,2
111,0
112,2
113,3
114,0
115,2
116,3
117,3
118,0
119,3
120,2
122,0
123,1
124,0
125,3
126,3
128,0
129,0
130,1
131,0
132,0
133,2
134,2
136,3
137,0
138,0
139,0
140,3
141,0
143,0
144,3
145,1
146,2
148,0
149,0
150,0
151,2
152,3
153,2
154,2
156,1
157,1
159,3
161,2
162,3
163,3
165,2
166,0
167,3
168,2
170,2
171,3
172,3
173,0
174,1
175,3
177,0
179,0
180,3
181,2
182,0
183,2
184,0
185,0
186,0
187,2
188,0
189,1
190,0
191,2
195,0
196,1
197,0
199,3
200,1
201,1
202,0
203,1
204,0
205,0
207,0
209,3
210,0
212,2
213,0
214,2
216,0
217,2
219,3
221,0
222,0
223,3
224,3
225,0
227,2
228,2
230,2
233,0
234,1
235,2
236,0
237,1
238,0
239,0
240,2
241,2
242,3
243,0
244,0
245,1
246,0
247,0
249,1
250,2
252,2
253,3
255,2
256,3
257,1
258,2
259,0
260,3
261,3
262,1
263,2
265,2
266,3
269,2
270,3
271,2
272,1
273,0
274,3
275,3
276,2
278,1
279,2
280,1
281,2
282,0
283,1
284,3
286,2
287,3
288,2
289,3
290,0
291,3
292,0
293,3
295,2
296,3
297,3
298,1
299,1
300,2
302,1
303,2
304,0
305,3
306,2
307,0
308,2
309,0
310,1
311,2
312,0
313,3
314,0
315,1
316,0
317,1
318,3
319,2
320,0
321,0
322,1
323,2
324,3
325,0
326,3
327,3
328,0
329,0
330,0
332,3
333,0
334,2
335,0
336,1
337,0
339,0
340,0
341,0
343,0
344,3
345,0
346,1
348,0
350,2
351,3
352,0
353,2
354,0
355,0
357,3
358,0
359,3
361,0
362,3
363,2
364,1
365,3
366,3
367,0
368,3
369,2
370,0
371,2
373,2
374,2
375,0
376,3
378,0
379,0
380,2
381,0
382,2
383,3
