,cluster
3,1
5,6
6,1
8,0
9,5
10,5
11,5
12,0
13,1
14,7
15,1
16,0
18,4
19,0
20,6
22,7
23,2
24,6
25,0
26,5
27,1
28,5
29,4
30,1
31,4
32,6
33,0
36,6
37,0
38,4
39,0
41,7
43,1
45,7
46,0
47,7
48,1
49,6
50,5
51,4
52,4
53,0
55,3
56,2
57,5
59,6
60,7
61,5
63,0
64,2
65,0
66,1
67,7
68,4
69,3
70,3
71,5
72,6
73,5
74,7
75,2
76,3
77,5
78,3
80,2
81,6
82,1
83,6
85,5
86,5
87,3
88,6
89,5
90,6
91,4
92,5
93,3
94,7
95,3
96,3
97,7
98,4
99,0
100,6
101,4
102,4
103,6
104,3
107,6
108,5
109,5
110,0
111,4
112,7
113,5
114,3
115,0
116,5
117,0
118,4
119,6
120,5
122,3
123,7
124,3
125,6
126,6
128,0
129,3
130,2
131,3
132,0
133,5
134,0
136,6
137,3
138,0
139,4
140,1
141,0
143,4
144,6
145,1
146,7
148,6
149,6
150,4
151,5
152,1
153,5
154,5
156,7
157,1
159,0
161,0
162,1
163,1
165,5
166,4
167,1
168,5
170,7
171,1
172,1
173,4
174,2
175,1
177,4
179,3
180,6
181,7
182,4
183,5
184,6
185,4
186,0
187,7
188,3
189,2
190,3
191,0
195,3
196,2
197,0
199,5
200,2
201,2
202,6
203,2
204,0
205,6
207,4
209,0
210,4
212,0
213,3
214,0
216,5
217,5
219,6
221,4
222,3
223,1
224,5
225,6
227,5
228,6
230,0
233,3
234,2
235,7
236,4
237,2
238,4
239,0
240,5
241,7
242,1
243,0
244,3
245,7
246,0
247,4
249,2
250,7
252,5
253,1
255,5
256,1
257,7
258,5
259,3
260,6
261,5
262,2
263,5
265,7
266,0
269,0
270,1
271,5
272,2
273,4
274,0
275,1
276,5
278,1
279,5
280,2
281,0
282,0
283,2
284,1
286,5
287,1
288,5
289,1
290,4
291,6
292,0
293,6
295,5
296,6
297,6
298,7
299,7
300,5
302,2
303,7
304,3
305,1
306,7
307,0
308,0
309,4
310,5
311,7
312,0
313,1
314,6
315,7
316,0
317,7
318,6
319,5
320,3
321,0
322,2
323,0
324,6
325,6
326,1
327,1
328,4
329,4
330,4
332,6
333,6
334,5
335,4
336,2
337,3
339,4
340,4
341,0
343,0
344,6
345,4
346,7
348,0
350,7
351,1
352,0
353,5
354,4
355,3
357,1
358,6
359,6
361,3
362,6
363,7
364,1
365,1
366,1
367,4
368,6
369,5
370,3
371,7
373,5
374,5
375,3
376,6
378,3
379,0
380,1
381,3
382,7
383,1
384,0
386,5
387,3
388,0
390,4
391,2
392,7
393,3
394,1
395,7
397,6
398,5
399,0
400,5
401,1
402,0
403,5
404,5
405,4
406,6
407,0
408,3
409,6
411,0
412,5
413,0
415,7
416,3
418,6
419,7
420,1
421,5
422,0
424,2
425,1
426,1
427,7
428,7
429,5
430,3
432,5
433,0
434,5
435,1
437,7
438,7
439,1
440,0
441,0
442,0
443,4
444,5
445,5
446,5
447,5
448,2
449,6
450,4
451,3
452,7
453,5
455,0
456,6
457,4
458,0
459,0
462,6
463,1
464,6
465,5
466,1
467,0
468,6
469,2
470,6
471,6
472,7
473,6
474,1
476,0
478,4
479,7
480,7
481,2
482,7
484,1
486,2
487,1
488,4
489,7
491,0
493,6
495,4
496,0
497,0
499,1
502,1
503,2
504,4
505,0
506,1
507,3
508,4
509,5
510,0
511,4
512,4
513,3
514,7
516,3
519,5
522,4
523,5
525,4
530,3
531,0
532,1
534,5
537,0
538,5
540,2
541,5
542,1
545,5
548,5
549,1
550,5
551,5
553,5
554,4
555,5
556,1
558,6
559,5
560,1
561,4
562,6
563,7
565,1
566,5
567,7
568,3
569,7
571,3
572,1
573,1
575,0
576,0
577,1
579,2
581,5
582,5
583,5
584,5
585,4
586,1
587,0
588,7
589,7
590,5
591,4
592,1
593,5
594,5
595,1
596,1
597,1
598,4
599,6
600,2
604,4
605,4
606,5
607,5
608,0
609,7
610,0
611,7
612,7
614,2
616,6
618,5
619,7
621,5
622,5
623,5
624,5
625,1
627,3
628,5
629,4
630,0
631,2
632,6
634,4
637,4
638,7
639,7
641,3
642,2
643,6
644,6
645,7
646,5
647,5
648,7
649,1
650,0
651,7
652,6
653,7
654,4
655,1
656,0
657,0
658,0
659,6
660,0
661,3
662,6
663,2
664,7
665,2
666,6
668,4
669,7
670,3
672,4
673,1
674,4
675,6
676,5
677,1
678,0
679,7
680,2
681,1
682,4
683,1
685,5
686,2
687,4
689,2
690,7
693,5
694,6
695,2
697,0
699,2
700,6
701,7
703,7
704,5
705,6
706,2
707,1
709,7
710,7
712,7
713,0
714,5
715,3
716,5
717,0
718,1
719,3
720,6
724,4
725,5
726,2
727,5
728,5
729,7
730,6
731,6
732,5
733,1
735,5
736,3
737,5
738,6
740,6
741,7
743,0
744,7
745,7
746,5
748,1
749,4
750,6
752,1
753,0
755,6
756,7
757,7
758,3
759,5
761,6
762,1
763,5
764,2
765,1
766,6
768,2
771,4
772,6
776,5
777,2
779,4
780,4
782,6
783,6
784,6
785,5
788,7
789,0
790,0
791,0
792,5
793,3
795,5
797,4
798,6
799,6
800,0
801,4
802,5
803,3
804,4
805,5
806,6
807,7
808,4
809,7
810,5
811,6
812,4
813,5
814,6
816,3
817,2
818,5
819,0
820,1
822,0
823,6
824,1
825,1
826,0
827,7
828,6
829,6
830,6
831,5
832,6
833,5
834,5
836,0
838,5
839,2
840,7
841,1
842,0
843,3
844,0
845,5
847,1
848,5
849,1
850,5
851,7
852,0
853,5
854,3
855,1
856,5
857,0
858,7
859,7
860,5
861,0
862,5
863,2
865,2
866,1
867,4
868,5
869,4
870,5
871,5
872,1
873,4
874,1
875,4
877,7
878,6
879,2
880,6
881,4
884,5
885,4
886,1
888,3
889,0
890,5
891,4
893,6
894,0
895,1
897,1
898,1
899,6
900,1
902,2
903,7
904,6
905,0
907,3
909,5
910,0
911,1
913,1
914,4
915,2
916,7
917,5
918,5
920,7
922,3
923,2
924,6
925,3
926,4
927,6
930,1
932,2
935,1
936,2
938,5
941,4
942,5
943,5
944,6
945,3
947,3
948,4
949,1
950,0
951,4
952,3
953,7
955,3
956,5
957,5
959,5
961,5
962,0
964,2
965,5
966,0
968,7
969,0
970,4
972,0
973,6
974,6
975,5
976,0
977,5
978,0
979,5
980,5
981,3
982,0
983,2
984,0
985,5
986,1
987,1
988,5
989,3
990,3
992,1
993,5
994,4
995,1
996,1
997,0
998,7
999,7
1000,6
1001,1
1002,1
1003,1
1004,0
1005,2
1006,4
1007,5
1008,1
1009,6
1010,1
1011,4
1012,7
1013,1
1014,0
1016,6
1017,7
1018,6
1019,7
1020,2
1022,7
1023,4
1024,1
1025,0
1026,6
1028,6
1029,5
1030,7
1031,0
1033,1
1034,7
1035,7
1036,0
1037,5
1038,0
1039,5
1040,6
1041,7
1042,4
1043,1
1044,1
1045,0
1046,0
1047,1
1049,5
1050,3
1051,7
1052,5
1053,5
1054,3
1055,5
1056,1
1057,7
1058,7
1059,1
1060,0
1061,1
1062,1
1063,7
1064,7
1065,0
1066,1
1068,5
1069,5
1071,5
1072,0
1073,5
1074,6
1075,2
1076,1
1077,4
1078,1
1079,1
1080,5
1081,0
1082,4
1084,1
1085,0
1086,1
1087,6
1088,7
1090,1
1092,1
1093,0
1094,0
1096,1
1098,5
1100,5
1101,1
1103,5
1104,6
1106,5
1109,0
1111,3
1112,5
1113,3
1114,1
1115,5
1116,4
1118,2
1120,4
1121,0
1122,0
1123,5
1124,1
1126,0
1128,3
1130,7
1131,5
1132,5
1134,6
1136,1
1137,3
1138,0
1139,5
1140,6
1143,1
1145,5
1146,5
1147,3
1148,5
1149,5
1150,5
1151,1
1152,1
1153,5
1154,2
1155,2
1156,6
1157,7
1158,2
1161,6
1162,2
1163,7
1164,7
1165,6
1166,4
1167,6
1168,2
1169,1
1170,7
1172,0
1173,7
1174,7
1176,0
1177,7
1178,7
1179,4
1180,7
1182,5
1183,6
1184,5
1185,4
1186,2
1187,7
1189,5
1190,4
1191,4
1192,6
1193,4
1194,0
1196,0
1197,1
1198,5
1199,1
1200,6
1201,1
1202,5
1203,1
1205,1
1206,4
1208,5
1209,5
1210,6
1211,7
1212,5
1214,5
1215,5
1216,0
1219,3
1220,1
1221,6
1222,1
1223,4
1224,2
1225,7
1226,2
1227,4
1228,6
1230,4
1231,2
1232,2
1233,5
1235,0
1236,4
1237,3
1238,5
1239,5
1240,5
1241,2
1245,4
1246,1
1248,2
1249,7
1250,7
1251,7
1253,5
1254,6
1255,3
1256,6
1258,5
1259,6
1260,3
1262,5
1263,7
1264,3
1265,3
1266,5
1267,7
1268,0
1269,6
1270,6
1271,0
1272,0
1273,4
1274,6
1275,2
1276,7
1278,3
1279,6
1280,2
1281,3
1282,7
1284,3
1285,6
1286,4
1287,4
1288,0
1289,7
1291,2
1292,2
1293,5
1296,1
1297,3
1298,7
1299,3
1300,2
1301,1
1304,1
1305,1
1306,5
1307,5
1308,4
1309,2
1310,1
1311,1
1312,1
1313,5
1315,7
1316,2
1317,0
1318,5
1319,1
1320,3
1321,0
1323,3
1324,4
1325,7
1326,7
1327,0
1328,7
1329,2
1330,0
1331,7
1332,6
1333,0
1337,0
1338,4
1339,6
1340,4
1341,7
1343,7
1345,6
1346,1
1347,5
1348,3
1349,2
1350,6
1352,5
1354,0
1355,2
1356,7
1357,4
1358,0
1359,4
1361,0
1362,5
1363,1
1364,3
1365,2
1366,6
1367,5
1368,3
1369,0
1372,6
1374,5
1375,6
1376,5
1377,6
1378,5
1379,2
1380,7
1382,5
1384,7
1385,4
1386,4
1389,4
1390,7
1392,5
1393,7
1394,5
1395,4
1396,5
1397,2
1398,4
1402,0
1403,3
1404,1
1405,4
1406,5
1407,3
1409,0
1410,5
1411,0
1413,4
1415,7
1417,4
1418,2
1419,0
1421,1
1422,5
1423,7
1424,1
1425,1
1426,7
1428,4
1429,0
1430,6
1431,2
1433,5
1434,1
1436,7
1437,5
1438,6
1439,7
1440,1
1442,0
1443,6
1444,5
1445,1
1446,7
1447,7
1448,3
1449,4
1453,2
1454,5
1455,3
1456,5
1457,7
1458,1
1459,6
1461,7
1462,1
1464,7
1467,5
1468,0
1469,0
1470,0
1471,4
1472,5
1473,7
1474,5
1475,1
1478,4
1479,1
1481,2
1484,0
1485,5
1487,4
1488,7
1489,7
1490,1
1491,0
1493,1
1494,0
1495,3
1496,6
1497,3
1498,1
1499,7
1501,0
1503,0
1504,1
1505,5
1506,6
1509,3
1512,6
1513,0
1515,1
1516,3
1517,1
1518,6
1519,5
1520,0
1521,1
1523,4
1524,2
1525,4
1526,0
1528,6
1529,3
1530,4
1531,6
1533,4
1536,6
1537,0
1538,0
1539,3
1540,3
1541,1
1542,7
1543,5
1544,1
1545,6
1547,7
1548,3
1550,0
1552,2
1554,0
1557,5
1558,1
1560,5
1562,4
1563,6
1564,0
1565,7
1566,2
1568,2
1569,6
1570,6
1571,1
1572,5
1573,1
1577,5
1578,5
1579,5
1580,1
1581,7
1582,3
1583,5
1584,0
1585,2
1586,5
1589,4
1590,3
1592,6
1595,5
1598,0
1600,0
1601,5
1602,5
1603,5
1605,4
1606,5
1609,3
1610,0
1611,0
1612,5
1615,7
1616,0
1617,2
1618,1
1619,5
1620,5
1621,7
1622,6
1623,1
1624,5
1625,2
1626,7
1627,3
1629,5
1630,7
1632,0
1633,5
1634,4
1636,6
1638,5
1639,5
1641,0
1642,5
1644,1
1645,4
1647,3
1649,1
1650,7
1651,1
1653,0
1654,7
1657,2
1659,1
1661,5
1662,2
1663,1
1665,5
1667,0
1668,7
1670,2
1671,7
1674,5
1675,1
1676,5
1677,4
1678,2
1680,5
1682,7
1686,1
1687,7
1688,6
1689,2
1690,7
1694,6
1695,2
1696,4
1697,3
1699,0
1700,5
1701,6
1702,7
1703,5
1705,6
1708,7
1710,5
1711,1
1714,5
1715,5
1716,7
1718,2
1720,1
1721,5
1722,0
1723,5
1724,1
1725,0
1729,4
1733,2
1734,2
1735,4
1737,2
1738,0
1739,6
1740,7
1742,3
1743,6
1744,4
1746,2
1751,5
1753,6
1755,6
1756,5
1762,5
1766,5
1767,2
1768,1
1769,0
1771,5
1774,7
1775,5
1776,0
1777,1
1778,6
1780,6
1782,6
1783,2
1784,1
1786,7
1787,7
1788,6
1790,1
1791,2
1792,7
1793,0
1794,0
1795,4
1796,6
1797,2
1799,5
1800,5
1801,0
1803,1
1804,6
1805,6
1808,6
1810,5
1811,5
1812,7
1813,7
1814,2
1815,5
1816,5
1817,5
1818,3
1819,7
1820,6
1821,5
1824,4
1825,1
1826,5
1827,0
1828,5
1829,7
1830,7
1831,1
1832,5
1833,5
1834,2
1836,1
1837,7
1838,5
1839,1
1841,1
1843,5
1844,5
1845,0
1847,4
1848,5
1850,0
1851,5
1852,4
1853,2
1854,4
1855,4
1856,1
1857,7
1858,0
1859,5
1860,4
1861,6
1863,1
1864,7
1865,7
1866,1
1868,7
1869,5
1871,4
1872,7
1874,6
1875,5
1876,7
1877,1
1881,7
1882,5
