index,cluster
0,12
1,21
2,27
3,1
4,28
5,22
6,13
7,16
8,3
9,16
10,27
11,7
12,27
13,3
14,12
15,28
16,28
17,12
18,16
19,11
20,12
21,6
22,13
23,13
24,27
25,16
26,12
27,15
28,9
29,12
30,16
31,1
32,20
33,8
34,26
35,13
36,12
37,3
38,7
39,6
40,8
41,3
42,4
43,18
44,28
45,22
46,16
47,16
48,3
49,18
50,4
51,13
52,6
53,17
54,22
55,22
56,27
57,16
58,18
59,16
60,18
61,4
62,28
63,22
64,6
65,13
66,18
67,13
68,21
69,18
70,13
71,6
72,1
73,16
74,14
75,27
76,1
77,13
78,16
79,27
80,22
81,26
82,27
83,1
84,18
85,12
86,12
87,1
88,30
89,3
90,14
91,6
92,6
93,10
94,0
95,15
96,28
97,12
98,8
99,22
100,6
101,22
102,27
103,31
104,16
105,1
106,3
107,23
108,28
109,3
110,3
111,28
112,12
113,3
114,27
115,3
116,12
117,27
118,30
119,24
120,28
121,16
122,13
123,1
124,27
125,0
126,18
127,3
128,18
129,30
130,26
131,28
132,21
133,13
134,13
135,0
136,13
137,27
138,14
139,18
140,28
141,12
142,26
143,30
144,22
145,12
146,14
147,30
148,6
149,22
150,16
151,27
152,3
153,16
154,27
155,27
156,6
157,16
158,13
159,27
160,18
161,16
162,18
163,27
164,16
165,28
166,12
167,26
168,18
169,10
170,16
171,10
172,22
173,12
174,6
175,12
176,16
177,27
178,14
179,3
180,7
181,28
182,1
183,13
184,22
185,13
186,31
187,13
188,3
189,16
190,3
191,4
192,12
193,27
194,16
195,26
196,12
197,13
198,12
199,16
200,27
201,3
202,13
203,22
204,3
205,18
206,13
207,13
208,1
209,22
210,18
211,31
212,4
213,0
214,1
215,6
216,12
217,1
218,27
219,10
220,27
221,12
222,18
223,13
224,16
225,12
226,22
227,16
228,18
229,4
230,16
231,18
232,18
233,3
234,18
235,13
236,12
237,14
238,28
239,18
240,27
241,12
242,0
243,3
244,3
245,27
246,26
247,1
248,6
249,1
250,16
251,30
252,13
253,22
254,27
255,13
256,13
257,28
258,22
259,18
260,22
261,12
262,30
263,3
264,12
265,6
266,10
267,22
268,3
269,22
270,7
271,16
272,16
273,0
274,16
275,28
276,16
277,3
278,14
279,22
280,10
281,27
282,14
283,9
284,13
285,27
286,31
287,22
288,13
289,16
290,10
291,6
292,22
293,3
294,3
295,22
296,13
297,22
298,31
299,13
300,27
301,12
302,4
303,18
304,1
305,29
306,27
307,27
308,6
309,17
310,28
311,27
312,14
313,28
314,7
315,6
316,7
317,28
318,16
319,12
320,6
321,16
322,23
323,13
324,12
325,29
326,7
327,22
328,22
329,16
330,22
331,16
332,12
333,6
334,22
335,3
336,13
337,10
338,16
339,12
340,22
341,13
342,3
343,7
344,13
345,27
346,21
347,10
348,12
349,12
350,27
351,16
352,3
353,24
354,18
355,16
356,16
357,26
358,3
359,14
360,7
361,16
362,10
363,3
364,27
365,16
366,14
367,27
368,30
369,27
370,1
371,3
372,16
373,30
374,14
375,7
376,26
377,26
378,7
379,31
380,16
381,13
382,3
383,1
384,13
385,9
386,0
387,16
388,13
389,13
390,21
391,7
392,6
393,18
394,27
395,12
396,27
397,6
398,3
399,12
400,4
401,30
402,13
403,3
404,22
405,3
406,6
407,13
408,13
409,3
410,27
411,3
412,7
413,22
414,3
415,6
416,16
417,22
418,31
419,1
420,1
421,27
422,13
423,4
424,7
425,7
426,16
427,16
428,10
429,0
430,1
431,18
432,12
433,10
434,3
435,27
436,16
437,3
438,3
439,3
440,14
441,13
442,21
443,13
444,21
445,28
446,3
447,8
448,1
449,1
450,6
451,21
452,16
453,1
454,29
455,22
456,14
457,3
458,7
459,28
460,10
461,27
462,16
463,22
464,22
465,10
466,16
467,22
468,16
469,1
470,22
471,16
472,21
473,27
474,16
475,7
476,13
477,13
478,4
479,7
480,7
481,1
482,1
483,13
484,13
485,12
486,1
487,3
