Unnamed: 0,cluster
3,4
5,4
6,7
8,5
9,3
10,6
11,2
12,7
13,6
14,6
15,5
16,5
18,4
19,7
20,4
22,2
23,5
24,6
25,5
26,4
27,7
28,4
29,4
30,4
31,4
32,5
33,5
36,4
37,5
38,5
39,4
41,6
43,4
45,3
46,3
47,1
48,5
49,4
50,3
51,7
52,4
53,4
55,7
56,0
57,5
59,7
60,3
61,0
63,5
64,3
65,4
66,7
67,3
68,5
69,4
70,5
71,4
72,5
73,1
74,3
75,1
76,4
77,5
78,4
80,3
81,5
82,5
83,7
85,6
86,2
87,5
88,4
89,4
90,4
91,5
92,3
93,4
94,2
95,5
96,5
97,3
98,5
99,4
100,5
101,5
102,4
103,5
104,5
107,4
108,4
109,3
110,5
111,1
112,3
113,6
114,6
115,4
116,6
117,4
118,4
119,5
120,3
122,5
123,2
124,4
125,7
126,7
128,5
129,5
130,3
131,5
132,5
133,3
134,3
136,7
137,7
138,4
139,5
140,5
141,4
143,7
144,7
145,7
146,0
148,6
149,4
150,4
151,1
152,6
153,4
154,3
156,6
157,6
159,4
161,4
162,6
163,6
165,5
166,5
167,5
168,3
170,2
171,6
172,6
173,7
174,2
175,4
177,4
179,4
180,5
181,0
182,4
183,5
184,7
185,5
186,5
187,2
188,4
189,6
190,5
191,4
195,5
196,0
197,4
199,6
200,3
201,1
202,4
203,6
204,4
205,4
207,5
209,4
210,5
212,5
213,5
214,3
216,6
217,4
219,4
221,4
222,4
223,5
224,4
225,6
227,4
228,5
230,5
233,4
234,0
235,3
236,5
237,6
238,4
239,5
240,4
241,4
242,6
243,4
244,-1
245,2
246,4
247,5
249,0
250,0
252,5
253,7
255,3
256,6
257,6
258,5
259,5
260,5
261,7
262,4
263,6
265,6
266,4
269,4
270,6
271,5
272,0
273,5
274,7
275,4
276,5
278,6
279,3
280,0
281,7
282,4
283,6
284,4
286,1
287,5
288,4
289,6
290,3
291,4
292,4
293,6
295,2
296,7
297,4
298,1
299,6
300,5
302,3
303,1
304,5
305,7
306,1
307,5
308,4
309,7
310,4
311,2
312,5
313,6
314,4
315,0
316,4
317,7
318,5
319,4
320,4
321,5
322,4
323,4
324,7
325,4
326,6
327,6
328,-1
329,4
330,4
332,5
333,5
334,1
335,4
336,1
337,5
339,4
340,7
341,4
343,7
344,4
345,4
346,6
348,5
350,1
351,5
352,5
353,4
354,4
355,5
357,6
358,4
359,4
361,4
362,6
363,0
364,1
365,4
366,6
367,7
368,4
369,7
370,7
371,3
373,4
374,5
375,4
376,6
378,5
379,6
380,5
381,4
382,7
383,5
384,7
386,3
387,5
388,7
390,6
391,2
392,7
393,5
394,6
395,1
397,4
398,2
399,4
400,5
401,1
402,5
403,4
404,2
405,5
406,5
407,4
408,4
409,4
411,4
412,5
413,5
415,2
416,5
418,5
419,1
420,4
421,2
422,5
424,0
425,6
426,6
427,1
428,0
429,5
430,4
432,4
433,4
434,7
435,4
437,5
438,2
439,7
440,5
441,4
442,7
443,3
444,5
445,7
446,2
447,5
448,0
449,7
450,5
451,5
452,4
453,4
455,5
456,5
457,7
458,4
459,5
462,4
463,6
464,5
465,-1
466,7
467,7
468,6
469,0
470,6
471,4
472,6
473,7
474,6
476,5
478,4
479,0
480,4
481,1
482,1
484,5
486,-1
487,0
488,-1
489,3
491,5
493,6
495,5
496,4
497,5
499,6
502,6
503,3
504,5
505,7
506,4
507,7
508,7
509,7
510,5
511,7
512,5
513,-1
514,7
516,4
519,5
522,6
523,6
525,6
530,5
531,4
532,6
534,6
537,5
538,3
540,1
541,1
542,5
545,0
548,2
549,6
550,5
551,1
553,3
554,5
555,5
556,6
558,4
559,6
560,6
561,5
562,4
563,0
565,6
566,5
567,3
568,4
569,6
571,5
572,5
573,4
575,4
576,4
577,6
579,3
581,3
582,3
583,5
584,4
585,5
586,7
587,5
588,0
589,7
590,5
591,5
592,6
593,7
594,1
595,6
596,6
597,4
598,4
599,5
600,0
604,4
605,5
606,3
607,3
608,5
609,6
610,5
611,0
612,1
614,6
616,4
618,5
619,1
621,1
622,4
623,5
624,4
625,6
627,5
628,2
629,4
630,6
631,0
632,4
634,4
637,5
638,3
639,2
641,4
642,5
643,5
644,4
645,3
646,4
647,7
648,0
649,6
650,4
651,1
652,4
653,1
654,-1
655,7
656,5
657,3
658,4
659,6
660,5
661,4
662,4
663,2
664,1
665,0
666,7
668,7
669,3
670,5
672,5
673,7
674,3
675,4
676,5
677,3
678,4
679,0
680,7
681,6
682,5
683,6
685,4
686,0
687,5
689,6
690,3
693,7
694,4
695,7
697,7
699,6
700,7
701,3
703,2
704,5
705,5
706,0
707,5
709,6
710,1
712,1
713,6
714,4
715,2
716,7
717,7
718,6
719,5
720,5
724,5
725,2
726,3
727,4
728,2
729,3
730,5
731,5
732,4
733,7
735,2
736,4
737,1
738,4
740,6
741,0
743,5
744,7
745,3
746,3
748,0
749,4
750,4
752,6
753,5
755,5
756,2
757,0
758,5
759,3
761,6
762,6
763,5
764,6
765,6
766,4
768,4
771,4
772,7
776,6
777,0
779,4
780,4
782,7
783,5
784,5
785,4
788,3
789,5
790,5
791,5
792,2
793,5
795,5
797,4
798,-1
799,7
800,2
801,7
802,2
803,4
804,7
805,4
806,6
807,3
808,4
809,6
810,3
811,6
812,7
813,5
814,5
816,5
817,3
818,6
819,4
820,6
822,3
823,5
824,7
825,6
826,4
827,2
828,6
829,7
830,4
831,5
832,4
833,2
834,6
836,5
838,4
839,3
840,0
841,7
842,4
843,5
844,4
845,7
847,7
848,5
849,6
850,4
851,6
852,5
853,5
854,5
855,4
856,3
857,4
858,6
859,6
860,2
861,5
862,5
863,6
865,6
866,6
867,4
868,4
869,4
870,5
871,5
872,6
873,5
874,4
875,4
877,0
878,5
879,1
880,4
881,4
884,2
885,4
886,7
888,4
889,7
890,5
891,4
893,4
894,4
895,6
897,7
898,6
899,7
900,7
902,0
903,2
904,4
905,4
907,4
909,2
910,5
911,4
913,4
914,5
915,0
916,7
917,5
918,4
920,6
922,5
923,6
924,5
925,5
926,5
927,5
930,5
932,2
935,4
936,2
938,4
941,4
942,4
943,2
944,5
945,5
947,5
948,5
949,6
950,7
951,4
952,5
953,3
955,4
956,4
957,3
959,6
961,5
962,4
964,3
965,2
966,7
968,7
969,7
970,5
972,4
973,5
974,7
975,5
976,5
977,4
978,7
979,6
980,4
981,5
982,6
983,4
984,7
985,2
986,4
987,7
988,5
989,4
990,5
992,7
993,6
994,5
995,4
996,6
997,3
998,6
999,2
1000,5
1001,5
1002,4
1003,6
1004,6
1005,3
1006,4
1007,6
1008,7
1009,5
1010,7
1011,5
1012,0
1013,7
1014,5
1016,4
1017,6
1018,6
1019,3
1020,1
