index,cluster
1,7
2,9
3,14
4,6
6,3
7,5
8,4
9,1
10,2
11,1
12,14
13,8
14,14
15,2
17,7
18,3
19,3
20,7
22,1
23,-1
25,7
26,11
27,4
28,4
29,14
31,1
32,7
33,-1
34,-1
37,7
38,1
39,6
41,-1
42,12
43,0
44,4
45,7
46,2
47,8
48,11
51,12
52,2
54,-1
55,10
56,3
57,5
58,1
59,1
60,2
61,10
63,-1
65,4
68,11
70,-1
71,5
72,5
74,14
75,1
76,10
77,1
78,10
79,-1
80,3
81,5
82,11
83,4
84,10
85,4
86,9
87,10
88,4
90,11
91,6
93,1
94,12
95,14
96,6
97,4
98,1
99,14
100,5
101,0
102,14
103,6
104,10
105,7
106,7
107,6
108,13
109,2
111,12
112,11
113,11
114,-1
115,6
116,-1
117,3
118,7
119,-1
120,5
123,11
124,5
126,14
127,-1
129,1
130,6
132,2
133,-1
134,3
135,2
136,2
137,3
139,7
142,2
144,14
145,2
146,7
147,14
148,13
149,-1
151,3
152,1
153,4
154,6
155,14
157,6
159,10
160,2
161,10
163,13
166,0
167,3
168,9
169,4
170,4
171,6
172,4
173,14
174,12
175,10
176,3
177,7
178,0
180,13
181,5
182,7
183,12
184,13
185,11
186,5
187,1
188,14
189,2
190,1
191,14
194,14
195,11
196,1
197,4
198,14
199,10
200,1
201,10
202,14
204,1
207,3
208,7
210,0
211,10
212,-1
213,1
214,-1
216,5
217,7
218,11
219,7
220,1
222,14
223,12
228,2
230,8
233,3
237,6
238,4
239,5
240,4
241,-1
243,4
244,2
246,1
247,2
249,-1
250,7
254,14
255,1
256,0
258,7
259,4
260,7
264,1
265,14
267,2
268,4
270,5
271,2
274,10
276,4
277,4
278,6
279,5
281,10
282,-1
283,-1
284,6
289,6
290,11
291,7
294,6
295,14
296,-1
297,14
298,7
299,10
300,4
301,1
304,7
305,5
307,1
308,10
310,-1
311,1
312,10
314,10
316,2
317,10
318,4
319,7
320,12
321,3
322,10
324,14
325,7
327,6
328,2
329,2
330,14
331,0
332,6
333,11
336,6
337,1
338,13
339,4
340,5
341,14
342,4
343,4
344,3
345,5
347,10
348,5
350,7
352,13
353,2
355,7
356,11
358,-1
359,5
360,2
361,5
363,8
365,1
367,1
370,6
371,1
372,3
374,1
376,2
380,12
381,5
382,-1
384,14
385,12
386,-1
387,4
391,14
392,-1
394,5
395,4
396,1
397,-1
399,11
400,5
401,2
406,2
408,5
410,4
411,5
413,-1
416,4
419,14
420,7
421,-1
422,10
424,6
426,-1
427,14
429,14
430,11
431,-1
432,3
434,14
435,12
437,3
438,8
441,11
442,8
443,3
444,1
445,7
447,11
448,1
449,-1
451,4
452,7
453,-1
454,8
455,5
456,5
459,1
461,5
462,1
465,7
467,11
468,5
469,2
470,4
471,-1
472,1
473,7
474,5
476,4
477,2
478,8
479,4
480,14
481,9
482,-1
484,7
486,7
487,14
488,1
489,2
490,-1
491,10
492,1
493,1
494,0
499,2
500,12
503,8
504,1
506,-1
507,2
508,14
509,1
510,12
511,14
513,13
514,14
515,6
516,2
517,1
520,13
521,12
522,8
523,0
524,0
525,8
527,-1
528,1
529,4
530,2
531,6
532,4
533,-1
534,-1
535,1
536,4
537,4
539,9
540,8
545,11
546,10
547,14
548,7
549,14
551,11
554,2
556,7
557,-1
558,13
559,4
560,2
561,5
563,2
564,11
565,4
567,4
568,2
569,14
571,2
572,8
573,5
575,2
576,11
578,1
579,5
580,-1
581,6
583,6
585,14
586,4
587,-1
589,8
590,8
591,1
592,1
593,-1
595,-1
597,6
598,10
600,7
601,-1
602,2
603,14
604,1
605,2
606,2
607,2
608,12
609,4
610,9
611,4
612,9
613,3
614,2
615,-1
616,6
618,6
619,11
622,9
623,1
624,6
628,-1
631,5
632,12
634,2
635,8
636,3
637,-1
639,14
640,1
641,5
642,5
643,-1
644,1
645,5
646,1
647,6
648,5
649,1
651,9
652,14
653,1
654,8
655,4
656,4
659,-1
660,8
661,8
662,6
664,6
665,4
666,4
667,7
668,6
669,2
670,12
671,7
672,4
673,-1
674,7
675,-1
677,1
678,1
679,2
680,1
683,14
684,-1
687,3
689,4
690,1
691,11
692,1
693,14
696,2
697,2
702,0
703,4
704,2
705,14
706,2
707,6
708,1
709,-1
710,4
711,-1
714,2
715,4
718,14
719,1
720,5
722,10
723,11
724,1
725,5
726,7
727,-1
728,7
729,-1
730,7
732,7
733,2
734,1
735,-1
736,-1
737,-1
738,1
740,4
741,7
742,10
744,3
746,1
747,1
748,14
749,2
750,4
751,5
752,5
753,-1
758,-1
759,14
762,14
764,14
765,14
767,12
769,14
771,5
772,1
773,1
774,5
775,0
776,-1
777,2
780,2
781,5
782,14
784,13
785,5
787,10
788,2
789,3
790,11
792,10
793,5
795,14
796,11
797,7
798,2
799,3
801,10
802,2
804,5
805,2
806,3
807,6
808,1
809,2
811,2
812,5
816,9
817,5
818,7
819,4
820,13
821,-1
824,9
825,12
826,1
827,4
831,-1
834,5
835,13
836,5
838,5
839,7
841,2
842,12
843,3
845,3
846,4
847,3
848,3
849,7
850,2
851,-1
852,6
