index,cluster
0,2
1,2
2,7
3,15
4,5
5,15
6,10
7,14
8,11
9,6
10,3
11,6
12,15
13,4
14,15
15,3
16,2
17,2
18,10
19,10
20,2
21,6
22,6
23,-1
24,12
25,2
26,1
27,11
28,11
29,15
30,0
31,6
32,2
33,-1
34,-1
35,-1
36,14
37,2
38,6
39,5
40,5
41,-1
42,-1
43,0
44,11
45,2
46,3
47,4
48,1
49,3
50,6
51,-1
52,3
53,9
54,-1
55,12
56,10
57,14
58,6
59,6
60,3
61,12
62,3
63,-1
64,3
65,11
66,2
67,7
68,1
69,1
70,-1
71,14
72,14
73,11
74,15
75,6
76,12
77,6
78,12
79,-1
80,10
81,14
82,1
83,11
84,12
85,11
86,7
87,12
88,11
89,6
90,1
91,5
92,15
93,6
94,13
95,15
96,5
97,11
98,6
99,15
100,14
101,0
102,15
103,5
104,12
105,2
106,2
107,5
108,9
109,3
110,12
111,13
112,1
113,1
114,8
115,-1
116,-1
117,10
118,2
119,-1
120,14
121,11
122,6
123,1
124,14
125,13
126,15
127,-1
128,8
129,6
130,5
131,10
132,3
133,-1
134,10
135,3
136,3
137,10
138,14
139,2
140,4
141,3
142,3
143,4
144,15
145,3
146,2
147,15
148,9
149,-1
150,6
151,10
152,6
153,11
154,5
155,15
156,0
157,-1
158,3
159,12
160,3
161,12
162,6
163,9
164,10
165,3
166,0
167,10
168,7
169,11
170,11
171,-1
172,11
173,15
174,13
175,12
176,10
177,2
178,0
179,2
180,9
181,14
182,2
183,13
184,9
185,1
186,14
187,6
188,15
189,3
190,6
191,15
192,3
193,-1
194,15
195,1
196,6
197,11
198,15
199,12
200,6
201,12
202,15
203,0
204,6
205,1
206,11
207,10
208,2
209,6
210,0
211,12
212,8
213,6
214,8
215,14
216,14
217,2
218,1
219,2
220,6
221,3
222,15
223,13
224,2
225,13
226,3
227,-1
228,3
229,-1
230,4
231,3
232,2
233,10
234,11
235,-1
236,2
237,5
238,11
239,14
240,11
241,-1
242,2
243,11
244,3
245,3
246,6
247,3
248,3
249,-1
250,2
251,-1
252,-1
253,5
254,15
255,6
256,0
257,-1
258,2
259,11
260,2
261,5
262,0
263,14
264,6
265,15
266,11
267,3
268,11
269,2
270,14
271,3
272,2
273,12
274,12
275,15
276,11
277,11
278,5
279,14
280,3
281,12
282,-1
283,-1
284,-1
285,14
286,11
287,9
288,6
289,5
290,1
291,2
292,15
293,6
294,5
295,15
296,8
297,15
298,2
299,12
300,11
301,6
302,9
303,2
304,2
305,14
306,8
307,6
308,12
309,3
310,-1
311,6
312,12
313,11
314,12
315,5
316,3
317,12
318,11
319,2
320,13
321,10
322,12
323,10
324,15
325,2
326,6
327,-1
328,3
329,3
330,15
331,0
332,5
333,1
334,3
335,14
336,5
337,6
338,9
339,11
340,14
341,15
342,11
343,11
344,10
345,14
346,6
347,12
348,14
349,1
350,2
351,6
352,9
353,3
354,7
355,2
356,1
357,6
358,8
359,14
360,3
361,14
362,6
363,4
364,6
365,6
366,3
367,6
368,15
369,5
370,-1
371,6
372,10
373,10
374,6
375,4
376,3
377,8
378,12
379,6
380,13
381,14
382,8
383,5
384,15
385,13
386,-1
387,11
388,2
389,5
390,3
391,15
392,-1
393,3
394,14
395,11
396,6
397,8
398,11
399,1
400,14
401,3
402,3
403,3
404,4
405,11
406,3
407,7
408,14
409,4
410,11
411,14
412,10
413,-1
414,-1
415,11
416,11
417,4
418,12
419,15
420,2
421,-1
422,12
423,10
424,5
425,13
426,-1
427,15
428,6
429,15
430,1
431,-1
432,10
433,-1
434,15
435,13
436,8
437,10
438,4
439,10
440,3
441,1
442,4
443,10
444,6
445,2
446,0
447,1
448,6
449,-1
450,6
451,11
452,2
453,-1
454,4
455,14
456,14
457,4
458,10
459,6
460,3
461,14
462,6
463,15
464,8
465,2
466,5
467,1
468,14
469,3
470,11
471,8
472,6
473,2
474,14
475,3
476,11
477,3
478,4
479,11
480,15
481,7
482,8
483,14
484,2
485,3
486,2
487,15
488,6
489,3
490,-1
491,12
492,6
493,6
494,0
495,3
496,1
497,6
498,6
499,3
500,13
501,14
502,4
503,4
504,6
505,3
506,8
507,3
508,15
509,6
510,13
511,15
512,3
513,9
514,15
515,5
516,3
517,6
518,14
519,3
520,9
521,13
522,4
523,0
524,0
525,4
526,2
527,-1
528,6
529,11
530,3
531,5
532,11
533,-1
