,cluster
3,2
5,2
6,7
8,15
9,5
10,15
11,10
12,14
13,11
14,6
15,3
16,6
18,15
19,4
20,15
22,3
23,2
24,2
25,10
26,10
27,2
28,6
29,6
30,-1
31,12
32,2
33,1
36,11
37,11
38,15
39,0
41,6
43,2
45,-1
46,-1
47,-1
48,14
49,2
50,6
51,5
52,5
53,-1
55,-1
56,0
57,11
59,2
60,3
61,4
63,1
64,3
65,6
66,-1
67,3
68,9
69,-1
70,12
71,10
72,14
73,6
74,6
75,3
76,12
77,3
78,-1
80,3
81,11
82,2
83,7
85,1
86,1
87,-1
88,14
89,14
90,11
91,15
92,6
93,12
94,6
95,12
96,-1
97,10
98,14
99,1
100,11
101,12
102,11
103,7
104,12
107,11
108,6
109,1
110,5
111,15
112,6
113,13
114,15
115,5
116,11
117,6
118,15
119,14
120,0
122,15
123,5
124,12
125,2
126,2
128,5
129,9
130,3
131,12
132,13
133,1
134,1
136,8
137,-1
138,-1
139,10
140,2
141,-1
143,14
144,11
145,6
146,1
148,14
149,13
150,15
151,-1
152,8
153,6
154,5
156,10
157,3
159,-1
161,10
162,3
163,3
165,10
166,14
167,2
168,4
170,3
171,3
172,4
173,15
174,3
175,2
177,15
179,9
180,-1
181,6
182,10
183,6
184,11
185,5
186,15
187,0
188,-1
189,3
190,12
191,3
195,12
196,6
197,9
199,10
200,3
201,0
202,10
203,7
204,11
205,11
207,-1
209,11
210,15
212,13
213,12
214,10
216,2
217,0
219,2
221,9
222,14
223,2
224,13
225,9
227,1
228,14
230,6
233,15
234,3
235,6
236,15
237,3
238,-1
239,15
240,1
241,6
242,11
243,15
244,12
245,6
246,12
247,15
249,0
250,6
252,1
253,11
255,10
256,2
257,6
258,0
259,12
260,8
261,6
262,8
263,14
265,14
266,2
269,1
270,2
271,6
272,3
273,15
274,13
275,2
276,13
278,3
279,-1
280,3
281,-1
282,4
283,3
284,2
286,10
287,11
288,-1
289,2
290,5
291,11
292,14
293,11
295,-1
296,2
297,11
298,3
299,3
300,6
302,3
303,3
304,-1
305,2
306,-1
307,-1
308,5
309,15
310,6
311,0
312,-1
313,2
314,11
315,2
316,5
317,0
318,14
319,6
320,15
321,11
322,3
323,11
324,2
325,14
326,3
327,2
328,12
329,12
330,15
332,11
333,11
334,5
335,14
336,3
337,12
339,-1
340,-1
341,-1
343,14
344,11
345,9
346,6
348,5
350,1
351,2
352,15
353,6
354,5
355,15
357,8
358,15
359,2
361,12
362,11
363,6
364,9
365,2
366,2
367,14
368,8
369,6
370,12
371,3
373,-1
374,6
375,12
376,11
378,12
379,5
380,3
381,12
382,11
383,2
384,13
386,10
387,12
388,10
390,15
391,2
392,6
393,-1
394,3
395,3
397,15
398,0
399,5
400,1
401,3
402,14
403,5
404,6
405,9
406,11
407,14
408,15
409,11
411,11
412,10
413,14
415,6
416,12
418,14
419,1
420,2
421,6
422,9
424,3
425,7
426,2
427,1
428,6
429,8
430,14
432,3
433,14
434,6
435,4
437,6
438,6
439,3
440,6
441,15
442,5
443,-1
444,6
445,10
446,10
447,6
448,4
449,3
450,8
451,12
452,6
453,13
455,14
456,8
457,5
458,15
459,13
462,-1
463,11
464,2
465,5
466,3
467,15
468,-1
469,3
470,14
471,11
472,6
473,8
474,11
476,1
478,14
479,3
480,3
481,3
482,4
484,11
486,3
487,7
488,14
489,4
491,11
493,14
495,10
496,-1
497,-1
499,11
502,11
503,4
504,12
505,15
506,2
507,-1
508,12
509,10
510,5
511,13
512,-1
513,15
514,6
516,15
519,1
522,-1
523,10
525,-1
530,15
531,13
532,8
534,10
537,4
538,10
540,3
541,1
542,4
545,10
548,6
549,2
550,0
551,1
553,6
554,-1
555,6
556,11
558,2
559,-1
560,4
561,14
562,14
563,4
565,10
566,6
567,3
568,14
569,6
571,15
572,8
573,2
575,5
576,1
577,14
579,3
581,11
582,8
583,6
584,2
585,14
586,3
587,11
588,3
589,4
590,11
591,15
592,7
593,8
594,14
595,2
596,3
597,2
598,15
599,6
600,3
604,-1
605,12
606,6
607,6
608,0
609,3
610,1
611,6
612,6
614,3
616,13
618,14
619,4
621,4
622,6
623,3
624,8
625,3
627,15
628,6
629,13
630,15
631,3
632,9
634,15
637,5
638,3
639,6
641,14
642,3
643,9
644,13
645,4
646,0
647,0
648,4
649,2
650,-1
651,6
652,11
653,3
654,5
655,11
656,-1
657,-1
658,6
659,11
660,11
661,12
662,7
663,4
664,4
665,3
666,11
668,14
669,1
670,12
672,15
673,2
674,15
675,11
676,1
677,2
678,7
679,3
680,3
681,2
682,-1
683,9
685,11
686,3
687,14
689,3
690,3
693,1
694,11
695,3
697,11
699,3
700,15
701,0
703,3
704,4
705,14
706,3
707,3
709,1
710,10
712,6
713,14
714,-1
715,5
716,14
717,5
718,3
719,15
720,11
724,-1
725,5
726,4
727,4
728,6
729,6
730,8
731,13
732,-1
733,3
735,5
736,12
737,4
738,2
740,8
741,3
743,15
744,6
745,3
746,3
748,3
749,13
750,11
752,7
753,11
755,7
756,10
757,3
758,-1
759,5
761,-1
762,5
763,1
764,3
765,2
766,7
768,6
771,5
772,4
776,6
777,4
779,-1
780,-1
782,11
783,14
784,13
785,10
788,3
789,4
790,10
791,8
792,3
793,15
795,6
797,14
798,14
799,8
800,6
801,14
802,6
803,5
804,14
805,6
806,11
807,7
808,15
809,6
810,4
811,11
812,11
813,13
814,2
816,-1
817,4
818,4
819,5
820,6
822,5
823,11
824,11
825,2
826,5
827,3
828,13
829,2
830,11
831,8
832,2
833,-1
834,14
836,6
838,6
839,3
840,6
841,3
842,6
843,15
844,-1
845,3
847,-1
848,10
849,2
850,11
851,6
852,1
853,6
854,15
855,2
856,-1
857,3
858,3
859,10
860,6
861,7
862,8
863,0
865,11
866,3
867,15
868,3
869,5
870,6
871,-1
872,11
873,-1
874,3
875,15
877,3
878,11
879,3
880,10
881,15
884,6
885,14
886,3
888,12
889,1
890,6
891,14
893,2
894,-1
895,2
897,8
898,2
899,11
900,2
902,3
903,6
904,8
905,-1
907,-1
909,6
910,10
911,11
913,2
914,12
915,2
916,10
917,8
918,6
920,6
922,15
923,3
924,11
925,14
926,14
927,8
930,13
932,0
935,6
936,3
938,8
941,15
942,0
943,8
944,15
945,12
947,15
948,15
949,6
950,13
951,14
952,15
953,0
955,14
956,6
957,6
959,14
961,0
962,-1
964,3
965,0
966,15
968,3
969,14
970,15
972,5
973,9
974,14
975,3
976,12
977,3
978,10
979,1
980,3
981,12
982,14
983,4
984,15
985,1
986,2
987,3
988,10
989,12
990,12
992,3
993,10
994,14
995,3
996,10
997,5
998,6
999,3
1000,11
1001,3
1002,14
1003,3
1004,13
1005,3
1006,7
1007,14
1008,2
1009,11
1010,9
1011,-1
1012,10
1013,11
1014,7
1016,13
1017,6
1018,11
1019,6
1020,3
1022,3
1023,-1
1024,3
1025,15
1026,14
1028,9
1029,14
1030,6
1031,14
1033,2
1034,6
1035,3
1036,13
1037,10
1038,5
1039,10
1040,11
1041,10
1042,10
1043,2
1044,3
1045,-1
1046,5
1047,3
1049,-1
1050,-1
1051,6
1052,0
1053,6
1054,12
1055,6
1056,14
1057,-1
1058,1
1059,10
1060,1
1061,8
1062,2
1063,4
1064,6
1065,14
1066,3
1068,6
1069,0
1071,5
1072,6
1073,0
1074,11
1075,3
1076,3
1077,15
1078,10
1079,6
1080,6
1081,-1
1082,9
1084,11
1085,10
1086,3
1087,13
1088,0
1090,2
1092,3
1093,15
1094,15
1096,3
1098,3
1100,13
1101,4
1103,11
1104,11
1106,6
1109,11
1111,14
1112,6
1113,12
1114,2
1115,5
1116,-1
1118,3
1120,15
1121,9
1122,10
1123,11
1124,3
1126,0
1128,15
1130,3
1131,1
1132,4
1134,-1
1136,7
1137,12
1138,9
1139,13
1140,11
1143,2
1145,10
1146,4
1147,12
1148,6
1149,8
1150,6
1151,11
1152,2
1153,-1
1154,3
1155,4
1156,9
1157,0
1158,3
1161,14
1162,3
1163,6
1164,4
1165,14
1166,15
1167,7
1168,3
1169,14
1170,2
1172,12
1173,4
1174,3
1176,11
1177,3
1178,6
1179,15
1180,3
1182,6
1183,13
1184,0
1185,15
1186,3
1187,6
1189,6
1190,11
1191,12
1192,13
1193,5
1194,14
1196,10
1197,6
1198,6
1199,8
1200,15
1201,2
1202,13
1203,2
1205,2
1206,-1
1208,13
1209,13
1210,13
1211,0
1212,7
1214,3
1215,1
1216,2
1219,-1
1220,2
1221,14
1222,3
1223,14
1224,6
1225,3
1226,3
1227,5
1228,1
1230,15
1231,4
1232,3
1233,4
1235,9
1236,15
1237,12
1238,6
1239,10
1240,6
1241,3
1245,15
1246,2
1248,3
1249,6
1250,6
1251,6
1253,2
1254,13
1255,12
1256,10
1258,1
1259,7
1260,12
1262,14
1263,6
1264,12
1265,15
1266,1
1267,6
1268,1
1269,11
1270,-1
1271,15
1272,6
1273,-1
1274,11
1275,3
1276,6
1278,12
1279,14
1280,3
1281,15
1282,1
1284,15
1285,7
1286,12
1287,14
1288,5
1289,0
1291,3
1292,3
1293,3
1296,2
1297,14
1298,6
1299,9
1300,3
1301,-1
1304,6
1305,4
1306,10
1307,5
1308,8
1309,3
1310,6
1311,4
1312,8
1313,1
1315,3
1316,4
1317,10
1318,11
1319,14
1320,12
1321,15
1323,12
1324,15
1325,6
1326,3
1327,11
1328,4
1329,3
1330,6
1331,0
1332,6
1333,8
1337,10
1338,8
1339,11
1340,15
1341,4
1343,3
1345,2
1346,-1
1347,1
1348,-1
1349,3
1350,13
