index,clusters
0,3
1,2
2,0
3,1
4,1
5,3
6,1
7,0
8,0
9,1
10,0
11,2
12,1
13,1
14,1
15,0
16,0
17,0
18,1
19,1
20,0
21,3
22,2
23,1
24,3
25,1
26,0
27,1
28,1
29,2
30,4
31,4
32,4
33,0
34,1
35,3
36,3
37,1
38,0
39,1
40,3
41,0
42,2
43,4
44,4
45,4
46,4
47,1
48,1
49,3
50,0
51,0
52,0
53,2
54,2
55,2
56,0
57,4
58,0
59,0
60,4
61,2
62,3
63,2
64,3
65,1
66,3
67,0
68,4
69,3
70,2
71,0
72,0
73,2
74,2
75,4
76,2
77,0
78,2
79,2
80,0
81,1
82,4
83,1
84,2
85,2
86,1
87,2
88,0
89,4
90,0
91,0
92,4
93,0
94,0
95,1
96,0
97,0
98,2
99,1
100,4
101,0
102,2
103,0
104,2
105,4
106,4
107,2
108,2
109,0
110,2
111,2
112,0
113,0
114,1
115,1
116,1
117,2
118,0
119,2
120,2
121,3
122,3
123,0
124,1
125,3
126,1
127,4
128,3
129,1
130,0
131,3
132,4
133,0
134,0
135,0
136,0
137,0
138,3
139,4
140,3
141,3
142,4
143,3
144,2
145,4
146,1
147,2
148,2
149,1
150,3
151,2
152,0
153,1
154,2
155,1
156,0
157,2
158,3
159,2
160,4
161,2
162,0
163,1
164,3
165,0
166,4
167,2
168,4
169,4
170,1
171,1
172,1
173,1
174,1
175,1
176,3
177,3
178,0
179,3
180,2
181,2
182,0
183,4
184,0
185,0
186,1
187,1
188,2
189,0
190,0
191,2
192,3
193,2
194,1
195,0
196,0
197,1
198,1
199,2
200,0
201,1
202,2
203,4
204,0
205,1
206,3
207,4
208,0
209,0
210,1
211,2
212,0
213,0
214,0
215,3
216,0
217,1
218,1
219,4
220,0
221,3
222,2
223,0
224,3
225,0
226,3
227,3
228,4
229,3
230,1
231,3
232,0
233,0
234,3
235,3
236,3
237,1
238,0
239,0
240,3
241,0
242,3
243,1
244,0
245,3
246,4
247,4
248,3
249,2
250,0
251,3
252,4
253,3
254,1
255,4
256,0
257,3
258,0
259,1
260,0
261,0
262,3
263,0
264,3
265,2
266,0
267,1
268,0
269,3
270,1
271,0
272,3
273,2
274,2
275,3
276,2
277,1
278,1
279,1
280,3
281,2
282,1
283,2
284,1
285,3
286,3
287,3
288,4
289,1
290,0
291,0
292,2
293,3
294,2
295,2
296,0
297,0
298,0
299,2
300,0
301,0
302,3
303,3
304,0
305,1
306,0
307,1
308,2
309,3
310,0
311,0
312,2
313,3
314,2
315,3
316,1
317,1
318,4
319,0
320,0
321,2
322,2
323,3
324,2
325,4
326,3
327,4
328,0
329,0
330,0
331,4
332,0
333,0
334,3
335,3
336,1
337,4
338,2
339,1
340,0
341,2
342,1
343,1
344,1
345,1
346,3
347,2
348,2
349,0
350,0
351,3
352,4
353,4
354,3
355,0
356,4
357,3
358,1
359,2
360,0
361,1
362,3
363,0
364,3
365,0
366,3
367,1
368,3
369,3
370,1
371,0
372,4
373,3
374,0
375,3
376,0
377,1
378,2
379,0
380,4
381,2
382,1
383,0
384,0
385,1
386,4
387,0
388,0
389,3
390,3
391,3
392,4
393,0
394,0
395,0
396,0
397,2
398,3
399,4
400,2
401,4
402,3
403,3
404,3
405,3
406,4
407,3
408,2
409,3
410,1
411,0
412,3
413,0
414,4
415,3
416,4
417,3
418,2
419,0
420,0
421,2
422,2
423,3
424,1
425,3
426,1
427,2
428,3
429,2
430,0
431,2
432,0
433,3
434,2
435,1
436,3
437,4
438,4
439,4
440,3
441,0
442,4
443,0
444,0
445,0
446,3
447,4
448,0
449,2
450,3
451,3
452,1
453,0
454,4
455,1
456,0
457,3
458,3
459,0
460,3
461,2
462,0
463,2
464,4
465,1
466,0
467,0
468,4
469,0
470,4
471,4
472,4
473,4
474,1
475,3
476,4
477,0
478,0
479,0
480,2
481,0
482,0
483,3
484,4
485,3
486,0
487,1
488,1
489,0
490,1
491,2
492,0
493,0
494,4
495,3
496,0
497,3
498,3
499,0
500,0
501,3
