,cluster
3,3
5,2
6,0
8,1
9,1
10,3
11,1
12,0
13,0
14,1
15,0
16,2
18,1
19,1
20,1
22,0
23,0
24,0
25,1
26,1
27,0
28,3
29,2
30,1
31,3
32,1
33,0
36,1
37,1
38,2
39,4
41,4
43,4
45,0
46,1
47,3
48,3
49,1
50,0
51,1
52,3
53,0
55,2
56,4
57,4
59,4
60,4
61,1
63,1
64,3
65,0
66,0
67,0
68,2
69,2
70,2
71,0
72,4
73,0
74,0
75,4
76,2
77,3
78,2
80,3
81,1
82,3
83,0
85,4
86,3
87,2
88,0
89,0
90,2
91,2
92,4
93,2
94,0
95,2
96,2
97,0
98,1
99,4
100,1
101,2
102,2
103,1
104,2
107,0
108,4
109,0
110,0
111,4
112,0
113,0
114,1
115,0
116,0
117,2
118,1
119,4
120,0
122,2
123,0
124,2
125,4
126,4
128,2
129,2
130,0
131,2
132,2
133,0
134,0
136,1
137,1
138,1
139,2
140,0
141,2
143,2
144,3
145,3
146,0
148,1
149,3
150,1
151,4
152,3
153,1
154,0
156,3
157,4
159,0
161,0
162,0
163,0
165,0
166,3
167,4
168,3
170,3
171,4
172,3
173,2
174,4
175,1
177,2
179,2
180,1
181,3
182,2
183,0
184,1
185,2
186,1
187,0
188,2
189,3
190,2
191,4
195,2
196,0
197,1
199,3
200,0
201,4
202,2
203,4
204,4
205,1
207,1
209,1
210,1
212,1
213,1
214,3
216,3
217,0
219,3
221,2
222,2
223,0
224,4
225,0
227,0
228,1
230,1
233,2
234,0
235,0
236,2
237,3
238,2
239,1
240,0
241,0
242,1
243,1
244,2
245,0
246,1
247,2
249,4
250,0
252,1
253,3
255,4
256,0
257,0
258,1
259,2
260,0
261,0
262,0
263,3
265,0
266,1
269,1
270,4
271,0
272,3
273,2
274,0
275,3
276,0
278,3
279,3
280,4
281,3
282,1
283,3
284,0
286,0
287,3
288,3
289,3
290,1
291,0
292,0
293,3
295,0
296,3
297,1
298,0
299,3
300,4
302,4
303,3
304,2
305,0
306,3
307,4
308,3
309,1
310,4
311,0
312,3
313,0
314,1
315,0
316,0
317,3
318,0
319,3
320,2
321,0
322,1
323,0
324,3
325,1
326,0
327,3
328,2
329,2
330,3
332,2
333,1
334,1
335,1
336,3
337,2
339,1
340,2
341,1
343,3
344,3
345,3
346,4
348,1
350,0
351,0
352,2
353,3
354,2
355,2
357,0
358,0
359,0
361,2
362,0
363,0
364,3
365,3
366,0
367,1
368,0
369,1
370,2
371,3
373,0
374,0
375,2
376,3
378,2
379,3
380,1
381,1
382,4
383,0
384,0
386,2
387,2
388,3
390,2
391,4
392,3
393,4
394,0
395,0
397,0
398,4
399,0
400,0
401,3
402,3
403,1
404,4
405,2
406,1
407,0
408,2
409,1
411,1
412,1
413,1
415,3
416,2
418,2
419,0
420,0
421,3
422,4
424,4
425,3
426,0
427,4
428,3
429,1
430,2
432,0
433,1
434,3
435,0
437,3
438,0
439,3
440,1
441,3
442,3
443,1
444,0
445,4
446,3
447,0
448,3
449,0
450,1
451,2
452,0
453,4
455,2
456,1
457,0
458,0
459,1
462,4
463,0
464,0
465,3
466,3
467,3
468,4
469,0
470,0
471,0
472,0
473,2
474,3
476,4
478,2
479,4
480,3
481,3
482,3
484,3
486,4
487,3
488,2
489,3
491,1
493,0
495,3
496,0
497,4
499,3
502,4
503,3
504,2
505,0
506,0
507,2
508,2
509,3
510,1
511,3
512,1
513,2
514,3
516,2
519,0
522,2
523,0
525,3
530,2
531,1
532,3
534,4
537,4
538,4
540,3
541,0
542,4
545,0
548,0
549,0
550,3
551,4
553,0
554,2
555,3
556,3
558,1
559,0
560,4
561,1
562,0
563,3
565,3
566,0
567,3
568,2
569,0
571,2
572,4
573,1
575,0
576,0
577,4
579,0
581,4
582,4
583,4
584,4
585,1
586,3
587,4
588,0
589,0
590,0
591,2
592,0
593,0
594,3
595,4
596,3
597,0
598,1
599,1
600,0
604,1
605,2
606,0
607,0
608,4
609,3
610,0
611,3
612,3
614,0
616,0
618,3
619,3
621,0
622,2
623,3
624,0
625,0
627,2
628,0
629,2
630,4
631,3
632,2
634,1
637,4
638,0
639,0
641,2
642,4
643,2
644,0
645,0
646,0
647,0
648,4
649,3
650,0
651,0
652,2
653,4
654,2
655,0
656,0
657,4
658,2
659,1
660,1
661,2
662,1
663,4
664,3
665,4
666,3
668,0
669,0
670,2
672,2
673,0
674,2
675,3
676,0
677,3
678,3
679,0
680,4
681,0
682,2
683,0
685,0
686,0
687,2
689,3
690,4
693,0
694,1
695,3
697,4
699,4
700,2
701,3
703,4
704,0
705,1
706,3
707,0
709,0
710,3
712,4
713,1
714,4
715,2
716,3
717,0
718,3
719,2
720,1
724,2
725,3
726,0
727,0
728,0
729,4
730,0
731,3
732,0
733,0
735,0
736,2
737,3
738,4
740,0
741,0
743,0
744,0
745,0
746,0
748,4
749,2
750,0
752,0
753,4
755,1
756,0
757,4
758,1
759,0
761,3
762,0
763,0
764,3
765,3
766,0
768,4
771,2
772,3
776,3
777,3
779,2
780,3
782,3
783,1
784,1
785,0
788,0
789,0
790,0
791,4
792,0
793,2
795,0
797,2
798,0
799,0
800,2
801,1
802,0
803,2
804,2
805,4
806,3
807,4
808,1
809,3
810,4
811,0
812,2
813,0
814,1
816,2
817,0
818,0
819,2
820,3
822,1
823,1
824,4
825,0
826,1
827,0
828,1
829,1
830,0
831,4
832,1
833,1
834,3
836,0
838,0
839,0
840,0
841,3
842,0
843,2
844,0
845,3
847,4
848,0
849,3
850,4
851,0
852,1
853,0
854,2
855,3
856,3
857,2
858,0
859,0
860,3
861,3
862,3
863,0
865,0
866,4
867,2
868,4
869,1
870,0
871,4
872,0
873,1
874,3
875,2
877,4
878,0
879,4
880,3
881,1
884,0
885,1
886,3
888,2
889,1
890,0
891,1
893,1
894,4
895,0
897,2
898,4
899,3
900,0
902,0
903,4
904,1
905,1
907,2
909,0
910,3
911,0
913,0
914,2
915,3
916,4
917,3
918,0
920,0
922,2
923,0
924,1
925,2
926,2
927,2
930,3
932,4
935,3
936,3
938,4
941,2
942,2
943,3
944,2
945,2
947,2
948,1
949,0
950,1
951,0
952,2
953,3
955,2
956,1
957,1
959,0
961,0
962,1
964,0
965,3
966,3
968,0
969,0
970,1
972,3
973,1
974,1
975,3
976,2
977,0
978,0
979,0
980,0
981,2
982,0
983,3
984,2
985,4
986,4
987,1
988,0
989,2
990,2
992,0
993,3
994,2
995,1
996,0
997,4
998,0
999,0
1000,1
1001,0
1002,0
1003,4
1004,3
1005,4
1006,2
1007,4
1008,0
1009,1
1010,0
1011,2
1012,4
1013,3
1014,1
1016,1
1017,4
1018,0
1019,3
1020,3
1022,3
1023,2
1024,4
1025,3
1026,0
1028,1
1029,0
1030,3
1031,1
1033,4
1034,3
1035,0
1036,1
1037,0
1038,0
1039,0
1040,1
1041,0
1042,2
1043,0
1044,0
1045,4
1046,0
1047,4
1049,4
1050,2
1051,4
1052,0
1053,0
1054,2
1055,0
1056,3
1057,0
1058,0
1059,4
1060,1
1061,0
1062,3
1063,0
1064,0
1065,1
1066,3
1068,0
1069,4
1071,0
1072,2
1073,3
1074,0
1075,3
1076,0
1077,2
1078,3
1079,0
1080,4
1081,2
1082,2
1084,0
1085,2
1086,3
1087,1
1088,4
1090,0
1092,0
1093,4
1094,4
1096,3
1098,3
1100,3
1101,4
1103,0
1104,2
1106,1
1109,4
1111,2
1112,3
1113,2
1114,3
1115,0
1116,2
1118,0
1120,2
1121,4
1122,4
1123,1
1124,3
1126,4
1128,2
1130,0
1131,0
1132,3
1134,0
1136,0
1137,2
1138,1
1139,4
1140,0
1143,1
1145,0
1146,4
1147,2
1148,0
1149,4
1150,0
1151,0
1152,0
1153,4
1154,3
1155,0
1156,4
1157,3
1158,0
1161,0
1162,3
1163,0
1164,3
1165,1
1166,1
1167,4
1168,4
1169,1
1170,0
1172,2
1173,4
1174,0
1176,0
1177,3
1178,3
1179,2
1180,0
1182,0
1183,1
1184,4
1185,1
1186,4
1187,3
1189,0
1190,2
1191,1
1192,1
1193,2
1194,0
1196,2
1197,0
1198,4
1199,0
1200,1
1201,0
1202,0
1203,0
1205,0
1206,2
1208,0
1209,4
1210,0
1211,4
1212,0
1214,3
1215,3
1216,2
1219,2
1220,4
1221,4
1222,0
1223,3
1224,0
1225,0
1226,0
1227,2
1228,3
1230,2
1231,4
1232,3
1233,3
1235,2
1236,1
1237,2
1238,0
1239,4
1240,0
1241,3
1245,1
1246,4
1248,4
1249,3
1250,3
1251,0
1253,0
1254,0
1255,2
1256,1
1258,0
1259,1
1260,2
1262,0
1263,4
1264,2
1265,2
1266,4
1267,3
1268,3
1269,1
1270,1
1271,1
1272,0
1273,2
1274,4
1275,3
1276,3
1278,2
1279,0
1280,0
1281,2
1282,0
1284,2
1285,4
1286,2
1287,1
1288,4
1289,0
1291,3
1292,4
1293,4
1296,2
1297,2
1298,0
1299,2
1300,3
1301,3
1304,3
1305,4
1306,0
1307,4
1308,4
1309,0
1310,3
1311,3
1312,0
1313,3
1315,3
1316,0
1317,1
1318,3
1319,3
1320,2
1321,1
1323,2
1324,2
1325,3
1326,3
1327,1
1328,3
1329,0
1330,1
1331,3
1332,0
1333,0
1337,1
1338,1
1339,3
1340,1
1341,3
1343,0
1345,1
1346,4
1347,0
1348,2
1349,0
1350,2
1352,0
1354,1
1355,3
1356,0
1357,1
1358,1
1359,2
1361,1
1362,4
1363,3
1364,2
1365,0
1366,1
1367,3
1368,2
1369,4
1372,1
1374,0
1375,0
1376,4
1377,0
1378,0
1379,3
1380,0
1382,2
1384,0
1385,2
1386,2
1389,2
1390,4
1392,4
1393,3
1394,1
1395,2
1396,0
1397,0
1398,2
1402,1
1403,4
1404,4
1405,2
1406,0
1407,2
1409,1
1410,0
1411,0
1413,2
1415,0
1417,1
1418,0
1419,1
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1428,3
1429,1
1430,1
1431,3
1433,4
1434,3
1436,3
1437,2
1438,0
1439,3
1440,0
1442,3
1443,0
1444,0
1445,3
1446,3
1447,4
1448,2
1449,2
1453,4
1454,0
1455,2
1456,0
1457,0
1458,3
1459,1
1461,0
1462,0
1464,4
1467,0
1468,2
1469,1
1470,4
1471,1
1472,0
1473,4
1474,3
1475,3
1478,1
1479,3
1481,4
1484,2
1485,3
