,cluster
3,0
5,0
6,8
8,0
9,1
10,1
11,0
12,0
13,8
14,1
15,3
16,0
18,0
19,8
20,4
22,1
23,0
24,0
25,0
26,0
27,8
28,1
29,0
30,0
31,0
32,1
33,4
36,3
37,0
38,0
39,1
41,-1
43,1
45,3
46,0
47,8
48,0
49,1
50,4
51,8
52,0
53,0
55,0
56,6
57,3
59,0
60,3
61,1
63,0
64,7
65,0
66,8
67,1
68,1
69,4
70,0
71,4
72,1
73,8
74,3
75,8
76,0
77,0
78,0
80,1
81,1
82,1
83,0
85,1
86,1
87,0
88,0
89,4
90,4
91,0
92,1
93,1
94,0
95,0
96,0
97,3
98,0
99,0
100,1
101,0
102,0
103,1
104,0
107,0
108,0
109,0
110,1
111,0
112,1
113,8
114,8
115,3
116,8
117,0
118,0
119,1
120,1
122,0
123,1
124,0
125,0
126,8
128,0
129,0
130,0
131,1
132,0
133,0
134,1
136,0
137,0
138,1
139,0
140,0
141,0
143,0
144,8
145,8
146,1
148,1
149,4
150,4
151,0
152,1
153,3
154,0
156,6
157,6
159,4
161,1
162,6
163,6
165,1
166,0
167,4
168,3
170,3
171,6
172,8
173,-1
174,3
175,3
177,1
179,1
180,1
181,5
182,4
183,6
184,0
185,0
186,0
187,3
188,0
189,6
190,-1
191,0
195,0
196,5
197,0
199,6
200,1
201,8
202,0
203,6
204,1
205,4
207,0
209,0
210,1
212,0
213,1
214,0
216,1
217,0
219,0
221,0
222,0
223,3
224,4
225,1
227,0
228,1
230,0
233,0
234,6
235,1
236,0
237,6
238,0
239,4
240,1
241,3
242,6
243,0
244,1
245,4
246,0
247,0
249,6
250,1
252,1
253,0
255,1
256,6
257,8
258,0
259,0
260,4
261,8
262,3
263,6
265,6
266,4
269,1
270,1
271,1
272,6
273,1
274,8
275,1
276,1
278,6
279,0
280,2
281,0
282,0
283,6
284,0
286,8
287,8
288,0
289,6
290,0
291,1
292,0
293,1
295,1
296,8
297,4
298,8
299,1
300,0
302,3
303,8
304,4
305,0
306,8
307,4
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,6
316,4
317,8
318,1
319,0
320,0
321,0
322,3
323,0
324,0
325,0
326,6
327,6
328,1
329,4
330,4
332,0
333,0
334,0
335,0
336,8
337,0
339,1
340,0
341,1
343,0
344,4
345,1
346,1
348,1
350,8
351,1
352,0
353,1
354,4
355,0
357,6
358,4
359,0
361,0
362,6
363,6
364,7
365,4
366,6
367,0
368,1
369,8
370,0
371,4
373,4
374,0
375,0
376,8
378,0
379,8
380,0
381,0
382,8
383,0
384,8
386,0
387,0
388,8
390,1
391,0
392,8
393,0
394,8
395,8
397,1
398,1
399,0
400,0
401,0
402,1
403,4
404,0
405,0
406,0
407,0
408,0
409,0
411,4
412,0
413,4
415,7
416,0
418,0
419,0
420,0
421,4
422,0
424,6
425,6
426,6
427,8
428,6
429,0
430,0
432,0
433,1
434,8
435,3
437,3
438,1
439,8
440,0
441,0
442,0
443,1
444,0
445,8
446,8
447,3
448,6
449,8
450,0
451,0
452,0
453,1
455,0
456,0
457,0
458,4
459,3
462,1
463,6
464,0
465,1
466,0
467,8
468,8
469,6
470,6
471,0
472,1
473,0
474,6
476,0
478,0
479,6
480,-1
481,8
482,8
484,3
486,7
487,6
488,1
489,0
491,0
493,6
495,1
496,0
497,1
499,1
502,6
503,1
504,0
505,8
506,0
507,8
508,0
509,0
510,0
511,0
512,0
513,1
514,8
516,0
519,1
522,8
523,6
525,6
530,0
531,0
532,6
534,1
537,0
538,0
540,8
541,0
542,0
545,1
548,0
549,1
550,0
551,8
553,0
554,0
555,0
556,8
558,0
559,8
560,1
561,0
562,1
563,6
565,1
566,3
567,3
568,0
569,1
571,-1
572,3
573,1
575,0
576,0
577,8
579,0
581,3
582,1
583,4
584,1
585,0
586,8
587,0
588,6
589,8
590,3
591,4
592,6
593,0
594,8
595,6
596,1
597,3
598,0
599,3
600,1
604,4
605,0
606,4
607,1
608,0
609,6
610,0
611,6
612,8
614,6
616,1
618,4
619,0
621,0
622,3
623,3
624,3
625,6
627,0
628,0
629,0
630,1
631,5
632,0
634,0
637,0
638,3
639,1
641,0
642,3
643,0
644,0
645,1
646,0
647,8
648,0
649,6
650,1
651,0
652,1
653,8
654,0
655,0
656,0
657,4
658,0
659,0
660,0
661,1
662,1
663,3
664,8
665,6
666,8
668,0
669,1
670,0
672,0
673,8
674,1
675,0
676,1
677,4
678,0
679,0
680,8
681,6
682,0
683,6
685,1
686,-1
687,1
689,6
690,1
693,0
694,4
695,8
697,8
699,6
700,8
701,1
703,4
704,1
705,4
706,6
707,1
709,6
710,8
712,8
713,0
714,0
715,0
716,8
717,0
718,6
719,0
720,0
724,1
725,1
726,4
727,1
728,4
729,1
730,1
731,0
732,1
733,0
735,1
736,1
737,0
738,1
740,1
741,6
743,0
744,0
745,4
746,1
748,8
749,0
750,0
752,6
753,0
755,0
756,1
757,1
758,8
759,1
761,6
762,6
763,1
764,6
765,6
766,0
768,4
771,0
772,8
776,0
777,6
779,0
780,1
782,8
783,0
784,0
785,1
788,3
789,1
790,1
791,0
792,0
793,0
795,3
797,0
798,1
799,8
800,0
801,8
802,8
803,0
804,8
805,0
806,6
807,4
808,4
809,1
810,1
811,8
812,0
813,1
814,1
816,4
817,4
818,8
819,0
820,1
822,0
823,4
824,0
825,8
826,1
827,1
828,6
829,8
830,4
831,1
832,1
833,1
834,1
836,4
838,0
839,3
840,1
841,8
842,0
843,1
844,0
845,0
847,0
848,1
849,6
850,1
851,8
852,1
853,1
854,0
855,0
856,1
857,1
858,6
859,8
860,0
861,0
862,1
