index,clusters
0,4
1,3
2,1
3,0
4,0
5,1
6,4
7,0
8,0
9,1
10,0
11,1
12,2
13,0
14,1
15,1
16,0
17,3
18,2
19,1
20,2
21,2
22,2
23,0
24,0
25,0
26,4
27,0
28,3
29,2
30,0
31,1
32,0
33,2
34,3
35,4
36,3
37,3
38,0
39,1
40,0
41,0
42,2
43,2
44,1
45,1
46,0
47,0
48,3
49,1
50,1
51,2
52,0
53,2
54,0
55,3
56,1
57,4
58,2
59,0
60,2
61,2
62,0
63,2
64,1
65,0
66,2
67,2
68,3
69,2
70,2
71,3
72,2
73,0
74,0
75,2
76,1
77,0
78,1
79,1
80,4
81,3
82,2
83,0
84,2
85,3
86,3
87,1
88,2
89,4
90,0
91,0
92,3
93,2
94,1
95,1
96,1
97,4
98,4
99,1
100,0
101,2
102,2
103,4
104,0
105,3
106,3
107,3
108,0
109,3
110,3
111,0
112,4
113,3
114,1
115,0
116,1
117,2
118,2
119,2
120,1
121,0
122,0
123,1
124,0
125,1
126,1
127,4
128,2
129,0
130,3
131,2
132,3
133,2
134,1
135,1
136,0
137,2
138,1
139,2
140,1
141,3
142,1
143,2
144,2
145,1
146,2
147,1
148,1
149,0
150,0
151,2
152,4
153,0
154,1
155,1
156,0
157,2
158,3
159,1
160,1
161,0
162,1
163,1
164,0
165,2
166,3
167,0
168,2
169,0
170,0
171,1
172,3
173,1
174,3
175,0
176,0
177,2
178,0
179,0
180,0
181,1
182,1
183,0
184,0
185,2
186,0
187,3
188,0
189,4
190,3
191,2
192,3
193,1
194,0
195,3
196,1
197,1
198,0
199,3
200,2
201,1
202,0
203,1
204,3
205,2
206,2
207,1
208,1
209,1
210,2
211,1
212,2
213,1
214,0
215,0
216,1
217,1
218,2
219,1
220,2
221,3
222,1
223,4
224,0
225,3
226,1
227,3
228,2
229,0
230,0
231,2
232,2
233,3
234,2
235,4
236,4
237,0
238,0
239,2
240,1
241,3
242,1
243,1
244,0
245,1
246,4
247,3
248,3
249,3
250,2
251,2
252,1
253,1
254,2
255,1
256,1
257,0
258,2
259,1
260,1
261,3
262,1
263,3
264,1
265,0
266,2
267,2
268,0
269,0
270,2
271,0
272,2
273,1
274,3
275,4
276,0
277,0
278,3
279,4
280,2
281,0
282,1
283,1
284,3
285,0
286,3
287,2
288,4
289,3
290,4
291,4
292,2
293,0
294,3
295,2
296,0
297,2
298,1
299,3
300,0
301,0
302,2
303,2
304,0
305,1
306,2
307,2
308,0
309,1
310,0
311,2
312,1
313,0
314,0
315,1
316,3
317,3
318,0
319,3
320,0
321,0
322,1
323,1
324,3
325,2
326,3
327,2
328,1
329,1
330,2
331,0
332,0
333,1
334,4
335,4
336,4
337,0
338,4
339,4
340,1
341,4
342,0
343,0
344,0
345,2
346,2
347,1
348,4
349,3
350,0
351,2
352,0
353,0
354,2
355,0
356,0
357,4
358,0
359,3
360,0
361,2
362,1
363,1
364,2
365,0
366,1
367,1
368,0
369,2
370,1
371,0
372,0
373,2
374,2
375,0
376,3
377,3
378,1
379,4
380,0
381,2
382,3
383,1
384,0
385,0
386,1
387,4
388,2
389,1
390,2
391,3
392,0
393,2
394,0
395,4
396,1
397,0
398,0
399,3
400,1
401,4
402,0
403,0
404,2
405,4
406,0
407,1
408,4
409,3
410,2
411,3
412,2
413,2
414,3
415,0
416,0
417,0
418,4
419,1
420,3
421,2
422,0
423,1
424,0
425,2
426,0
427,0
428,1
429,3
430,0
431,1
432,4
433,0
434,3
435,0
436,0
437,4
438,0
439,4
440,2
441,2
442,3
443,4
444,0
445,0
446,0
447,1
448,3
449,0
450,2
451,0
452,0
453,1
454,1
455,2
456,2
457,4
458,2
459,1
460,0
461,2
462,0
463,2
464,1
465,2
466,1
467,1
468,0
469,1
470,1
471,0
472,4
473,1
474,3
475,3
476,3
477,2
478,2
479,0
480,1
481,1
482,0
483,2
484,0
485,1
486,1
487,0
488,1
489,3
490,2
491,4
492,2
493,0
494,2
495,0
496,0
497,0
498,2
499,4
500,2
501,4
502,0
503,1
504,2
505,2
506,4
507,0
508,0
509,3
510,0
511,1
512,2
513,0
514,0
515,0
516,0
517,2
518,0
519,0
520,1
521,2
522,1
523,2
524,1
525,3
526,1
527,2
528,3
529,3
530,2
531,4
532,4
533,4
534,0
535,2
536,1
537,2
538,2
539,0
540,1
541,2
542,4
543,2
544,0
545,1
546,3
547,2
548,2
549,1
550,2
551,4
552,2
553,2
554,2
555,1
556,0
557,2
558,2
559,1
560,3
561,0
562,2
563,0
564,3
565,4
566,1
567,1
568,2
569,0
570,1
571,2
572,0
573,3
574,2
575,0
576,1
577,4
578,4
579,0
580,0
581,2
582,4
583,1
584,3
585,3
586,1
587,0
588,0
589,1
590,0
591,2
592,3
593,3
594,3
595,3
596,2
597,1
598,0
599,4
600,0
601,2
602,2
603,0
604,4
605,0
606,3
607,0
608,1
609,1
610,3
611,0
612,0
613,0
614,0
615,3
616,4
617,0
618,0
619,4
620,2
621,4
622,0
623,1
624,2
625,0
626,0
627,0
628,4
629,3
630,3
631,0
632,1
633,2
634,3
635,1
636,1
637,4
638,1
639,2
640,0
641,4
642,2
643,4
644,0
645,0
646,1
647,4
648,4
649,2
650,0
651,2
652,2
653,0
654,2
655,1
656,1
657,4
658,0
659,4
660,2
661,0
662,3
663,1
664,4
665,1
666,3
667,4
668,2
669,3
670,1
671,0
672,0
673,3
674,4
675,2
676,0
677,0
678,2
679,1
680,4
681,3
682,3
683,2
684,1
685,3
686,0
687,2
688,2
689,3
690,2
691,2
692,4
693,2
694,3
695,0
696,4
697,1
698,1
699,1
700,4
701,1
702,3
703,4
704,0
705,4
706,2
707,0
708,4
709,1
710,2
711,3
712,0
713,0
714,4
715,2
716,2
717,3
718,0
719,1
720,4
721,1
722,2
723,1
724,2
725,2
726,0
727,1
728,3
729,4
730,0
731,2
732,0
733,1
734,4
735,2
736,1
737,1
738,2
739,0
740,2
741,0
742,2
743,2
744,0
745,0
746,1
747,4
748,2
749,0
750,2
751,1
752,2
753,4
754,1
755,1
756,4
757,0
758,3
759,4
760,3
761,2
762,2
763,3
764,2
765,2
766,1
767,1
768,0
769,1
770,1
771,2
772,0
773,0
774,1
775,1
776,1
777,0
778,3
779,3
780,0
781,2
782,2
783,3
784,3
785,1
786,2
787,1
788,0
789,3
790,2
791,1
792,3
793,1
794,2
795,2
796,3
797,4
798,0
799,3
800,2
801,3
802,0
803,3
804,1
805,2
806,1
807,4
808,4
809,0
810,1
811,1
812,4
813,2
814,1
815,4
816,3
817,2
818,2
819,0
820,0
821,0
822,1
823,0
824,1
825,0
826,3
827,0
828,2
829,0
830,1
831,2
832,3
833,0
834,2
835,3
836,2
837,1
838,0
839,2
840,1
841,3
842,0
843,2
844,0
845,3
846,2
847,4
848,3
849,1
850,0
851,0
852,4
853,1
854,3
855,0
856,2
857,0
858,1
859,1
860,0
861,0
862,0
863,3
864,1
865,2
866,4
867,2
868,0
869,0
870,1
871,1
872,3
873,3
874,1
875,1
876,1
877,3
878,1
879,4
880,2
881,4
882,2
883,0
884,0
885,0
886,2
887,2
888,2
889,1
890,4
891,1
892,4
893,2
894,2
895,1
896,0
897,3
898,0
899,0
900,2
901,1
902,0
903,0
904,3
905,2
906,0
907,1
908,3
909,4
910,4
911,1
912,2
913,3
914,3
915,0
916,0
917,2
918,1
919,1
920,3
921,0
922,1
923,3
924,1
925,1
926,0
927,0
928,1
929,3
930,2
931,4
932,0
933,0
934,2
935,0
936,2
937,1
938,0
939,2
940,0
941,2
942,2
943,2
944,2
945,2
946,1
947,1
948,3
949,1
950,2
951,3
952,3
953,0
954,1
955,1
956,4
957,1
958,1
959,3
960,0
961,0
962,2
963,1
964,0
965,0
966,3
967,0
968,1
969,0
970,1
971,0
972,2
973,4
974,3
975,2
976,0
977,0
978,0
979,0
980,2
981,3
982,0
983,4
984,4
985,1
986,2
987,1
988,1
989,1
990,0
991,2
992,3
993,2
994,4
995,1
996,3
997,0
998,3
999,0
1000,0
1001,0
1002,0
1003,4
1004,4
1005,3
1006,4
1007,4
1008,0
1009,0
1010,0
1011,2
1012,1
1013,1
1014,1
1015,3
1016,2
1017,1
1018,0
1019,0
1020,0
1021,0
1022,4
1023,2
1024,0
1025,4
1026,2
1027,2
1028,0
1029,3
1030,0
1031,0
1032,0
1033,3
1034,3
1035,0
1036,2
1037,4
1038,1
1039,2
1040,0
1041,1
1042,1
1043,4
1044,2
1045,1
1046,2
1047,3
1048,0
1049,0
1050,1
1051,3
1052,0
1053,4
1054,3
1055,4
1056,2
1057,0
1058,0
1059,0
1060,3
1061,0
1062,3
1063,0
1064,3
1065,4
1066,0
1067,2
1068,0
1069,3
1070,2
1071,3
1072,0
1073,2
1074,3
1075,1
1076,3
1077,2
1078,2
1079,3
1080,0
1081,1
1082,1
1083,2
1084,0
1085,1
1086,1
1087,4
1088,3
1089,0
1090,0
1091,1
1092,1
1093,2
1094,0
1095,3
1096,4
1097,4
1098,1
1099,1
1100,2
1101,2
1102,4
1103,2
1104,1
1105,4
1106,1
1107,3
1108,0
1109,1
1110,2
1111,2
1112,3
1113,4
1114,3
1115,2
1116,1
1117,1
1118,1
1119,3
1120,0
1121,4
1122,1
1123,4
1124,3
1125,2
1126,2
1127,1
1128,4
1129,0
1130,0
1131,2
1132,0
1133,2
1134,3
1135,2
1136,1
1137,2
1138,0
1139,2
1140,1
1141,0
1142,2
1143,0
1144,0
1145,2
1146,3
1147,0
1148,1
1149,1
1150,2
1151,2
1152,0
1153,0
1154,2
1155,2
1156,2
1157,3
1158,0
1159,2
1160,1
1161,0
1162,0
1163,2
1164,0
1165,0
1166,0
1167,2
1168,1
1169,0
1170,1
1171,0
1172,3
1173,2
1174,1
1175,2
1176,0
1177,1
1178,1
1179,0
1180,1
1181,2
1182,0
1183,1
1184,0
1185,0
1186,1
1187,0
1188,0
1189,1
1190,4
1191,3
1192,0
1193,2
1194,4
1195,4
1196,1
1197,1
1198,1
1199,0
1200,3
1201,0
1202,0
1203,4
1204,0
1205,3
1206,4
1207,0
1208,2
1209,2
1210,0
1211,2
1212,0
1213,2
1214,0
1215,3
1216,2
1217,1
1218,3
1219,3
1220,1
1221,4
1222,1
1223,1
1224,0
1225,1
1226,3
1227,1
1228,1
1229,2
1230,3
1231,1
1232,1
1233,4
1234,1
1235,0
1236,3
1237,3
1238,0
1239,0
1240,0
1241,2
1242,3
1243,0
1244,0
1245,0
1246,0
1247,1
1248,4
1249,2
1250,2
1251,2
1252,4
1253,1
1254,1
1255,1
1256,2
1257,2
1258,2
1259,0
1260,2
1261,1
1262,0
1263,0
1264,2
1265,4
1266,1
1267,1
1268,0
1269,0
1270,3
1271,4
1272,0
1273,2
1274,2
1275,3
1276,0
1277,2
1278,4
1279,2
1280,2
1281,3
1282,2
1283,1
1284,0
1285,0
1286,4
1287,0
1288,1
1289,2
1290,2
1291,2
1292,1
1293,2
1294,0
1295,3
1296,0
1297,0
1298,4
1299,1
1300,2
1301,1
1302,3
1303,0
1304,2
1305,0
1306,0
1307,4
1308,2
1309,2
1310,2
1311,2
1312,0
1313,0
1314,2
1315,1
1316,4
1317,2
1318,4
1319,3
1320,4
1321,0
1322,2
1323,4
1324,0
1325,0
1326,1
1327,4
1328,3
1329,2
1330,4
1331,1
1332,0
1333,1
1334,1
1335,2
1336,0
1337,2
1338,3
1339,0
1340,0
1341,1
1342,1
1343,3
1344,4
1345,4
1346,2
1347,1
1348,2
1349,1
1350,3
1351,2
1352,0
1353,0
1354,0
1355,0
1356,2
1357,0
1358,4
1359,1
1360,2
1361,4
1362,0
1363,3
1364,2
1365,1
1366,2
1367,3
1368,0
1369,0
1370,2
1371,1
1372,1
1373,4
1374,2
1375,0
1376,4
1377,2
1378,0
1379,0
1380,3
1381,4
1382,3
1383,0
1384,0
1385,3
1386,1
1387,2
1388,3
1389,3
1390,2
1391,0
1392,2
1393,2
1394,0
1395,1
1396,2
1397,2
1398,0
1399,3
1400,0
1401,2
1402,1
1403,0
1404,0
1405,0
1406,3
1407,3
1408,1
1409,4
1410,0
1411,3
1412,2
1413,1
1414,4
1415,2
1416,2
1417,3
1418,3
1419,2
1420,4
1421,4
1422,0
1423,0
1424,1
1425,3
1426,0
1427,3
1428,1
1429,0
1430,0
1431,0
1432,4
1433,3
1434,3
1435,0
1436,4
1437,2
1438,2
1439,2
1440,2
1441,0
1442,0
1443,0
1444,2
1445,3
1446,3
1447,0
1448,2
1449,1
1450,2
1451,0
1452,0
1453,3
1454,0
1455,4
1456,0
1457,3
1458,2
1459,3
1460,2
1461,1
1462,0
1463,4
1464,2
1465,2
1466,1
1467,2
1468,3
1469,3
1470,4
1471,2
1472,0
1473,1
1474,0
1475,4
1476,2
1477,2
1478,2
1479,4
1480,0
1481,3
1482,2
1483,2
1484,0
1485,1
1486,4
1487,1
1488,1
1489,2
1490,2
1491,2
1492,3
1493,1
1494,0
1495,3
1496,2
1497,1
1498,4
1499,2
1500,4
1501,1
1502,0
1503,3
1504,1
1505,0
1506,4
1507,1
1508,1
1509,1
1510,4
1511,0
1512,1
1513,4
1514,3
1515,0
1516,1
1517,1
1518,4
1519,0
1520,3
1521,2
1522,4
1523,2
1524,0
1525,4
1526,1
1527,3
1528,3
1529,3
1530,0
1531,2
1532,2
1533,2
1534,3
1535,4
1536,3
1537,2
1538,4
1539,2
1540,0
1541,4
1542,4
1543,1
1544,4
1545,4
1546,2
1547,2
1548,0
1549,3
1550,2
1551,4
1552,3
1553,4
1554,4
1555,0
1556,1
1557,4
1558,3
1559,3
1560,3
1561,1
1562,4
1563,1
1564,3
1565,2
1566,4
1567,3
1568,3
1569,4
1570,3
1571,1
1572,2
1573,0
1574,2
1575,4
1576,2
1577,0
1578,1
1579,0
1580,2
1581,3
1582,3
1583,2
1584,2
1585,1
1586,2
1587,3
1588,2
1589,0
1590,2
1591,2
1592,1
1593,4
1594,4
1595,1
1596,2
1597,3
1598,1
1599,2
1600,0
1601,3
1602,3
1603,1
1604,3
1605,2
1606,1
1607,4
1608,0
1609,0
1610,0
1611,1
1612,3
1613,0
1614,3
1615,0
1616,2
1617,0
1618,0
1619,1
1620,0
1621,3
1622,0
1623,2
1624,0
1625,1
1626,1
1627,2
1628,3
1629,0
1630,2
1631,1
1632,0
1633,0
1634,0
1635,0
1636,0
1637,3
1638,0
1639,1
1640,2
1641,2
1642,3
1643,1
1644,2
1645,3
1646,0
1647,0
1648,1
1649,4
1650,4
1651,0
1652,1
1653,2
1654,3
1655,0
1656,1
1657,3
1658,0
1659,0
1660,2
1661,4
1662,1
1663,1
1664,2
1665,4
1666,0
1667,2
1668,0
1669,3
1670,1
1671,2
1672,2
1673,0
1674,0
1675,2
1676,0
1677,3
1678,1
1679,3
1680,0
1681,0
1682,0
1683,1
1684,0
1685,1
1686,0
1687,0
1688,0
1689,2
1690,0
1691,0
1692,0
1693,0
1694,1
1695,3
1696,0
1697,3
1698,2
1699,2
1700,0
1701,2
1702,0
1703,0
1704,2
1705,1
1706,0
1707,0
1708,1
1709,3
1710,1
1711,1
1712,1
1713,2
1714,3
1715,2
1716,2
1717,2
1718,0
1719,1
1720,2
1721,3
1722,0
1723,0
1724,4
1725,0
1726,2
1727,1
1728,1
1729,1
1730,0
1731,3
1732,1
1733,0
1734,0
1735,1
1736,1
1737,3
1738,2
1739,2
1740,3
1741,4
1742,0
1743,3
1744,3
1745,0
1746,2
1747,2
1748,0
1749,1
1750,0
1751,1
1752,4
1753,1
1754,2
1755,0
1756,3
1757,4
1758,0
1759,1
1760,0
1761,1
1762,0
1763,0
1764,1
1765,4
1766,1
1767,2
1768,2
1769,0
1770,2
1771,2
1772,4
1773,2
1774,1
1775,0
1776,0
1777,1
1778,2
1779,2
1780,1
1781,0
1782,2
1783,2
1784,2
1785,0
1786,3
1787,3
1788,2
1789,2
1790,4
1791,0
1792,1
1793,2
1794,1
1795,2
1796,4
1797,3
1798,3
1799,0
1800,3
1801,2
1802,4
1803,4
1804,4
1805,1
1806,3
1807,3
1808,1
1809,0
1810,4
1811,2
1812,3
1813,0
1814,3
1815,2
1816,2
1817,2
1818,4
1819,4
1820,2
1821,4
1822,1
1823,1
1824,0
1825,3
1826,3
1827,3
1828,2
1829,4
1830,2
1831,0
1832,4
1833,1
1834,3
1835,1
1836,3
1837,2
1838,3
1839,1
1840,2
1841,0
1842,4
1843,2
1844,4
1845,4
1846,2
1847,2
1848,4
1849,1
1850,0
1851,1
1852,1
1853,3
1854,2
1855,0
1856,1
1857,4
1858,0
1859,2
1860,3
1861,1
1862,3
1863,4
1864,1
1865,0
1866,0
1867,2
1868,1
1869,1
1870,1
1871,2
1872,0
1873,2
1874,0
1875,4
1876,3
1877,0
1878,1
1879,4
1880,1
1881,3
1882,3
1883,0
1884,2
1885,3
1886,2
1887,1
1888,3
1889,4
1890,1
1891,0
1892,2
1893,1
1894,1
1895,3
1896,2
1897,3
1898,1
1899,3
1900,2
1901,3
1902,1
1903,0
1904,1
1905,2
1906,0
1907,3
1908,3
1909,4
1910,0
1911,3
1912,0
1913,4
1914,4
1915,0
1916,0
1917,0
1918,4
1919,4
1920,1
1921,1
1922,2
1923,3
1924,4
1925,1
1926,1
1927,1
1928,0
1929,1
1930,4
1931,0
1932,4
1933,0
1934,2
1935,2
1936,0
1937,2
1938,2
1939,1
1940,0
1941,2
1942,0
1943,3
1944,1
1945,2
1946,3
1947,0
1948,4
1949,3
1950,2
1951,4
1952,3
1953,2
1954,0
1955,4
1956,0
1957,3
1958,2
1959,0
1960,2
1961,0
1962,0
1963,3
1964,3
1965,3
1966,2
1967,3
1968,4
1969,3
1970,2
1971,0
1972,1
1973,1
1974,1
1975,2
1976,3
1977,0
1978,1
1979,0
1980,2
1981,1
1982,2
1983,0
1984,0
1985,0
1986,1
1987,1
1988,0
1989,2
1990,0
1991,3
1992,2
1993,3
1994,0
1995,3
1996,2
1997,0
1998,1
1999,1
2000,3
2001,1
2002,1
2003,1
2004,2
2005,1
2006,1
2007,2
2008,2
2009,0
2010,4
2011,1
2012,1
2013,3
2014,2
2015,3
2016,2
2017,3
2018,1
2019,2
2020,2
2021,2
2022,3
2023,3
2024,2
2025,2
2026,3
2027,0
2028,2
2029,1
2030,0
2031,2
2032,1
2033,2
2034,2
2035,1
2036,0
2037,0
2038,3
2039,1
2040,0
2041,1
2042,0
2043,0
2044,1
2045,3
2046,4
2047,3
2048,1
2049,1
2050,2
2051,0
2052,2
2053,2
2054,3
2055,1
2056,0
2057,4
2058,4
2059,0
2060,2
2061,0
2062,0
2063,0
2064,0
2065,4
2066,3
2067,1
2068,2
2069,3
2070,4
2071,2
2072,1
2073,2
2074,0
2075,1
2076,1
2077,2
2078,1
2079,0
2080,1
2081,1
2082,0
2083,1
2084,0
2085,2
2086,0
2087,1
2088,4
2089,0
2090,1
2091,2
2092,2
2093,4
2094,1
2095,0
2096,1
2097,2
2098,0
2099,3
2100,1
2101,0
2102,2
2103,2
2104,1
2105,1
2106,0
2107,4
2108,1
2109,0
2110,0
2111,1
2112,0
2113,2
2114,2
2115,1
2116,0
2117,3
2118,0
2119,2
2120,4
2121,0
2122,1
2123,1
2124,2
2125,1
2126,1
2127,4
2128,0
2129,2
2130,4
2131,2
2132,2
2133,1
2134,2
2135,2
2136,4
2137,2
2138,0
2139,1
2140,2
2141,0
2142,3
2143,2
2144,0
2145,0
2146,1
2147,3
2148,3
2149,3
2150,1
2151,2
2152,0
2153,2
2154,1
2155,0
2156,2
2157,1
2158,3
2159,0
2160,3
2161,0
2162,1
2163,0
2164,2
2165,4
2166,2
2167,4
2168,1
2169,3
2170,2
2171,2
2172,2
2173,2
2174,1
2175,0
2176,3
2177,1
2178,0
2179,3
2180,1
2181,1
2182,4
2183,1
2184,0
2185,0
2186,3
2187,3
2188,1
2189,4
2190,2
2191,2
2192,0
2193,2
2194,0
2195,4
2196,3
2197,4
2198,1
2199,1
2200,4
2201,2
2202,0
2203,0
2204,3
2205,2
2206,2
2207,1
2208,3
2209,0
2210,2
2211,2
2212,3
2213,0
2214,1
2215,0
2216,1
2217,2
2218,3
2219,4
2220,0
2221,2
2222,3
2223,2
2224,0
2225,0
2226,0
2227,0
2228,4
2229,1
2230,2
2231,2
2232,4
2233,3
2234,2
2235,1
2236,2
2237,4
2238,3
2239,0
2240,4
2241,1
2242,3
2243,2
2244,4
2245,1
2246,1
2247,2
2248,0
2249,3
2250,3
2251,2
2252,0
2253,2
2254,1
2255,1
2256,1
2257,2
2258,0
2259,1
2260,2
2261,0
2262,1
2263,1
2264,0
2265,0
2266,1
2267,0
2268,3
2269,0
2270,3
2271,1
2272,4
2273,1
2274,0
2275,0
2276,3
2277,1
2278,3
2279,0
2280,4
2281,0
2282,0
2283,0
2284,1
2285,2
2286,4
2287,2
2288,3
2289,0
2290,1
2291,0
2292,0
2293,2
2294,2
2295,3
2296,3
2297,2
2298,2
2299,0
2300,0
2301,3
2302,0
2303,0
2304,2
2305,1
2306,0
2307,1
2308,1
2309,2
2310,3
2311,0
2312,0
2313,1
2314,0
2315,1
2316,0
2317,3
2318,3
2319,3
2320,3
2321,0
2322,0
2323,0
2324,0
