,cluster_11
3,3
5,6
6,4
8,0
9,4
10,4
11,4
12,0
13,6
14,4
15,8
16,0
18,7
19,7
20,7
22,6
23,0
24,6
25,9
26,0
27,0
28,8
29,7
30,6
31,7
32,5
33,0
36,5
37,7
38,7
39,9
41,2
43,5
45,4
46,9
47,4
48,0
49,6
50,2
51,9
52,9
53,9
55,1
56,2
57,0
59,0
60,10
61,4
63,6
64,2
65,6
66,6
67,2
68,9
69,9
70,1
71,4
72,5
73,4
74,2
75,3
76,1
77,0
78,7
80,2
81,7
82,8
83,7
85,4
86,0
87,1
88,6
89,0
90,6
91,7
92,0
93,1
94,2
95,1
96,1
97,2
98,7
99,4
100,5
101,7
102,7
103,5
104,1
107,6
108,0
109,2
110,5
111,9
112,2
113,0
114,7
115,9
116,0
117,9
118,7
119,5
120,2
122,1
123,4
124,1
125,6
126,6
128,9
129,1
130,2
131,1
132,6
133,0
134,0
136,6
137,1
138,5
139,9
140,0
141,9
143,7
144,0
145,4
146,5
148,7
149,6
150,7
151,4
152,8
153,0
154,0
156,8
157,10
159,6
161,7
162,8
163,8
165,4
166,7
167,3
168,4
170,10
171,8
172,0
173,7
174,2
175,6
177,7
179,9
180,5
181,10
182,9
183,8
184,6
185,9
186,4
187,2
188,1
189,8
190,1
191,0
195,1
196,10
197,9
199,4
200,2
201,4
202,7
203,4
204,0
205,7
207,9
209,0
210,7
212,6
213,1
214,9
216,5
217,4
219,6
221,7
222,1
223,8
224,6
225,5
227,2
228,5
230,7
233,1
234,2
235,2
236,7
237,3
238,9
239,9
240,5
241,8
242,5
243,9
244,1
245,2
246,9
247,7
249,2
250,10
252,0
253,0
255,4
256,8
257,3
258,0
259,1
260,6
261,0
262,8
263,5
265,3
266,6
269,9
270,0
271,8
272,10
273,7
274,0
275,6
276,0
278,10
279,4
280,10
281,4
282,6
283,10
284,6
286,4
287,3
288,4
289,10
290,9
291,5
292,0
293,8
295,9
296,0
297,6
298,3
299,2
300,6
302,8
303,2
304,1
305,3
306,4
307,9
308,9
309,7
310,8
311,2
312,9
313,8
314,7
315,8
316,4
317,4
318,7
319,0
320,1
321,6
322,8
323,0
324,6
325,7
326,8
327,8
328,7
329,7
330,9
332,7
333,6
334,4
335,7
336,2
337,1
339,9
340,7
341,4
343,4
344,6
345,7
346,8
348,5
350,4
351,0
352,9
353,8
354,9
355,1
357,0
358,7
359,6
361,1
362,8
363,10
364,4
365,3
366,8
367,7
368,5
369,0
