,cluster
3,3.0
5,6.0
6,4.0
8,0.0
9,4.0
10,4.0
11,4.0
12,0.0
13,6.0
14,4.0
15,8.0
16,0.0
18,7.0
19,7.0
20,7.0
22,
23,0.0
24,6.0
25,
26,0.0
27,0.0
28,
29,7.0
30,6.0
31,7.0
32,5.0
33,0.0
36,5.0
37,7.0
38,7.0
39,9.0
41,2.0
43,5.0
45,4.0
46,9.0
47,4.0
48,0.0
49,6.0
50,2.0
51,9.0
52,9.0
53,9.0
55,1.0
56,2.0
57,0.0
59,0.0
60,10.0
61,4.0
63,6.0
64,2.0
65,
66,6.0
67,2.0
68,9.0
69,9.0
70,1.0
71,4.0
72,5.0
73,4.0
74,2.0
75,3.0
76,1.0
77,0.0
78,7.0
80,2.0
81,7.0
82,8.0
83,7.0
85,4.0
86,0.0
87,1.0
88,6.0
89,0.0
90,6.0
91,7.0
92,0.0
93,1.0
94,2.0
95,1.0
96,1.0
97,2.0
98,7.0
99,4.0
100,5.0
101,7.0
102,7.0
103,5.0
104,1.0
107,6.0
108,0.0
109,2.0
110,5.0
111,9.0
112,2.0
113,0.0
114,7.0
115,9.0
116,0.0
117,9.0
118,7.0
119,5.0
120,2.0
122,1.0
123,4.0
124,1.0
125,6.0
126,6.0
128,9.0
129,1.0
130,2.0
131,1.0
132,6.0
133,0.0
134,0.0
136,6.0
137,1.0
138,5.0
139,9.0
140,0.0
141,9.0
143,7.0
144,0.0
145,4.0
146,5.0
148,7.0
149,6.0
150,7.0
151,4.0
152,8.0
153,0.0
154,0.0
156,8.0
157,10.0
159,6.0
161,
162,8.0
163,8.0
165,4.0
166,7.0
167,3.0
168,4.0
170,10.0
171,8.0
172,0.0
173,7.0
174,2.0
175,6.0
177,7.0
179,9.0
180,5.0
181,10.0
182,9.0
183,8.0
184,6.0
185,9.0
186,4.0
187,2.0
188,1.0
189,8.0
190,1.0
191,0.0
195,1.0
196,10.0
197,9.0
199,4.0
200,2.0
201,4.0
202,7.0
203,4.0
204,0.0
205,7.0
207,9.0
209,0.0
210,7.0
212,6.0
213,1.0
214,9.0
216,
217,4.0
219,6.0
221,7.0
222,1.0
223,8.0
224,6.0
225,5.0
227,2.0
228,5.0
230,7.0
233,1.0
234,2.0
235,2.0
236,7.0
237,3.0
238,9.0
239,9.0
240,5.0
241,8.0
242,5.0
243,9.0
244,1.0
245,2.0
246,9.0
247,7.0
249,2.0
250,10.0
252,0.0
253,0.0
255,4.0
256,8.0
257,3.0
258,0.0
259,1.0
260,6.0
261,0.0
262,8.0
263,5.0
265,3.0
266,6.0
269,9.0
270,0.0
271,8.0
272,10.0
273,7.0
274,0.0
275,6.0
276,0.0
278,10.0
279,4.0
280,10.0
281,4.0
282,6.0
283,10.0
284,6.0
286,4.0
287,3.0
288,4.0
289,10.0
290,9.0
291,5.0
292,0.0
293,8.0
295,9.0
296,0.0
297,6.0
298,3.0
299,2.0
300,6.0
302,8.0
303,2.0
304,1.0
305,3.0
306,4.0
307,9.0
308,9.0
309,7.0
310,8.0
311,2.0
312,9.0
313,8.0
314,7.0
315,8.0
316,4.0
317,4.0
318,7.0
319,
320,1.0
321,6.0
322,8.0
323,0.0
324,6.0
325,7.0
326,8.0
327,8.0
328,7.0
329,7.0
330,9.0
332,7.0
333,6.0
334,4.0
335,7.0
336,2.0
337,1.0
339,9.0
340,7.0
341,4.0
343,4.0
344,6.0
345,7.0
346,8.0
348,5.0
350,4.0
351,0.0
352,9.0
353,8.0
354,9.0
355,1.0
357,0.0
358,7.0
359,6.0
361,1.0
362,8.0
363,10.0
364,4.0
365,3.0
366,8.0
367,7.0
368,5.0
369,0.0
370,1.0
371,2.0
373,9.0
374,3.0
375,1.0
376,6.0
378,1.0
379,4.0
380,4.0
381,1.0
382,3.0
383,6.0
384,0.0
386,4.0
387,1.0
388,4.0
390,1.0
391,6.0
392,4.0
393,9.0
394,7.0
395,4.0
397,5.0
398,0.0
399,9.0
400,0.0
401,3.0
402,0.0
403,4.0
404,6.0
405,7.0
406,7.0
407,0.0
408,1.0
409,6.0
411,0.0
412,6.0
413,7.0
415,10.0
416,1.0
418,7.0
419,2.0
420,6.0
421,2.0
422,9.0
424,8.0
425,8.0
426,8.0
427,2.0
428,10.0
429,0.0
430,1.0
432,3.0
433,9.0
434,4.0
435,4.0
437,8.0
438,4.0
439,3.0
440,6.0
441,4.0
442,4.0
443,9.0
444,4.0
445,3.0
446,0.0
447,0.0
448,2.0
449,3.0
450,7.0
451,1.0
452,4.0
453,4.0
455,
456,6.0
457,7.0
458,
459,0.0
462,5.0
463,8.0
464,7.0
465,4.0
466,3.0
467,0.0
468,6.0
469,2.0
470,5.0
471,6.0
472,0.0
473,7.0
474,8.0
476,7.0
478,7.0
479,2.0
480,8.0
481,3.0
482,2.0
484,8.0
486,8.0
487,8.0
488,7.0
489,2.0
491,0.0
493,5.0
495,7.0
496,4.0
497,9.0
499,8.0
502,5.0
503,
504,7.0
505,4.0
506,3.0
507,1.0
508,7.0
509,4.0
510,0.0
511,7.0
512,9.0
513,1.0
514,3.0
516,1.0
519,5.0
522,7.0
523,4.0
525,9.0
530,1.0
531,7.0
532,5.0
534,4.0
537,6.0
538,2.0
540,2.0
541,
542,4.0
545,2.0
548,2.0
549,8.0
550,0.0
551,4.0
553,2.0
554,9.0
555,0.0
556,3.0
558,6.0
559,4.0
560,4.0
561,7.0
562,5.0
563,2.0
565,4.0
566,4.0
567,8.0
568,1.0
569,0.0
571,1.0
572,8.0
573,5.0
575,9.0
576,6.0
577,6.0
579,2.0
581,5.0
582,0.0
583,0.0
584,0.0
585,7.0
586,3.0
587,0.0
588,10.0
589,4.0
590,0.0
591,7.0
592,4.0
593,4.0
594,0.0
595,8.0
596,10.0
597,8.0
598,7.0
599,5.0
600,10.0
604,7.0
605,7.0
606,2.0
607,2.0
608,6.0
609,
610,0.0
611,10.0
612,3.0
614,8.0
616,5.0
618,4.0
619,4.0
621,4.0
622,8.0
623,8.0
624,0.0
625,8.0
627,1.0
628,2.0
629,7.0
630,9.0
631,10.0
632,6.0
634,7.0
637,7.0
638,2.0
639,2.0
641,7.0
642,8.0
643,6.0
644,6.0
645,2.0
646,0.0
647,0.0
648,4.0
649,3.0
650,7.0
651,4.0
652,7.0
653,2.0
654,9.0
655,3.0
656,9.0
657,9.0
658,6.0
659,6.0
660,7.0
661,1.0
662,5.0
663,2.0
664,2.0
665,10.0
666,0.0
668,7.0
669,5.0
670,1.0
672,7.0
673,3.0
674,9.0
675,6.0
676,0.0
677,3.0
678,9.0
679,2.0
680,3.0
681,8.0
682,9.0
683,5.0
685,5.0
686,10.0
687,7.0
689,8.0
690,2.0
693,0.0
694,6.0
695,3.0
697,9.0
699,8.0
700,6.0
701,2.0
703,3.0
704,0.0
705,6.0
706,10.0
707,0.0
709,2.0
710,2.0
712,3.0
713,4.0
714,9.0
715,9.0
716,0.0
717,9.0
718,8.0
719,1.0
720,7.0
724,7.0
725,7.0
726,4.0
727,4.0
728,0.0
729,4.0
730,5.0
731,7.0
732,4.0
733,0.0
735,4.0
736,7.0
737,2.0
738,0.0
740,5.0
741,2.0
743,7.0
744,3.0
745,3.0
746,2.0
748,6.0
749,7.0
750,6.0
752,3.0
753,7.0
755,6.0
756,2.0
757,2.0
758,7.0
759,4.0
761,7.0
762,5.0
763,5.0
764,8.0
765,8.0
766,6.0
768,3.0
771,9.0
772,6.0
