,cluster
3,11
5,2
6,11
8,3
9,9
10,9
11,9
12,0
13,6
14,8
15,11
16,3
18,1
19,5
20,5
22,6
23,3
24,2
25,9
26,3
27,3
28,11
29,5
30,2
31,5
32,2
33,0
36,2
37,2
38,5
39,8
41,4
43,8
45,8
46,1
47,9
48,0
49,2
50,3
51,1
52,1
53,1
55,10
56,4
57,3
59,11
60,7
61,9
63,3
64,4
65,2
66,2
67,4
68,1
69,1
70,10
71,0
72,2
73,9
74,4
75,4
76,10
77,3
78,5
80,4
81,5
82,8
83,2
85,8
86,3
87,10
88,2
89,3
90,2
91,5
92,3
93,10
94,4
95,10
96,10
97,4
98,5
99,9
100,2
101,5
102,5
103,5
104,10
107,2
108,3
109,4
110,8
111,1
112,4
113,11
114,5
115,0
116,3
117,9
118,5
119,5
120,3
122,10
123,8
124,10
125,6
126,2
128,1
129,10
130,4
131,10
132,3
133,3
134,3
136,2
137,1
138,8
139,1
140,3
141,1
143,5
144,11
145,9
146,8
148,5
149,2
150,5
151,9
152,6
153,8
154,3
156,11
157,7
159,2
161,5
162,11
163,11
165,8
166,5
167,11
168,9
170,7
171,11
172,11
173,5
174,4
175,2
177,5
179,1
180,2
181,7
182,1
183,3
184,2
185,1
186,9
187,4
188,1
189,6
190,1
191,3
195,10
196,7
197,0
199,0
200,4
201,9
202,5
203,8
204,3
205,2
207,1
209,3
210,5
212,3
213,5
214,1
216,8
217,9
219,6
221,5
222,10
223,11
224,2
225,5
227,3
228,2
230,9
233,10
234,4
235,4
236,5
237,11
238,1
239,1
240,2
241,11
242,6
243,1
244,10
245,4
246,1
247,5
249,4
250,7
252,3
253,0
255,8
256,11
257,11
258,3
259,10
260,2
261,3
262,11
263,8
265,11
266,2
269,0
270,3
271,4
272,7
273,5
274,0
275,6
276,8
278,7
279,9
280,7
281,9
282,2
283,7
284,2
286,9
287,11
288,9
289,7
290,1
291,6
292,3
293,11
295,8
296,0
297,2
298,4
299,4
300,3
302,11
303,4
304,5
305,11
306,9
307,1
308,1
309,5
310,11
311,4
312,0
313,6
314,2
315,6
316,9
317,9
318,5
319,3
320,10
321,3
322,6
323,3
324,2
325,5
326,6
327,11
328,5
329,5
330,1
332,2
333,2
334,9
335,5
336,4
337,10
339,1
340,5
341,9
343,9
344,2
345,5
346,8
348,8
350,9
351,11
352,1
353,11
354,1
355,10
357,3
358,5
359,2
361,1
362,6
363,4
364,9
365,11
366,11
367,5
368,8
369,0
370,5
371,4
373,0
374,11
375,10
376,2
378,10
379,9
380,9
381,10
382,11
383,6
384,0
386,9
387,10
388,9
390,5
391,6
392,9
393,1
394,9
395,9
397,2
398,3
399,1
400,3
401,11
402,0
403,9
404,2
405,5
406,2
407,3
408,10
409,2
411,9
412,2
413,5
415,7
416,1
418,5
419,4
420,2
421,4
422,0
424,8
425,6
