,cluster_9,cluster
3,0,
5,5,
6,0,
8,6,
9,2,
10,2,
11,2,
12,6,
13,5,
14,2,
15,3,
16,6,
18,4,
19,8,
20,8,
22,5,
23,6,
24,5,
25,6,
26,6,
27,6,
28,0,
29,8,
30,5,
31,8,
32,8,
33,6,
36,5,
37,8,
38,8,
39,4,
41,3,
43,5,
45,2,
46,4,
47,2,
48,6,
49,5,
50,0,
51,4,
52,4,
53,4,
55,1,
56,3,
57,6,
59,0,
60,3,
61,2,
63,6,
64,3,
65,8,
66,5,
67,3,
68,4,
69,4,
70,1,
71,6,
72,8,
73,2,
74,3,
75,0,
76,1,
77,6,
78,1,
80,3,
81,8,
82,5,
83,8,
85,2,
86,6,
87,1,
88,8,
89,6,
90,5,
91,1,
92,3,
93,1,
94,0,
95,1,
96,1,
97,2,
98,8,
99,2,
100,8,
101,8,
102,8,
103,8,
104,1,
107,5,
108,2,
109,2,
110,8,
111,4,
112,3,
113,0,
114,1,
115,4,
116,6,
117,4,
118,1,
119,8,
120,6,
122,1,
123,2,
124,1,
125,5,
126,8,
128,4,
129,1,
130,0,
131,1,
132,6,
133,6,
134,6,
136,5,
137,1,
138,4,
139,4,
140,6,
141,4,
143,4,
144,6,
145,2,
146,8,
148,8,
149,8,
150,8,
151,2,
152,5,
153,6,
154,6,
156,3,
157,7,
159,8,
161,8,
162,3,
163,3,
165,2,
166,8,
167,0,
168,2,
170,7,
171,3,
172,0,
173,4,
174,3,
175,5,
177,8,
179,4,
180,8,
181,7,
182,4,
183,5,
184,6,
185,4,
186,6,
187,3,
188,1,
189,3,
190,1,
191,0,
195,1,
196,7,
197,6,
199,2,
200,3,
201,2,
202,8,
203,2,
204,6,
205,8,
207,4,
209,6,
210,8,
212,6,
213,1,
214,4,
216,6,
217,2,
219,5,
221,1,
222,1,
223,3,
224,8,
225,8,
227,0,
228,8,
230,8,
233,1,
234,3,
235,3,
236,8,
237,0,
238,4,
239,4,
240,5,
241,3,
242,5,
243,4,
244,1,
245,0,
246,4,
247,8,
249,0,
250,7,
252,6,
253,5,
255,2,
256,3,
257,0,
258,6,
259,1,
260,8,
261,6,
262,3,
263,8,
265,0,
266,8,
269,4,
270,6,
271,3,
272,7,
273,8,
274,6,
275,5,
276,6,
278,7,
279,2,
280,7,
281,2,
282,8,
283,3,
284,5,
286,2,
287,0,
288,2,
289,7,
290,4,
291,5,
292,6,
293,3,
295,4,
296,6,
297,5,
298,0,
299,0,
300,5,
302,3,
303,0,
304,1,
305,0,
306,2,
307,4,
308,4,
309,4,
310,3,
311,3,
312,4,
313,5,
314,8,
315,5,
316,6,
317,2,
318,8,
319,0,
320,1,
321,6,
322,5,
323,6,
324,8,
325,8,
326,5,
327,3,
328,8,
329,1,
330,4,
332,8,
333,8,
334,8,
335,8,
336,0,
337,1,
339,4,
340,8,
341,2,
343,2,
344,5,
345,1,
346,3,
348,8,
350,2,
351,6,
352,4,
353,3,
354,4,
355,1,
357,6,
358,8,
359,5,
361,4,
362,5,
363,3,
364,0,
365,0,
366,0,
367,8,
368,8,
369,6,
370,1,
371,0,
373,4,
374,0,
375,1,
376,5,
378,1,
379,2,
380,8,
381,1,
382,0,
383,5,
384,6,
386,2,
387,1,
388,8,
390,1,
391,5,
392,2,
393,4,
394,8,
395,2,
397,8,
398,6,
399,4,
400,6,
401,0,
402,6,
403,2,
404,6,
405,8,
406,8,
407,6,
408,1,
409,8,
411,6,
412,8,
413,8,
415,7,
416,4,
418,8,
419,0,
420,5,
421,0,
422,4,
424,3,
425,5,
426,7,
427,2,
428,3,
429,6,
430,1,
432,0,
433,6,
434,2,
435,2,
437,3,
438,2,
439,0,
440,6,
441,2,
442,2,
443,4,
444,2,
445,0,
446,6,
447,0,
448,0,
449,0,
450,8,
451,1,
452,2,
453,2,
455,6,
456,5,
457,8,
458,6,
459,6,
462,8,
463,3,
464,8,
465,2,
466,0,
467,6,
468,8,
469,3,
470,5,
471,5,
472,2,
473,8,
474,3,
476,8,
478,8,
479,3,
480,3,
481,0,
482,0,
484,3,
486,3,
487,3,
488,8,
489,0,
491,6,
493,5,
495,8,
496,2,
497,4,
499,3,
502,5,
503,3,
504,1,
505,2,
506,0,
507,1,
508,8,
509,2,
510,6,
511,8,
512,4,
513,1,
514,0,
516,1,
519,6,
522,8,
523,2,
525,4,
530,1,
531,8,
532,5,
534,2,
537,5,
538,2,
540,0,
541,2,
542,8,
545,2,
548,2,
549,5,
550,6,
551,2,
553,0,
554,4,
555,6,
556,0,
558,5,
559,8,
560,2,
561,8,
562,8,
563,3,
565,2,
566,2,
567,3,
568,1,
569,3,
571,1,
572,5,
573,5,
575,4,
576,6,
577,5,
579,0,
581,3,
582,2,
583,0,
584,6,
585,8,
586,0,
587,6,
588,7,
589,2,
590,6,
591,8,
592,2,
593,2,
594,2,
595,5,
596,7,
597,3,
598,8,
599,8,
600,7,
604,8,
605,1,
606,2,
607,3,
608,6,
609,5,
610,6,
611,3,
612,0,
614,3,
616,5,
618,2,
619,2,
621,2,
622,5,
623,3,
624,6,
625,3,
627,1,
628,6,
629,8,
630,4,
631,7,
632,8,
634,1,
637,4,
638,3,
639,0,
641,1,
642,3,
643,8,
644,5,
645,3,
646,6,
647,6,
648,2,
649,0,
650,8,
651,2,
652,8,
653,0,
654,4,
655,0,
656,6,
657,4,
658,8,
659,5,
660,8,
661,1,
662,8,
663,0,
664,0,
665,7,
666,6,
668,8,
669,5,
670,1,
672,4,
673,0,
674,4,
675,5,
676,6,
677,0,
678,6,
679,2,
680,7,
681,7,
682,4,
683,8,
685,2,
686,7,
687,8,
689,3,
690,0,
693,2,
694,8,
695,0,
697,4,
699,3,
700,5,
701,0,
703,0,
704,6,
705,5,
706,7,
707,6,
709,0,
710,0,
712,0,
713,2,
714,4,
715,4,
716,6,
717,4,
718,3,
719,1,
720,8,
724,8,
725,8,
726,2,
727,2,
728,6,
729,2,
730,8,
731,8,
732,2,
733,6,
735,2,
736,1,
737,2,
738,6,
740,8,
741,0,
743,8,
744,0,
745,0,
746,0,
748,5,
749,8,
