,cluster
3,3
5,10
6,4
8,8
9,6
10,6
11,6
12,8
13,9
14,6
15,2
16,5
18,7
19,11
20,13
22,9
23,5
24,9
25,6
26,5
27,5
28,5
29,13
30,10
31,13
32,11
33,8
36,11
37,10
38,13
39,6
41,4
43,10
45,6
46,7
47,6
48,8
49,10
50,4
51,7
52,7
53,7
55,13
56,4
57,5
59,5
60,1
61,6
63,10
64,4
65,10
66,10
67,4
68,7
69,7
70,7
71,8
72,11
73,6
74,4
75,3
76,12
77,5
78,13
80,2
81,13
82,6
83,11
85,6
86,5
87,12
88,10
89,5
90,10
91,13
92,5
93,12
94,4
95,12
96,13
97,4
98,13
99,6
100,10
101,13
102,13
103,10
104,12
107,10
108,5
109,4
110,10
111,7
112,4
113,5
114,13
115,8
116,5
117,6
118,13
119,11
120,6
122,12
123,6
124,12
125,9
126,10
128,8
129,13
130,4
131,12
132,10
133,5
134,5
136,10
137,7
138,6
139,7
140,5
141,7
143,7
144,5
145,6
146,10
148,13
149,10
150,13
151,6
152,9
153,5
154,6
156,2
157,2
159,10
161,6
162,2
163,2
165,6
166,13
167,5
168,6
170,1
171,2
172,5
173,13
174,2
175,10
177,13
179,7
180,11
181,1
182,7
183,10
184,10
185,7
186,6
187,4
188,7
189,9
190,12
191,5
195,12
196,1
197,10
199,8
200,4
201,6
202,13
203,6
204,5
205,13
207,7
209,5
210,13
212,10
213,13
214,7
216,6
217,6
219,9
221,13
222,12
223,2
224,10
225,11
227,5
228,10
230,10
233,12
234,4
235,4
236,13
237,3
238,7
239,7
240,10
241,2
242,9
243,8
244,12
245,4
246,7
247,13
249,4
250,1
252,5
253,11
255,6
256,2
257,3
258,5
259,12
260,10
261,5
262,2
263,6
265,3
266,10
269,8
270,5
271,2
272,1
273,13
274,8
275,9
276,5
278,2
279,6
280,1
281,8
282,11
283,1
284,10
286,6
287,5
288,6
289,2
290,7
291,9
292,5
293,2
295,6
296,8
297,10
298,3
299,3
300,10
302,2
303,4
304,13
305,3
306,6
307,7
308,7
309,7
310,2
311,4
312,8
313,9
314,10
315,9
316,6
317,6
318,11
319,5
320,12
321,10
322,9
323,5
324,11
325,13
326,9
327,2
328,13
329,13
330,7
332,10
333,10
334,10
335,13
336,4
337,12
339,7
340,13
341,6
343,8
344,10
345,13
346,2
348,10
350,6
351,5
352,7
353,2
354,7
355,12
357,5
358,13
359,10
361,7
362,9
363,2
364,4
365,3
366,2
367,13
368,6
369,8
370,13
371,4
373,8
374,3
375,12
376,10
378,12
379,6
380,6
381,12
382,3
383,10
384,8
386,6
387,12
388,6
390,13
391,9
392,6
393,7
394,11
395,6
397,10
398,5
399,7
400,5
401,3
402,2
403,6
404,10
405,13
406,10
407,5
408,12
409,10
411,6
412,10
413,13
415,1
416,7
418,13
419,4
420,10
421,3
422,8
424,2
425,9
426,2
427,4
428,4
429,5
430,12
432,3
433,8
434,6
435,6
437,5
438,6
439,3
440,10
441,8
442,6
443,7
444,10
445,3
446,8
447,5
448,4
449,3
450,13
451,12
452,6
453,6
455,8
456,10
457,13
458,8
459,5
462,10
463,2
464,11
465,6
466,3
467,8
468,10
469,4
470,10
471,10
472,6
473,13
474,2
476,13
478,13
