,cluster
3,8
5,11
6,10
8,0
9,10
10,10
11,10
12,10
13,11
14,5
15,9
16,0
18,7
19,2
20,6
22,11
23,0
24,11
25,10
26,0
27,0
28,0
29,6
30,11
31,2
32,2
33,0
36,11
37,6
38,6
39,5
41,3
43,5
45,5
46,7
47,10
48,0
49,11
50,3
51,7
52,12
53,12
55,7
56,3
57,0
59,0
60,4
61,10
63,6
64,3
65,6
66,2
67,3
68,12
69,12
70,7
71,10
72,2
73,10
74,3
75,8
76,1
77,0
78,7
80,3
81,6
82,5
83,2
85,5
86,0
87,1
88,6
89,0
90,11
91,7
92,0
93,1
94,3
95,7
96,7
97,3
98,7
99,10
100,6
101,7
102,7
103,6
104,1
107,11
108,0
109,3
110,5
111,12
112,3
113,0
114,7
115,5
116,0
117,10
118,7
119,2
120,3
122,7
123,5
124,1
125,11
126,6
128,12
129,7
130,3
131,1
132,6
133,0
134,0
136,11
137,1
138,5
139,12
140,0
141,12
143,7
144,0
145,10
146,5
148,2
149,11
150,7
151,10
152,11
153,5
154,0
156,9
157,9
159,6
161,5
162,9
163,9
165,5
166,7
167,8
168,10
170,4
171,9
172,0
173,7
174,9
175,11
177,2
179,12
180,2
181,4
182,10
183,11
184,6
185,6
186,10
187,3
188,7
189,9
190,1
191,0
195,1
196,4
197,6
199,10
200,3
201,10
202,6
203,5
204,0
205,6
207,12
209,0
210,6
212,6
213,7
214,12
216,5
217,10
219,11
221,7
222,7
223,9
224,6
225,2
227,3
228,2
230,6
233,7
234,3
235,3
236,6
237,8
238,12
239,10
240,6
241,9
242,11
243,12
244,7
245,3
246,12
247,6
249,3
250,4
252,5
253,0
255,5
256,9
257,8
258,0
259,1
260,2
261,0
262,9
263,5
265,8
266,6
269,12
270,0
271,9
272,4
273,7
274,0
275,11
276,5
278,4
279,10
280,4
281,10
282,2
283,4
284,11
286,10
287,0
288,10
289,4
290,12
291,11
292,0
293,9
295,5
296,0
297,11
298,8
299,3
300,11
302,9
303,3
304,7
305,8
306,10
307,12
308,12
309,7
310,9
311,3
312,12
313,9
314,6
315,11
316,10
317,10
318,2
319,0
320,7
321,11
322,11
323,0
324,2
325,6
326,9
327,9
328,7
329,7
330,7
332,6
333,6
334,6
335,6
336,3
337,1
339,7
340,7
341,10
343,10
344,11
345,7
346,9
348,5
350,10
351,0
352,6
353,9
354,12
355,7
357,0
358,2
359,11
361,12
362,11
363,9
364,10
365,8
366,9
367,6
368,5
369,0
370,7
371,3
373,12
374,8
375,7
376,11
378,1
379,10
380,10
381,7
382,8
383,11
384,0
386,10
387,1
388,10
390,7
391,11
392,10
393,7
394,2
395,10
397,2
398,5
399,12
400,0
401,8
402,5
403,10
404,11
405,6
406,6
407,0
408,1
409,6
411,10
412,6
413,10
415,4
416,7
418,6
419,3
420,11
421,8
422,12
424,9
425,11
426,9
427,3
428,4
429,0
430,7
432,8
433,12
434,10
435,5
437,0
438,10
439,8
440,11
441,10
442,10
443,7
444,6
445,8
446,0
447,0
448,3
449,8
450,6
451,1
452,10
453,5
455,12
456,11
457,7
458,10
459,0
462,5
463,9
464,2
465,5
466,8
467,12
468,6
469,3
470,5
471,11
472,5
473,6
474,9
476,6
478,7
479,3
480,9
481,8
482,3
484,9
486,9
487,9
488,7
489,3
491,0
493,2
495,6
496,10
497,5
499,9
502,5
503,9
504,7
505,10
506,8
507,7
508,7
509,10
510,0
511,6
512,12
513,7
514,8
516,1
519,5
522,7
523,5
525,12
530,1
531,6
532,11
534,5
537,10
538,3
540,8
541,0
542,10
545,3
548,3
549,11
550,0
551,10
553,3
554,7
555,0
556,8
558,11
559,10
560,10
561,6
562,2
563,3
565,5
566,5
567,9
568,7
569,0
571,1
572,11
573,5
575,12
576,6
577,11
579,3
581,5
582,0
583,0
584,0
585,6
586,8
587,0
588,4
589,10
590,0
591,6
592,10
593,0
594,0
595,11
596,9
597,9
598,6
599,6
600,4
604,12
605,7
606,3
607,3
608,6
609,11
610,0
611,4
612,8
614,9
616,5
618,10
619,10
621,10
622,9
623,9
624,0
625,9
627,7
628,0
629,2
630,12
631,4
632,6
634,7
637,7
638,3
639,3
641,7
642,9
643,2
644,11
645,3
646,10
647,0
648,10
649,8
650,2
651,10
652,6
653,3
654,12
655,8
656,6
657,12
658,6
659,11
660,6
661,7
662,5
663,3
664,3
665,4
666,0
668,2
669,5
670,1
672,7
673,8
674,12
675,11
676,5
677,8
678,12
679,10
680,8
681,9
682,12
683,2
685,5
686,4
687,7
689,9
690,3
693,0
694,6
695,8
697,12
699,9
700,11
701,3
703,8
704,0
705,11
706,4
707,0
709,3
710,3
712,8
713,10
714,12
715,7
716,0
717,12
718,9
719,7
720,6
724,7
725,6
726,10
727,10
728,0
729,5
730,2
731,2
732,10
733,0
735,5
736,7
737,3
738,0
740,5
741,3
743,6
744,8
745,8
746,3
748,11
749,7
750,6
752,8
753,6
755,11
