Unnamed: 0,cluster
3,1
5,1
6,5
8,1
9,0
10,0
11,1
12,1
13,5
14,0
15,2
16,1
18,1
19,5
20,3
22,0
23,1
24,1
25,1
26,1
27,5
28,0
29,1
30,1
31,1
32,0
33,3
36,2
37,1
38,1
39,0
41,-1
43,0
45,2
46,1
47,5
48,1
49,0
50,3
51,5
52,1
53,1
55,1
56,4
57,2
59,1
60,2
61,0
63,1
64,5
65,1
66,5
67,0
68,0
69,3
70,1
71,3
72,0
73,5
74,2
75,5
76,1
77,1
78,1
80,0
81,0
82,0
83,1
85,0
86,0
87,1
88,1
89,3
90,3
91,1
92,0
93,0
94,1
95,1
96,1
97,2
98,1
99,1
100,0
101,1
102,1
103,0
104,1
107,1
108,1
109,1
110,0
111,1
112,0
113,5
114,5
115,2
116,5
117,1
118,1
119,0
120,0
122,1
123,0
124,1
125,1
126,5
128,1
129,1
130,1
131,0
132,1
133,1
134,0
136,1
137,1
138,0
139,1
140,1
141,1
143,1
144,5
145,5
146,0
148,0
149,3
150,3
151,1
152,0
153,2
154,1
156,4
157,4
159,3
161,0
162,4
163,4
165,0
166,1
167,3
168,2
170,2
171,4
172,5
173,5
174,2
175,2
177,0
179,0
180,0
181,-1
182,3
183,4
184,1
185,1
186,1
187,2
188,1
189,4
190,0
191,1
195,1
196,-1
197,1
199,4
200,0
201,5
202,1
203,4
204,0
205,3
207,1
209,1
210,0
212,1
213,0
214,1
216,0
217,1
219,1
221,1
222,1
223,2
224,3
225,0
227,1
228,0
230,1
233,1
234,4
235,0
236,1
237,4
238,1
239,3
240,0
241,2
242,4
243,1
244,0
245,3
246,1
247,1
249,4
250,0
252,0
253,1
255,0
256,4
257,5
258,1
259,1
260,3
261,5
262,2
263,4
265,4
266,3
269,0
270,0
271,0
272,-1
273,0
274,5
275,0
276,0
278,4
279,1
280,-1
281,1
282,1
283,4
284,1
286,5
287,5
288,1
289,4
290,1
291,0
292,1
293,0
295,0
296,5
297,3
298,5
299,0
300,1
302,2
303,5
304,3
305,1
306,5
307,3
308,1
309,1
310,0
311,0
312,0
313,0
314,1
315,4
316,3
317,5
318,0
319,1
320,1
321,1
322,2
323,1
324,1
325,1
326,4
327,4
328,0
329,3
330,3
332,1
333,1
334,1
335,1
336,5
337,1
