,cluster
3,2
5,1
6,2
8,2
9,2
10,2
11,1
12,0
13,2
14,0
15,2
16,2
18,1
19,-1
20,0
22,2
23,2
24,0
25,0
26,2
27,2
28,2
29,0
30,2
31,0
32,1
33,0
36,2
37,0
38,0
39,0
41,2
43,0
45,2
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
55,0
56,0
57,2
59,2
60,0
61,0
63,2
64,2
65,0
66,2
67,2
68,0
69,0
70,0
71,1
72,1
73,0
74,2
75,2
76,0
77,1
78,2
80,2
81,0
82,1
83,2
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,2
93,0
94,0
95,-1
96,0
97,0
98,2
99,0
100,0
101,0
102,-1
103,1
104,0
107,0
108,0
109,1
110,0
111,0
112,1
113,2
114,0
115,0
116,0
117,-1
118,0
119,0
120,2
122,-1
123,1
124,0
125,2
126,1
128,0
129,-1
130,0
131,0
132,2
133,0
134,-1
136,2
137,0
138,0
139,0
140,1
141,1
143,1
144,0
145,-1
146,0
148,2
149,2
150,1
151,2
152,2
153,2
154,0
156,2
157,2
159,0
161,0
162,0
163,0
165,0
166,2
167,2
168,1
170,2
171,0
172,1
173,2
174,2
175,1
177,1
179,0
180,2
181,2
182,1
183,1
184,0
185,0
186,1
187,2
188,0
189,2
190,0
191,1
195,0
196,2
197,0
199,0
200,2
201,2
202,2
203,2
204,2
205,0
207,-1
209,0
210,2
212,0
213,0
214,0
216,0
217,0
219,2
221,0
222,0
223,1
224,0
225,2
227,0
228,0
230,2
233,0
234,0
235,2
236,0
237,2
238,1
239,2
240,1
241,2
242,2
243,0
244,1
245,0
246,2
247,2
249,2
250,2
252,0
253,0
255,1
256,1
257,2
258,2
259,0
260,2
261,1
262,0
263,2
265,2
266,1
269,0
270,2
271,2
272,2
273,0
274,1
275,2
276,2
278,2
279,0
280,2
281,0
282,1
283,2
284,1
286,2
287,0
288,2
289,2
290,0
291,2
292,2
293,0
295,2
296,0
297,2
298,2
299,2
300,2
302,0
303,2
304,0
305,0
306,2
307,-1
308,0
309,0
310,1
311,2
312,0
313,2
314,0
315,2
316,0
317,1
318,0
319,2
320,0
321,1
322,2
323,0
324,1
325,0
326,2
327,0
328,1
329,0
330,1
332,2
333,1
334,2
335,2
336,0
337,0
339,0
340,0
341,0
343,1
344,2
345,1
346,0
348,0
350,0
351,0
352,0
353,2
354,1
355,1
357,1
358,2
359,0
361,-1
362,2
363,2
364,2
365,2
366,0
367,0
368,0
369,0
370,-1
371,2
373,0
374,2
375,0
376,2
378,0
379,1
380,0
381,0
382,1
383,2
384,0
386,0
387,0
388,2
390,1
391,2
392,0
393,1
394,0
395,2
397,2
398,0
399,2
400,2
401,1
402,0
403,0
404,0
405,0
406,0
407,2
408,0
409,0
411,1
412,2
413,0
415,2
416,1
418,1
419,2
420,2
421,2
422,0
424,2
425,2
426,0
427,2
428,2
429,1
430,-1
432,2
433,1
434,2
435,2
437,2
438,0
439,1
440,2
441,1
442,0
443,2
444,2
445,2
446,0
447,2
448,0
449,2
450,0
451,-1
452,0
453,2
455,2
456,2
457,0
458,1
459,1
462,0
463,2
464,0
465,0
466,2
467,0
468,1
469,2
470,2
471,2
472,2
473,0
474,0
476,1
478,0
479,2
480,2
481,2
482,2
484,0
486,2
487,2
488,1
489,0
491,2
493,2
495,0
496,2
497,2
499,2
502,0
503,0
504,0
505,0
506,2
507,1
508,0
509,0
510,1
511,0
512,0
513,-1
514,2
516,0
519,2
522,0
523,1
525,0
530,0
531,2
532,1
534,2
537,0
538,2
540,2
541,2
542,0
545,2
548,2
549,2
550,0
551,2
553,2
554,0
555,0
556,0
558,0
559,2
560,0
561,0
562,0
563,2
565,0
566,1
567,2
568,0
569,2
571,1
572,2
573,2
575,1
576,0
577,2
579,0
581,2
582,2
583,2
584,2
585,0
586,2
587,1
588,2
589,0
590,0
591,2
592,0
593,2
594,0
595,0
596,2
597,0
598,1
599,0
600,2
604,0
605,0
606,2
607,0
608,2
609,1
610,0
611,2
612,2
614,2
616,1
618,2
619,2
621,2
622,0
623,2
624,0
625,0
627,0
628,2
629,-1
630,1
631,2
632,1
634,1
637,1
638,2
639,2
641,0
642,0
643,2
644,0
645,2
646,1
647,0
648,1
649,0
650,0
651,2
652,2
653,1
654,0
655,2
656,1
657,0
658,0
659,0
660,0
661,0
662,0
663,1
664,2
665,2
666,1
668,0
669,2
670,0
672,2
673,0
674,1
675,2
676,1
677,2
678,2
679,0
680,2
681,2
682,0
683,1
685,2
686,2
687,-1
689,0
690,0
693,2
694,0
695,2
697,0
699,2
700,2
701,2
703,0
704,0
705,0
706,2
707,0
709,2
710,2
712,2
713,2
714,2
715,0
716,2
717,2
718,2
719,0
720,1
724,0
725,0
726,2
727,2
728,0
729,2
730,0
731,1
732,2
733,2
735,0
736,1
737,2
738,0
740,0
741,2
743,2
744,2
745,-1
746,2
748,0
749,0
750,0
752,2
753,0
755,1
756,2
757,2
758,0
759,2
761,0
762,0
763,0
764,0
765,2
766,2
768,2
771,1
772,2
776,2
777,1
779,0
780,0
782,2
783,-1
784,1
785,2
788,2
789,0
790,0
791,2
792,2
793,0
795,2
797,-1
798,-1
799,0
800,0
801,0
802,0
803,0
804,1
805,2
806,0
807,2
808,1
809,2
810,1
811,2
812,0
813,2
814,1
816,0
817,2
818,0
819,0
820,2
822,0
823,0
824,2
825,2
826,0
827,2
828,0
829,0
830,2
831,0
832,2
833,2
834,2
836,0
838,2
839,2
840,2
841,1
842,0
843,-1
844,-1
845,2
847,0
848,2
849,2
850,2
851,2
852,2
853,2
854,0
855,0
856,0
857,0
858,1
859,2
860,2
861,0
862,1
863,2
865,0
866,0
867,2
868,1
869,1
870,2
871,0
872,2
873,-1
874,2
875,0
877,2
878,2
879,0
880,0
881,0
884,2
885,0
886,0
888,0
889,1
890,2
891,0
893,2
894,2
895,2
897,0
898,2
899,2
900,2
902,2
903,2
904,1
905,-1
907,-1
909,2
910,0
911,2
913,2
914,1
915,2
916,2
917,2
918,0
920,2
922,0
923,2
924,0
925,0
926,1
927,0
930,2
932,0
935,0
936,2
938,2
941,0
942,2
943,0
944,1
945,0
947,1
948,0
949,2
950,0
951,1
952,0
953,0
955,-1
956,0
957,0
959,0
961,2
962,0
964,2
965,0
966,2
968,2
969,2
970,-1
972,2
973,0
974,0
975,1
976,0
977,0
978,0
979,2
980,0
981,0
982,2
983,2
984,2
985,1
986,1
987,2
988,0
989,-1
990,-1
992,0
993,0
994,0
995,2
996,2
997,0
998,0
999,2
1000,2
1001,1
1002,2
1003,2
1004,1
1005,1
1006,-1
1007,2
1008,0
1009,2
1010,2
1011,2
1012,1
1013,2
1014,2
1016,0
1017,2
1018,1
1019,1
1020,2
1022,2
1023,0
1024,1
1025,1
1026,0
1028,0
1029,0
1030,2
1031,0
1033,2
1034,1
1035,0
1036,0
1037,2
1038,0
1039,2
1040,1
1041,1
1042,0
1043,1
1044,2
1045,0
1046,0
1047,0
1049,1
1050,0
1051,2
1052,2
1053,1
1054,0
1055,2
1056,2
1057,0
1058,2
1059,2
1060,0
1061,2
1062,0
1063,2
1064,2
1065,0
1066,0
1068,2
1069,2
1071,1
1072,0
1073,1
1074,2
1075,2
1076,0
1077,0
1078,2
1079,0
1080,2
1081,0
1082,0
1084,2
1085,0
1086,2
1087,0
1088,0
1090,2
1092,0
1093,0
1094,1
1096,2
1098,0
1100,0
1101,0
1103,0
1104,2
1106,2
1109,0
1111,0
1112,2
1113,0
1114,2
1115,2
1116,0
1118,2
1120,0
1121,0
1122,0
1123,2
1124,2
1126,0
1128,0
1130,0
1131,1
1132,2
1134,0
1136,2
1137,0
1138,1
1139,2
1140,2
1143,1
1145,2
1146,1
1147,0
1148,1
1149,0
1150,2
1151,2
1152,2
1153,1
1154,2
1155,2
1156,2
1157,2
1158,2
1161,2
1162,2
1163,2
1164,1
1165,1
1166,1
1167,2
1168,2
1169,1
1170,2
1172,2
1173,0
1174,1
1176,0
1177,2
1178,0
1179,1
1180,2
1182,2
1183,2
1184,0
1185,1
1186,2
1187,0
1189,2
1190,0
1191,0
1192,0
1193,0
1194,0
1196,1
1197,2
1198,0
1199,1
1200,2
1201,2
1202,2
1203,0
1205,2
1206,1
1208,0
1209,2
1210,1
1211,0
1212,0
1214,2
1215,2
1216,0
1219,0
1220,0
1221,2
1222,2
1223,1
1224,2
1225,1
1226,2
1227,0
1228,0
1230,0
1231,0
1232,2
1233,0
1235,0
1236,0
1237,0
1238,1
1239,0
1240,2
1241,-1
1245,1
1246,2
1248,2
1249,2
1250,0
1251,2
1253,0
1254,0
1255,0
1256,2
1258,2
1259,0
1260,1
1262,2
1263,0
1264,0
1265,2
1266,0
1267,2
1268,2
1269,2
1270,2
1271,0
1272,0
1273,0
1274,2
1275,1
1276,2
1278,0
1279,1
1280,2
1281,0
1282,1
1284,0
1285,0
1286,0
1287,1
1288,2
1289,-1
1291,0
1292,2
1293,0
1296,1
1297,0
1298,1
1299,0
1300,0
1301,0
1304,2
1305,2
1306,0
1307,0
1308,0
1309,2
1310,2
1311,2
1312,0
1313,2
1315,2
1316,0
1317,2
1318,1
1319,2
1320,0
1321,2
1323,-1
1324,1
1325,1
1326,2
1327,0
1328,2
1329,2
1330,2
1331,0
1332,2
1333,2
1337,2
1338,0
1339,0
1340,2
1341,1
1343,2
1345,2
1346,0
1347,2
1348,0
1349,2
1350,2
1352,2
1354,0
1355,2
1356,0
1357,0
1358,2
1359,1
1361,1
1362,2
1363,0
1364,-1
1365,0
1366,0
1367,1
1368,0
1369,0
1372,-1
1374,2
1375,0
1376,2
1377,2
1378,0
1379,2
1380,2
1382,2
1384,0
1385,2
1386,0
1389,0
1390,2
1392,2
1393,2
1394,1
1395,0
1396,0
1397,0
1398,0
1402,1
1403,0
1404,2
1405,-1
1406,0
1407,0
1409,0
1410,2
1411,0
1413,0
1415,2
1417,-1
1418,0
1419,2
1421,0
1422,0
1423,0
1424,2
1425,2
1426,2
1428,0
1429,1
1430,2
1431,2
1433,2
1434,0
1436,2
1437,0
1438,2
1439,2
1440,2
1442,0
1443,1
1444,2
1445,2
1446,0
1447,2
1448,0
1449,0
1453,2
1454,2
1455,0
1456,2
1457,2
1458,-1
1459,1
1461,1
1462,2
1464,0
1467,0
1468,0
1469,1
1470,1
1471,0
1472,2
1473,0
1474,1
1475,0
1478,-1
1479,2
1481,1
1484,0
1485,2
1487,0
1488,2
1489,0
1490,0
1491,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,2
1499,1
1501,0
1503,0
1504,0
1505,2
1506,1
1509,-1
1512,0
1513,1
1515,0
1516,0
1517,0
1518,0
1519,1
1520,0
1521,1
1523,0
1524,2
1525,0
1526,0
1528,0
1529,-1
1530,2
1531,1
1533,1
1536,2
1537,0
1538,1
1539,0
1540,0
1541,0
1542,2
1543,0
1544,2
1545,2
1547,0
1548,0
1550,0
1552,2
1554,1
1557,2
1558,2
1560,0
1562,1
1563,0
1564,0
1565,0
1566,2
1568,1
1569,-1
1570,0
1571,2
1572,2
1573,2
1577,0
1578,0
1579,2
1580,2
1581,1
1582,0
1583,0
1584,1
1585,2
1586,2
1589,1
1590,-1
1592,2
1595,2
1598,0
1600,1
1601,2
1602,0
1603,0
1605,0
1606,2
1609,-1
1610,2
1611,0
1612,2
1615,2
1616,-1
1617,2
1618,2
1619,2
1620,0
1621,0
1622,2
1623,2
1624,2
1625,2
1626,2
1627,0
1629,2
1630,2
1632,0
1633,2
1634,0
1636,1
1638,0
1639,1
1641,2
1642,2
1644,2
1645,0
1647,0
1649,2
1650,0
1651,0
1653,1
1654,0
1657,2
1659,2
1661,2
1662,2
1663,0
1665,2
1667,0
1668,0
1670,0
1671,0
1674,2
1675,2
1676,2
1677,0
1678,2
1680,0
1682,2
1686,2
1687,1
1688,0
1689,1
1690,2
1694,1
1695,2
1696,-1
1697,2
1699,-1
1700,2
1701,2
1702,2
1703,2
1705,-1
1708,1
1710,0
1711,1
1714,2
1715,2
1716,0
1718,2
1720,0
1721,0
1722,0
1723,2
1724,2
1725,2
1729,2
1733,1
1734,2
1735,0
1737,1
1738,0
1739,2
1740,0
1742,2
1743,2
1744,2
1746,-1
1751,0
1753,0
1755,0
1756,1
1762,0
1766,2
1767,2
1768,2
1769,0
1771,1
1774,2
1775,2
1776,2
1777,2
1778,2
1780,1
1782,1
1783,2
1784,0
1786,2
1787,2
1788,2
1790,0
1791,1
1792,0
1793,0
1794,0
1795,2
1796,2
1797,2
1799,1
1800,2
1801,0
1803,1
1804,2
1805,2
1808,0
1810,2
1811,2
1812,2
1813,2
1814,1
1815,0
1816,2
1817,0
1818,-1
1819,2
1820,0
1821,1
1824,0
1825,2
1826,1
1827,0
1828,2
1829,1
1830,2
1831,2
1832,0
1833,0
1834,0
1836,1
1837,2
1838,0
1839,-1
1841,0
1843,0
1844,0
1845,0
1847,0
1848,1
1850,0
1851,2
1852,0
1853,0
1854,0
1855,0
1856,0
1857,2
1858,0
1859,0
1860,1
1861,1
1863,1
1864,0
1865,2
1866,0
1868,2
1869,2
1871,2
1872,2
1874,0
1875,2
1876,0
1877,2
1881,2
1882,2
1884,2
1885,2
1888,2
1891,0
1892,2
1893,2
1894,0
1895,0
1896,2
1897,1
1899,2
1901,0
1903,1
1904,0
1905,1
1906,2
1909,0
1911,0
1912,0
1914,1
1915,2
1917,2
1918,0
