dataset,n_estimators,perplexity,learning_rate,n_iter,N_top_features,min_cluster_size,min_samples,tsne_results,top_features,silhouette_score,cluster_labels,num_clusters
Dataset_4,25,5,5,2500,10,15,10,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.16182014,[-1 38 -1 ... 11 -1 38],74
Dataset_4,25,5,5,2500,10,15,15,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.24209805,[-1 36 46 ... 12 -1 36],51
Dataset_4,25,5,5,2500,10,15,20,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.24240316,[-1 15 15 ...  6 15 -1],16
Dataset_4,25,5,5,2500,10,20,10,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.2690435,[-1 20 20 ...  5 20 20],21
Dataset_4,25,5,5,2500,10,20,15,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.26515475,[-1 20 23 ...  5 -1 20],25
Dataset_4,25,5,5,2500,10,20,20,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.24240316,[-1 15 15 ...  6 15 -1],16
Dataset_4,25,5,5,2500,10,25,10,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.23324108,[-1 14 14 ...  5 14 14],15
Dataset_4,25,5,5,2500,10,25,15,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.20612969,[-1 13 15 ...  5 -1 13],17
Dataset_4,25,5,5,2500,10,25,20,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.14530718,[-1  8  8 ...  5  8  8],10
Dataset_4,25,5,5,2500,10,30,10,"[[-8.2589597e-02 -1.0284935e+02]
 [-5.9604279e+01 -2.7190186e+01]
 [ 4.3452660e+01  7.0997143e+00]
 ...
 [-8.8630753e+01 -4.4742294e+01]
 [ 6.2724072e+01  2.5955603e+01]
 [-5.1475002e+01 -3.5728363e+01]]","['Symptom_Headaches_temples', 'Symptom_Pain_burning_chest', 'Symptom_Acid_reflux', 'Symptom_Difficulty_falling_asleep', 'Symptom_Temp_lability', 'Symptom_Sore_throat', 'Symptom_Sensations_coldness', 'Symptom_Sleep_other', 'Symptom_Headaches_behind_eyes', 'Symptom_Sensations_weakness']",-0.24433452,[-1  9  9 ...  2  9  9],10
